round,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_val_loss,workers_reporting,mean_global_test_accuracy,std_global_test_accuracy,mean_phase_a_s,mean_phase_b_s,mean_phase_c_s
1,0.01178,0.013127,0.003563,0.033101,4.129859,8,0.018811,0.017037,156.8698,99.7825,0.5892
2,0.159503,0.271352,0.022948,0.828599,3.678976,8,0.130754,0.260915,111.9107,95.5159,0.7815
3,0.047862,0.029295,0.009733,0.084723,4.127723,8,0.032902,0.005857,110.6818,96.0729,0.4099
4,0.468189,0.243091,0.120077,0.848074,2.391807,8,0.36895,0.208843,108.6788,95.6087,0.5
5,0.811871,0.037272,0.767755,0.869815,1.059996,8,0.738552,0.029449,110.9842,92.6428,0.4184
6,0.835248,0.036333,0.77255,0.893746,0.590295,8,0.763094,0.022933,107.4329,95.7308,0.4383
7,0.845294,0.042524,0.767193,0.901723,0.504783,8,0.771428,0.037414,106.5651,98.3077,0.4351
8,0.849413,0.027087,0.813725,0.902361,0.484513,8,0.785478,0.018088,106.6577,93.6504,0.5178
9,0.855271,0.025735,0.827239,0.907466,0.519376,8,0.796936,0.032108,108.9937,93.9183,0.4071
10,0.852298,0.030629,0.806459,0.906669,0.601155,8,0.785924,0.026565,108.6941,97.1432,0.4594
11,0.849845,0.032783,0.80674,0.912731,0.620592,8,0.791732,0.026446,108.31,97.3676,0.5385
12,0.852032,0.029622,0.81189,0.910657,0.651932,8,0.796429,0.017999,107.7824,96.1695,0.3878
13,0.8637,0.032077,0.810422,0.912572,0.504682,8,0.805194,0.026094,106.7201,96.3569,0.6369
14,0.857978,0.029348,0.819162,0.915124,0.448224,8,0.820088,0.014643,105.4312,96.8932,0.4062
15,0.8549,0.032899,0.816221,0.917039,0.455543,8,0.823419,0.024402,107.1879,96.5877,0.5484
16,0.869212,0.030447,0.810202,0.916879,0.48999,8,0.801816,0.024697,107.4212,94.5071,0.4036
17,0.85826,0.026914,0.824954,0.917837,0.456441,8,0.808929,0.005592,106.2238,96.1412,0.4213
18,0.862663,0.029142,0.838325,0.919432,0.463539,8,0.802893,0.0269,106.702,95.0212,0.4083
19,0.85673,0.040354,0.786977,0.916401,0.55735,7,0.791727,0.030293,106.8783,98.4736,0.4048
20,0.857807,0.044819,0.785321,0.919751,0.516141,6,0.793251,0.029111,105.9214,96.8536,0.346
21,0.864489,0.042623,0.829369,0.918634,0.475102,6,0.823194,0.042454,105.6286,92.0225,0.3214
22,0.887767,0.039447,0.821995,0.919911,0.402686,5,0.861516,0.023975,104.23,97.1667,0.2559
23,0.88114,0.066618,0.766723,0.932533,0.41032,5,0.868887,0.016545,103.9809,96.9131,0.2614
24,0.8853,0.06985,0.76233,0.928479,0.413529,5,0.882761,0.006836,104.2085,91.8872,0.2121
25,0.882137,0.080111,0.739654,0.929938,0.416903,5,0.88335,0.014416,104.5412,92.4897,0.2747
26,0.922462,0.009992,0.910679,0.934074,0.3189,4,0.890986,0.004813,104.4711,96.2974,0.1764
27,0.907726,0.030415,0.863264,0.932047,0.342139,4,0.870881,0.05024,105.4668,95.1857,0.1712
28,0.922489,0.008976,0.91321,0.934398,0.311406,4,0.893023,0.005383,105.8909,91.8054,0.2141
29,0.913025,0.019724,0.88396,0.92778,0.431621,4,0.88106,0.027269,106.1714,95.0732,0.1654
30,0.925462,0.007156,0.918634,0.934479,0.328331,4,0.896278,0.004532,106.4017,92.2783,0.1607
31,0.926198,0.007293,0.919751,0.934723,0.319877,4,0.898403,0.00112,106.4266,95.8141,0.1659
32,0.925729,0.004323,0.921028,0.929533,0.339967,3,0.895816,0.00532,108.1536,93.9075,0.1302
33,0.923239,0.009521,0.913908,0.932939,0.384323,3,0.890438,0.00638,109.1983,92.7715,0.0901
34,0.926924,0.005433,0.923083,0.930766,0.318968,2,0.899639,0.001022,103.4109,82.7391,0.1037
35,0.926447,0.006108,0.922128,0.930766,0.31635,2,0.898831,0.000188,103.8458,88.3255,0.085
36,0.920367,0.0,0.920367,0.920367,0.310342,1,0.896876,0.0,106.8599,100.5361,0.0004
37,0.809835,0.0,0.809835,0.809835,1.124953,1,0.786663,0.0,113.1852,100.8837,0.0004
38,0.919633,0.0,0.919633,0.919633,0.356008,1,0.9007,0.0,108.0559,100.7824,0.0003
39,0.921982,0.0,0.921982,0.921982,0.373805,1,0.902882,0.0,108.5248,99.4894,0.0003
40,0.924183,0.0,0.924183,0.924183,0.354589,1,0.898698,0.0,108.3893,100.425,0.0003
41,0.821872,0.0,0.821872,0.821872,1.139276,1,0.798431,0.0,111.2725,99.8839,0.0003
42,0.91545,0.0,0.91545,0.91545,0.440388,1,0.89332,0.0,110.2457,99.7353,0.0003
