worker_id,round,timestamp,train_loss_avg,val_loss,val_accuracy,round_duration_s,phase_a_s,phase_b_s,phase_c_s,grpc_mean_latency_s,neighbors_aggregated,peers_contacted
4,1,1780400574.598,3.22396,4.126197,0.002947,2.861,2.0205,0.7545,0.0859,0.026942,0,3
4,2,1780400577.107,1.863525,3.730628,0.044403,2.509,1.8682,0.5683,0.0718,0.022988,5,3
4,3,1780400579.722,1.652626,0.878398,0.772386,2.616,1.8827,0.6671,0.0655,0.020967,3,3
4,4,1780400582.202,1.619851,0.751154,0.769046,2.48,1.8045,0.6102,0.0646,0.020706,5,3
4,5,1780400584.765,1.536177,0.77552,0.806326,2.563,1.8276,0.6617,0.0732,0.023582,3,3
4,6,1780400587.263,1.526058,0.669531,0.810305,2.498,1.7928,0.6379,0.0669,0.021471,2,3
4,7,1780400589.827,1.483933,0.648456,0.801218,2.563,1.7832,0.7107,0.0693,0.022254,3,3
4,8,1780400592.435,1.453282,0.570886,0.828675,2.607,1.8754,0.6504,0.0813,0.018911,5,3
4,9,1780400595.019,1.457835,0.570733,0.825925,2.584,1.8478,0.6436,0.0923,0.021886,4,3
4,10,1780400597.631,1.443322,0.545765,0.832654,2.612,1.9225,0.6027,0.0864,0.020276,4,3
4,11,1780400600.275,1.403107,0.547913,0.838352,2.644,1.8977,0.6776,0.0684,0.021997,4,3
4,12,1780400602.859,1.365567,0.530394,0.840267,2.584,1.8992,0.5972,0.0872,0.020663,4,3
4,13,1780400605.463,1.373813,0.973757,0.826367,2.604,1.889,0.6327,0.0816,0.019269,6,3
4,14,1780400608.032,1.34342,0.514582,0.846358,2.569,1.863,0.6349,0.0713,0.022977,4,3
4,15,1780400610.636,1.376109,0.503249,0.846653,2.603,1.8768,0.6639,0.0625,0.02002,3,3
4,16,1780400613.222,1.333324,0.489744,0.852252,2.586,1.8789,0.6381,0.0685,0.022044,5,3
4,17,1780400615.745,1.320195,0.502532,0.845179,2.523,1.8859,0.5497,0.0867,0.020595,5,3
4,18,1780400618.285,1.343124,0.704778,0.846849,2.54,1.8516,0.5996,0.0887,0.020972,3,3
