round,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_val_loss,workers_reporting,mean_global_test_accuracy,std_global_test_accuracy,mean_val_macro_precision,std_val_macro_precision,mean_val_macro_recall,std_val_macro_recall,mean_val_macro_f1,std_val_macro_f1,mean_global_test_macro_precision,std_global_test_macro_precision,mean_global_test_macro_recall,std_global_test_macro_recall,mean_global_test_macro_f1,std_global_test_macro_f1,mean_phase_a_s,mean_phase_b_s,mean_phase_c_s
1,0.005423,0.001544,0.002694,0.006509,4.126415,5,0.0092,0.007532,9.5e-05,9e-06,0.016194,0.000146,0.000188,1.9e-05,0.000154,0.000116,0.016229,0.000223,0.000304,0.000226,164.0545,106.3302,0.4104
2,0.218244,0.352328,0.036461,0.847532,3.301873,5,0.140625,0.238117,0.144262,0.320383,0.140699,0.278548,0.131065,0.288952,0.118155,0.26297,0.120838,0.234136,0.098208,0.217218,116.0486,95.3187,0.3919
3,0.064558,0.021204,0.036461,0.080565,4.074356,5,0.034136,0.0,0.001041,0.000342,0.016129,0.0,0.001947,0.000609,0.000551,0.0,0.016129,0.0,0.001065,0.0,117.267,93.1122,0.2281
4,0.500967,0.26378,0.08493,0.72694,2.295269,5,0.394401,0.219218,0.508422,0.251494,0.286032,0.178682,0.30253,0.190494,0.543323,0.242931,0.261579,0.161217,0.277417,0.171905,113.0475,102.4358,0.2413
5,0.746353,0.048389,0.680885,0.801624,1.691281,5,0.642374,0.062954,0.67579,0.077562,0.531766,0.075265,0.532772,0.079508,0.689157,0.02512,0.503612,0.077825,0.514612,0.070377,115.0539,89.0172,0.2278
6,0.831033,0.033668,0.786077,0.863009,0.84626,5,0.73621,0.036308,0.739923,0.029086,0.661609,0.027015,0.654109,0.035887,0.732449,0.034854,0.641626,0.025476,0.638664,0.03222,114.8783,97.304,0.3124
7,0.833673,0.045618,0.761728,0.888235,0.912669,5,0.774553,0.032843,0.736609,0.06092,0.683398,0.040232,0.665535,0.058779,0.747684,0.020092,0.679318,0.019656,0.673923,0.026017,113.8613,93.5634,0.216
8,0.843243,0.028807,0.797669,0.874547,0.76028,5,0.777775,0.040995,0.744697,0.027449,0.70109,0.01853,0.690018,0.030163,0.741553,0.033928,0.697109,0.026981,0.683696,0.035833,114.7773,94.361,0.2821
9,0.852806,0.02363,0.825664,0.881015,0.527841,5,0.798918,0.025968,0.75587,0.049065,0.716358,0.028672,0.703703,0.048733,0.76577,0.020701,0.713408,0.011597,0.708321,0.017221,112.8581,91.5409,0.2272
10,0.85145,0.027216,0.811797,0.878663,0.501386,5,0.798786,0.007031,0.77489,0.025624,0.730232,0.026005,0.721318,0.036258,0.759814,0.005372,0.72748,0.002089,0.717073,0.003107,111.3013,100.0525,0.2161
11,0.855103,0.024685,0.823431,0.882192,0.769845,5,0.797406,0.010367,0.761296,0.052132,0.725106,0.042741,0.709825,0.063462,0.758007,0.008362,0.723982,0.01755,0.711202,0.020172,112.6896,99.8301,0.2314
12,0.85263,0.025641,0.812448,0.880623,0.474961,5,0.802112,0.009326,0.774634,0.023761,0.738196,0.023115,0.727847,0.031295,0.760469,0.006756,0.739132,0.003719,0.722485,0.007654,111.419,98.1401,0.2358
13,0.863645,0.02074,0.833209,0.881505,0.56714,5,0.799309,0.012505,0.778065,0.034969,0.738928,0.027511,0.729985,0.038105,0.765598,0.006888,0.735696,0.006441,0.723779,0.008824,113.1959,96.409,0.2272
14,0.856121,0.027675,0.819554,0.890424,0.729333,5,0.788911,0.013427,0.773731,0.021222,0.730035,0.019012,0.715159,0.028288,0.75791,0.012361,0.72982,0.013464,0.709949,0.019802,113.7974,94.6881,0.2745
15,0.859949,0.028318,0.812912,0.884577,0.462257,5,0.805943,0.019894,0.778773,0.028767,0.742416,0.025016,0.731683,0.033532,0.767943,0.010274,0.742844,0.007425,0.725705,0.013087,111.0562,94.6263,0.2822
16,0.852837,0.029233,0.808546,0.879735,0.686444,5,0.771479,0.026418,0.770595,0.018146,0.730841,0.019843,0.713239,0.019707,0.748247,0.015713,0.724993,0.022802,0.697892,0.027864,112.8331,98.9836,0.3249
17,0.860268,0.037447,0.796238,0.888545,0.466738,5,0.80462,0.025716,0.778664,0.031446,0.74657,0.031373,0.733734,0.040446,0.768781,0.012342,0.750176,0.011955,0.730245,0.020485,110.0138,95.3513,0.2234
18,0.86165,0.034194,0.811797,0.893757,0.536014,5,0.760118,0.03566,0.777986,0.017495,0.748731,0.01299,0.737299,0.010661,0.74537,0.023895,0.729375,0.022837,0.693173,0.032695,113.138,95.8566,0.2307
19,0.869186,0.025351,0.826103,0.893318,0.445597,5,0.808449,0.02992,0.784775,0.027004,0.757301,0.026466,0.748864,0.031119,0.7704,0.011571,0.759178,0.014969,0.735962,0.02471,110.8195,99.666,0.3217
20,0.862296,0.026276,0.833685,0.900323,0.451334,5,0.789024,0.036632,0.780827,0.01994,0.754492,0.026078,0.741432,0.031057,0.759952,0.013877,0.753757,0.01475,0.722126,0.028382,109.6405,97.7744,0.213
21,0.870581,0.024617,0.836879,0.892777,0.435548,5,0.799072,0.035445,0.785593,0.030213,0.757759,0.025984,0.750224,0.033508,0.766876,0.01412,0.755571,0.013187,0.729484,0.02614,110.6176,92.6883,0.2148
22,0.847674,0.03633,0.804008,0.888464,0.467528,5,0.81223,0.026199,0.778604,0.028054,0.744667,0.031195,0.728318,0.04456,0.776959,0.010545,0.758399,0.011923,0.740853,0.018414,109.7179,91.5757,0.2313
