round,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_val_loss,workers_reporting,mean_phase_a_s,mean_phase_b_s,mean_phase_c_s
1,0.024697,0.025382,0.00502,0.066961,4.126237,5,1.4287,6.1543,0.1024
2,0.203695,0.331234,0.039049,0.795911,3.170813,5,1.7684,7.0533,0.0837
3,0.206561,0.36598,0.014468,0.860447,3.216401,5,1.8897,7.3233,0.081
4,0.181438,0.189337,0.008056,0.387743,3.18261,5,1.8577,7.3548,0.0796
5,0.628241,0.309176,0.07623,0.78442,1.830055,5,1.8373,7.3972,0.0813
6,0.798612,0.041947,0.734581,0.839824,1.046899,5,1.8379,7.3909,0.0806
7,0.831866,0.022299,0.803066,0.85515,0.648063,5,1.8661,7.3351,0.0813
8,0.839087,0.023365,0.808622,0.865729,0.589066,5,1.8863,7.3393,0.0809
9,0.847776,0.021706,0.823549,0.872055,0.529717,5,1.8941,7.3309,0.0794
10,0.852645,0.021204,0.82703,0.875222,0.51262,5,1.9268,7.3761,0.0841
11,0.853549,0.021824,0.825825,0.87578,0.497927,5,1.9243,7.3979,0.0853
12,0.856384,0.026208,0.821608,0.880717,0.481706,5,1.9243,7.4205,0.0813
13,0.859975,0.021698,0.834059,0.879968,0.470596,5,1.9388,7.4128,0.0822
14,0.863278,0.022579,0.838878,0.884789,0.462204,5,1.9376,7.4445,0.08
15,0.862715,0.022395,0.836201,0.884028,0.454112,5,1.8975,7.5042,0.0806
16,0.865524,0.026424,0.833389,0.895877,0.449289,5,1.8636,7.4853,0.0854
17,0.86669,0.025024,0.835665,0.892585,0.443633,5,1.8544,7.5427,0.0832
18,0.868398,0.022543,0.842292,0.8899,0.437139,5,1.8426,7.5639,0.0849
19,0.867629,0.023769,0.837405,0.894231,0.437834,5,1.8134,7.5527,0.0855
20,0.868162,0.025148,0.836535,0.894231,0.433612,5,1.8303,7.4758,0.0841
21,0.871147,0.025096,0.847054,0.90376,0.4293,5,1.8597,7.4147,0.0848
22,0.873281,0.025424,0.842761,0.90272,0.419351,5,1.8855,7.3939,0.084
23,0.871256,0.023115,0.841355,0.893971,0.424673,5,1.8946,7.3412,0.0829
24,0.873007,0.02149,0.849187,0.89501,0.423919,5,1.8889,7.3315,0.0803
25,0.873126,0.025682,0.843363,0.898649,0.422066,5,1.8833,7.3992,0.0834
26,0.875046,0.022374,0.851396,0.899168,0.417271,5,1.9302,7.5138,0.0902
27,0.872696,0.027074,0.839146,0.90298,0.421131,5,1.9085,7.6216,0.0978
28,0.874324,0.023668,0.844903,0.898822,0.414282,5,1.8922,7.6025,0.1047
29,0.87485,0.021827,0.84758,0.896137,0.410459,5,1.9098,7.561,0.0888
30,0.874043,0.025601,0.843965,0.900121,0.418735,5,1.8987,7.5955,0.0961
