worker_id,round,timestamp,train_loss_avg,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,global_test_accuracy,global_test_macro_precision,global_test_macro_recall,global_test_macro_f1,round_duration_s,phase_a_s,phase_b_s,phase_c_s,grpc_mean_latency_s,neighbors_aggregated,peers_contacted
0,1,1783644242.031,1.750724,4.130157,0.002694,8e-05,0.016455,0.000158,0.002583,7.1e-05,0.016628,0.00014,276.1,172.3164,103.0373,0.7064,0.176492,0,4
0,2,1783644462.246,1.47385,4.076492,0.036461,0.000588,0.016129,0.001135,0.034136,0.000551,0.016129,0.001065,220.206,122.9997,96.8888,0.2475,0.061804,3,4
0,3,1783644671.319,1.453474,4.142732,0.036461,0.000588,0.016129,0.001135,0.034136,0.000551,0.016129,0.001065,209.07,123.5924,85.2477,0.2297,0.057147,4,4
0,4,1783644889.69,1.35391,2.496063,0.427032,0.616714,0.274563,0.306058,0.407738,0.623211,0.270506,0.298777,218.37,118.474,99.6308,0.23,0.057399,4,4
0,5,1783645112.951,1.299931,1.356841,0.730098,0.748591,0.600158,0.601148,0.710758,0.710892,0.593094,0.594093,223.259,120.1095,102.8877,0.2279,0.056889,4,4
0,6,1783645319.237,1.258821,0.853856,0.807431,0.770281,0.684465,0.695837,0.785446,0.753884,0.677707,0.683576,206.285,122.5744,83.4277,0.2233,0.05573,5,4
0,7,1783645532.446,1.22926,0.695979,0.761728,0.747857,0.692247,0.673834,0.740192,0.730937,0.684158,0.661028,213.208,115.6962,97.2737,0.2193,0.054745,3,4
0,8,1783645741.752,1.210767,0.627526,0.844589,0.781989,0.729068,0.732942,0.819684,0.769742,0.717841,0.717918,209.304,120.3303,88.5619,0.3888,0.097104,5,4
0,9,1783645962.612,1.19073,0.526412,0.838272,0.7873,0.732669,0.733745,0.812343,0.767626,0.726255,0.721638,220.859,114.2514,106.329,0.2146,0.053553,4,4
0,10,1783646172.5,1.172204,0.699624,0.811797,0.769753,0.739668,0.726692,0.788775,0.75188,0.72795,0.711716,209.885,118.531,91.132,0.2219,0.055365,4,4
0,11,1783646394.308,1.164081,0.511258,0.835439,0.787032,0.749597,0.745342,0.810475,0.767107,0.736016,0.727455,221.806,115.0913,106.4194,0.2621,0.065414,4,4
0,12,1783646615.352,1.155907,0.589939,0.812448,0.770109,0.747433,0.728429,0.787456,0.750917,0.733414,0.709705,221.039,118.5199,102.267,0.2517,0.062835,4,4
0,13,1783646820.622,1.143517,0.529388,0.833209,0.788964,0.755673,0.74971,0.81086,0.769656,0.744958,0.734617,205.267,116.1137,88.9259,0.2262,0.056462,4,4
0,14,1783647040.946,1.134294,0.522002,0.819554,0.789912,0.749995,0.738895,0.797952,0.772265,0.739669,0.724746,220.322,114.3466,105.7641,0.2113,0.052515,4,4
0,15,1783647246.268,1.132999,0.60534,0.812912,0.771552,0.74832,0.728306,0.789882,0.755222,0.73677,0.713369,205.319,116.1108,88.9435,0.2629,0.065648,4,4
0,16,1783647468.278,1.128685,0.601395,0.808546,0.774424,0.749515,0.727006,0.784904,0.757279,0.739253,0.711974,222.004,115.7679,106.0218,0.2131,0.053188,4,4
0,17,1783647672.591,1.121828,0.572758,0.796238,0.775614,0.751438,0.723802,0.773371,0.755229,0.737131,0.706307,204.312,113.4466,90.6099,0.2549,0.063638,5,4
0,18,1783647893.553,1.118974,0.545994,0.811797,0.774719,0.760332,0.735198,0.790824,0.758766,0.751635,0.721249,220.961,115.3944,105.3037,0.2619,0.065372,4,4
0,19,1783648103.788,1.115484,0.524208,0.826103,0.790152,0.766487,0.747338,0.804594,0.767261,0.761053,0.73655,210.232,113.7853,96.2368,0.2089,0.052125,4,4
0,20,1783648312.735,1.110593,0.481506,0.850302,0.793673,0.783437,0.7687,0.825722,0.77386,0.769046,0.750008,208.945,112.4322,96.2494,0.2263,0.056479,4,4
0,21,1783648525.684,1.100047,0.490296,0.836879,0.795116,0.766123,0.7551,0.814463,0.778413,0.757399,0.740932,212.949,116.1631,96.5568,0.2284,0.056997,4,4
0,22,1783648730.146,1.102255,0.539139,0.814909,0.787475,0.761436,0.74204,0.791546,0.768272,0.752342,0.727375,204.46,115.6629,88.5567,0.2399,0.05988,4,4
0,23,1783648946.914,1.099565,0.590393,0.801904,0.775456,0.755431,0.729398,0.778262,0.761989,0.748065,0.71565,216.767,119.6507,96.8949,0.2209,0.055134,4,4
0,24,1783649153.678,1.090473,0.523103,0.83242,0.797045,0.768345,0.759074,0.811503,0.780379,0.761955,0.748411,206.764,113.7576,92.7753,0.2304,0.057502,4,4
0,25,1783649355.314,1.088865,1.403963,0.728147,0.718826,0.659681,0.617249,0.705679,0.711049,0.650923,0.603038,201.635,117.1035,84.3249,0.2064,0.04403,4,3
0,26,1783649553.455,1.103588,0.725458,0.760242,0.764412,0.735932,0.696183,0.736062,0.749842,0.7258,0.679488,198.14,115.6648,82.3307,0.1444,0.046814,3,2
0,27,1783649766.975,1.087804,0.520941,0.819368,0.787681,0.768252,0.748881,0.796979,0.770181,0.75761,0.732268,213.52,111.8179,101.5748,0.1227,0.06087,2,2
0,28,1783649962.873,1.090153,0.551763,0.796795,0.784229,0.753112,0.729831,0.77659,0.76697,0.745462,0.717649,195.896,112.7798,82.9966,0.1194,0.059503,3,2
0,29,1783650158.92,1.085747,0.455026,0.865815,0.806237,0.792165,0.784605,0.840238,0.790936,0.781048,0.768812,196.046,113.7023,82.1896,0.122,0.060808,1,2
0,30,1783650372.862,1.08707,0.548774,0.801626,0.781305,0.755608,0.73218,0.78163,0.767953,0.750494,0.722554,213.941,113.077,100.7522,0.1117,0.055657,2,2
0,31,1783650574.33,1.077596,0.522937,0.814259,0.789621,0.777931,0.752686,0.793242,0.770203,0.766932,0.736404,201.467,112.9433,88.4102,0.1129,0.056256,2,2
0,32,1783650795.129,1.078134,0.496786,0.834138,0.796801,0.772551,0.760086,0.811904,0.779922,0.764243,0.746496,220.797,113.1883,107.4852,0.1231,0.061345,2,2
0,33,1783651002.073,1.081259,1.392882,0.712076,0.691503,0.654724,0.597894,0.688045,0.700702,0.640867,0.58131,206.944,118.2696,88.5612,0.1127,0.056168,2,2
0,34,1783651219.37,1.080111,0.486209,0.834185,0.804796,0.779468,0.76287,0.811715,0.777111,0.7697,0.746567,217.296,111.8493,105.3334,0.1124,0.056011,2,2
0,35,1783651421.316,1.073552,0.497338,0.823084,0.794293,0.77824,0.757126,0.802059,0.777257,0.768585,0.742329,201.943,114.2324,87.5717,0.1388,0.069215,2,2
0,36,1783651639.232,1.072814,0.463622,0.854064,0.799493,0.785032,0.771768,0.830597,0.784512,0.774547,0.758262,217.914,112.1076,105.6889,0.1167,0.058083,2,2
0,37,1783651853.399,1.071465,0.587181,0.785509,0.77488,0.758391,0.719719,0.763101,0.75576,0.747237,0.70334,214.165,116.5222,97.5376,0.1047,0.036534,3,1
0,38,1783652067.88,1.06832,0.388971,0.905063,0.847168,0.801136,0.809734,0.884126,0.839988,0.798007,0.80263,214.479,114.6886,99.7172,0.0357,0.020294,1,0
0,39,1783652290.438,1.067195,3.059079,0.250999,0.524357,0.311592,0.258394,0.242284,0.536321,0.306447,0.250331,222.557,121.803,100.7532,0.0003,0.0,1,0
0,40,1783652508.004,1.072099,0.326018,0.917371,0.86526,0.773754,0.792799,0.895196,0.847434,0.763993,0.780887,217.565,115.8307,101.7028,0.0004,0.0,0,0
0,41,1783652725.825,1.072757,0.350847,0.920622,0.884969,0.784427,0.804623,0.898957,0.863798,0.772949,0.791938,217.821,115.7913,102.0288,0.0004,0.0,0,0
0,42,1783652946.829,1.070112,0.476967,0.900325,0.842661,0.782644,0.792917,0.874265,0.826309,0.772794,0.777477,221.004,119.5174,101.4858,0.0004,0.0,0,0
0,43,1783653164.115,1.060572,0.329596,0.91751,0.863346,0.78084,0.798832,0.891914,0.855994,0.766573,0.783308,217.284,116.1768,101.1061,0.0003,0.0,0,0
0,44,1783653384.525,1.067095,0.504955,0.904505,0.823612,0.767071,0.77231,0.881676,0.831162,0.762888,0.765447,220.408,118.4323,101.975,0.0004,0.0,0,0
0,45,1783653602.381,1.05768,0.362574,0.920158,0.862885,0.796786,0.813338,0.897135,0.864357,0.786547,0.802606,217.855,116.259,101.5951,0.0004,0.0,0,0
0,46,1783653818.905,1.053866,0.326883,0.920715,0.87132,0.79963,0.813622,0.898085,0.860571,0.787449,0.801548,216.524,114.4743,102.0487,0.0003,0.0,0,0
0,47,1783654037.027,1.056218,0.322542,0.92262,0.854948,0.803218,0.818144,0.899098,0.860196,0.789398,0.804532,218.12,116.0327,102.0169,0.0003,0.0,0,0
0,48,1783654254.804,1.06501,0.327277,0.920529,0.884378,0.786901,0.808444,0.894984,0.858348,0.776931,0.794687,217.776,115.7241,102.0514,0.0003,0.0,0,0
0,49,1783654473.429,1.048535,0.337253,0.922573,0.851953,0.804576,0.816429,0.901155,0.856945,0.79985,0.811098,218.625,116.1558,102.4686,0.0003,0.0,0,0
0,50,1783654692.52,1.051604,0.367948,0.921319,0.869071,0.789799,0.805263,0.896955,0.863559,0.782615,0.796677,219.09,117.2842,101.8053,0.0003,0.0,0,0
0,51,1783654913.538,1.048236,1.365212,0.726289,0.755044,0.628629,0.617408,0.700842,0.73759,0.619777,0.603971,221.017,119.9032,101.1046,0.0003,0.0,0,0
0,52,1783655131.456,1.05168,0.35578,0.921969,0.877933,0.791852,0.808559,0.89876,0.867311,0.781503,0.798776,217.913,115.8763,102.0362,0.0003,0.0,0,0
0,53,1783655349.684,1.047568,0.331373,0.926521,0.862777,0.815188,0.828865,0.901249,0.851259,0.806299,0.817703,218.227,115.7386,102.4876,0.0003,0.0,0,0
0,54,1783655566.937,1.048419,0.324265,0.924245,0.859338,0.807913,0.822711,0.901775,0.862845,0.794329,0.808187,217.252,115.5947,101.6566,0.0003,0.0,0,0
0,55,1783655785.928,1.037744,0.365698,0.919415,0.875752,0.810957,0.823346,0.893327,0.855157,0.797129,0.80549,218.991,116.9363,102.0544,0.0004,0.0,0,0
0,56,1783656004.159,1.035277,0.382318,0.920808,0.854308,0.793562,0.805977,0.9011,0.864924,0.786802,0.800522,218.229,115.7836,102.4407,0.0046,0.0,0,0
