worker_id,round,timestamp,train_loss_avg,val_loss,val_accuracy,round_duration_s,phase_a_s,phase_b_s,phase_c_s,grpc_mean_latency_s,neighbors_aggregated,peers_contacted
1,1,1780400974.35,1.831499,4.129191,0.004175,8.943,1.4482,7.3934,0.1014,0.032876,0,3
1,2,1780400983.704,1.539112,4.104967,0.053182,9.353,2.0094,7.2504,0.093,0.030146,2,3
1,3,1780400993.058,1.530489,4.108684,0.053182,9.354,2.0525,7.2127,0.0887,0.028157,3,3
1,4,1780401002.373,1.42245,3.377695,0.106136,9.315,2.048,7.1836,0.0827,0.026767,3,3
1,5,1780401011.772,1.33429,0.731857,0.828158,9.399,2.1028,7.2126,0.0828,0.026564,1,3
1,6,1780401021.113,1.318613,0.798972,0.83868,9.341,2.0872,7.1712,0.0818,0.026455,2,3
1,7,1780401030.468,1.266114,0.530861,0.862755,9.355,2.0772,7.1848,0.0931,0.030186,3,3
1,8,1780401039.754,1.239951,0.472757,0.87242,9.286,2.077,7.1244,0.0844,0.027204,2,3
1,9,1780401049.132,1.23241,0.445104,0.874878,9.377,2.026,7.2684,0.0827,0.026618,4,3
1,10,1780401058.547,1.215581,0.423518,0.877909,9.415,1.9805,7.3528,0.0818,0.026462,4,3
1,11,1780401067.893,1.206956,0.424099,0.876365,9.346,1.9734,7.2874,0.0846,0.027054,3,3
1,12,1780401077.289,1.203402,0.412948,0.880311,9.396,2.0213,7.2901,0.084,0.027173,4,3
1,13,1780401086.64,1.192202,0.406793,0.885343,9.35,2.0395,7.2227,0.0876,0.02838,4,3
1,14,1780401096.062,1.183608,0.408103,0.884886,9.423,2.039,7.2983,0.085,0.027508,3,3
1,15,1780401105.494,1.168892,0.396944,0.885915,9.431,1.9822,7.3616,0.0872,0.028229,4,3
1,16,1780401114.929,1.179181,0.403691,0.886544,9.435,1.9316,7.4143,0.0889,0.028291,4,3
1,17,1780401124.283,1.15515,0.41073,0.886601,9.354,1.887,7.3755,0.0912,0.029106,4,3
1,18,1780401133.698,1.175753,0.848766,0.868645,9.414,1.8403,7.4896,0.0841,0.027241,2,3
1,19,1780401143.099,1.160012,0.395305,0.886487,9.401,1.7984,7.5146,0.0878,0.028411,4,3
1,20,1780401152.492,1.157659,0.388885,0.887345,9.393,1.7587,7.5424,0.0912,0.029591,3,3
1,21,1780401161.821,1.156064,0.405043,0.881626,9.329,1.7574,7.4822,0.0893,0.02874,3,3
1,22,1780401171.195,1.150407,0.402232,0.885286,9.374,1.8028,7.4839,0.0865,0.027352,3,3
1,23,1780401180.575,1.15399,0.396372,0.888317,9.38,1.8,7.4914,0.0882,0.028615,4,3
1,24,1780401189.945,1.149819,0.393524,0.888832,9.37,1.8111,7.4711,0.0878,0.028309,4,3
1,25,1780401199.304,1.148311,0.390346,0.889804,9.358,1.8361,7.434,0.0879,0.028474,4,3
1,26,1780401208.647,1.142238,0.395088,0.885,9.343,1.9277,7.319,0.0961,0.030752,3,3
1,27,1780401217.968,1.149085,0.401851,0.88866,9.32,2.0347,7.2027,0.0827,0.026746,4,3
1,28,1780401227.379,1.145478,0.39514,0.889632,9.411,2.0514,7.2732,0.0857,0.027653,2,3
1,29,1780401236.804,1.138126,0.384132,0.892206,9.425,2.0476,7.2866,0.0905,0.029349,4,3
1,30,1780401246.21,1.139619,0.398118,0.88866,9.406,2.0285,7.2882,0.0887,0.028158,3,3
1,31,1780401255.605,1.13958,0.389468,0.890376,9.395,2.0129,7.2946,0.087,0.028229,4,3
1,32,1780401264.998,1.133206,0.387522,0.892091,9.394,1.9939,7.3114,0.088,0.028562,3,3
1,33,1780401274.427,1.138782,0.421729,0.892606,9.428,1.9855,7.3603,0.0821,0.026299,3,3
1,34,1780401283.824,1.132903,0.396545,0.890261,9.397,1.9728,7.3452,0.0787,0.025038,4,3
1,35,1780401293.314,1.134175,0.388281,0.889289,9.489,1.9609,7.4391,0.089,0.028838,4,3
