round,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_val_loss,workers_reporting,mean_phase_a_s,mean_phase_b_s,mean_phase_c_s
1,0.005353,0.002585,0.003193,0.009812,4.126398,5,1.3498,2.9199,0.0922
2,0.180406,0.28553,0.044403,0.691008,3.269751,5,1.5457,3.1847,0.119
3,0.179599,0.250663,0.049111,0.626883,3.218624,5,1.7158,3.5199,0.0823
4,0.370107,0.289899,0.064328,0.725674,2.725723,5,1.7672,3.505,0.0747
5,0.512022,0.320332,0.07623,0.754801,2.068886,5,1.7947,3.5025,0.0804
6,0.687808,0.191238,0.349965,0.801624,1.402397,5,1.7707,3.5213,0.0759
7,0.795916,0.023297,0.772676,0.822585,0.884475,5,1.765,3.513,0.0751
8,0.810946,0.022085,0.785796,0.839767,0.750199,5,1.779,3.4832,0.0762
9,0.825212,0.021786,0.795167,0.849488,0.650056,5,1.7883,3.4726,0.0774
10,0.831377,0.02122,0.804137,0.856636,0.606219,5,1.8249,3.4749,0.0774
11,0.83601,0.023745,0.809693,0.861154,0.583462,5,1.8461,3.4783,0.0768
12,0.841568,0.020577,0.814914,0.866415,0.556695,5,1.8373,3.4983,0.0735
13,0.844327,0.022538,0.81565,0.870818,0.539158,5,1.7991,3.5138,0.0736
14,0.847154,0.023187,0.818462,0.871161,0.532585,5,1.7919,3.5106,0.0754
15,0.849319,0.023776,0.822746,0.873163,0.513783,5,1.8182,3.459,0.0768
16,0.851847,0.023791,0.825423,0.874535,0.507716,5,1.8098,3.4891,0.0771
17,0.854154,0.020428,0.828971,0.876537,0.495497,5,1.7904,3.5111,0.0758
18,0.857941,0.022253,0.833884,0.878812,0.489869,5,1.736,3.5451,0.0754
19,0.855462,0.022331,0.82703,0.877738,0.495547,5,1.7338,3.5027,0.0782
20,0.858891,0.024095,0.831649,0.885222,0.482973,5,1.7644,3.4979,0.073
21,0.859364,0.02298,0.831046,0.880368,0.480457,5,1.7666,3.52,0.077
22,0.860425,0.025855,0.827498,0.885,0.482709,5,1.6936,3.6188,0.0809
23,0.862713,0.026107,0.830042,0.890246,0.467002,5,1.6119,3.6976,0.08
24,0.863663,0.023712,0.83533,0.885057,0.465326,5,1.5721,3.6884,0.0779
25,0.86487,0.026409,0.833858,0.893798,0.462728,5,1.6003,3.657,0.0759
26,0.864067,0.024858,0.831916,0.887647,0.461994,5,1.6417,3.5964,0.0791
27,0.861891,0.020507,0.837472,0.885828,0.471813,5,1.6803,3.5467,0.0746
28,0.866412,0.022036,0.840016,0.887128,0.448543,5,1.7159,3.5426,0.0806
29,0.86709,0.024463,0.836,0.892931,0.44743,5,1.7257,3.5395,0.0768
30,0.865567,0.024117,0.836803,0.887474,0.446542,5,1.7454,3.5785,0.0838
31,0.867577,0.022207,0.844233,0.890593,0.448132,5,1.7578,3.486,0.0767
32,0.869433,0.027779,0.835397,0.902374,0.440775,5,1.7923,3.4702,0.074
33,0.867449,0.02348,0.837874,0.89009,0.445616,5,1.8438,3.4338,0.0758
34,0.868077,0.021366,0.840685,0.889293,0.444111,5,1.8744,3.4248,0.0786
35,0.868056,0.023229,0.838677,0.890604,0.439107,5,1.8712,3.4853,0.0788
36,0.870012,0.024608,0.838677,0.894317,0.437591,5,1.8367,3.5178,0.0798
37,0.871625,0.024182,0.844568,0.898649,0.433431,5,1.7964,3.539,0.0823
38,0.872431,0.024091,0.845036,0.898735,0.430646,5,1.7859,3.5362,0.0818
39,0.870479,0.024182,0.839815,0.894144,0.433176,5,1.8015,3.5266,0.075
40,0.870775,0.02402,0.838945,0.894577,0.435354,5,1.8105,3.5046,0.0757
41,0.871157,0.022792,0.842024,0.895097,0.430223,5,1.7884,3.5349,0.0798
42,0.87288,0.025082,0.841623,0.898389,0.425139,5,1.7843,3.5478,0.0773
43,0.873361,0.023921,0.843965,0.898216,0.428545,5,1.7898,3.5167,0.0776
44,0.87093,0.025315,0.839414,0.89631,0.427231,5,1.7989,3.5314,0.0811
45,0.875564,0.024208,0.846375,0.900208,0.422049,5,1.8114,3.5431,0.0786
46,0.876019,0.024238,0.847848,0.903586,0.421911,5,1.7915,3.5813,0.0793
47,0.875157,0.023156,0.847647,0.900901,0.418383,5,1.7363,3.6167,0.0839
48,0.873746,0.021452,0.848785,0.897523,0.420533,5,1.7461,3.5319,0.083
49,0.873897,0.025928,0.842694,0.901161,0.424634,5,1.8221,3.4795,0.0809
50,0.875238,0.022877,0.847513,0.897089,0.418662,5,1.869,3.4811,0.0753
51,0.87296,0.023603,0.842426,0.895184,0.425758,5,1.8397,3.5075,0.082
52,0.873594,0.023815,0.841823,0.897696,0.427621,5,1.7785,3.5986,0.0828
53,0.873064,0.025891,0.83841,0.896483,0.420484,5,1.7346,3.6371,0.0843
54,0.876244,0.022913,0.848919,0.898735,0.414155,5,1.6778,3.6755,0.0797
55,0.876622,0.02337,0.848785,0.902027,0.412832,5,1.6404,3.6348,0.0855
56,0.875722,0.025833,0.842158,0.904019,0.418855,5,1.6699,3.635,0.0787
57,0.87588,0.025422,0.846241,0.902547,0.416339,5,1.6806,3.6156,0.0807
58,0.876107,0.026174,0.843899,0.907138,0.418695,5,1.6934,3.6358,0.0793
59,0.87802,0.024022,0.847312,0.903413,0.412162,5,1.6856,3.6226,0.0892
60,0.876636,0.025442,0.844233,0.903673,0.420206,5,1.7047,3.576,0.0808
61,0.8768,0.025466,0.843899,0.904019,0.418435,5,1.716,3.5757,0.0867
62,0.877409,0.024622,0.846777,0.90272,0.411371,5,1.6646,3.4177,0.0807
63,0.87788,0.025666,0.844501,0.905925,0.412841,5,1.6143,3.455,0.0839
64,0.878247,0.022147,0.853605,0.902027,0.409159,5,1.6238,3.2818,0.076
65,0.878942,0.02754,0.84189,0.908437,0.411519,5,1.5036,3.0996,0.0731
66,0.880579,0.025771,0.847915,0.909737,0.410009,5,1.4898,2.9706,0.0698
67,0.880084,0.027402,0.845036,0.910603,0.406299,5,1.4587,2.7199,0.0673
68,0.878728,0.027284,0.841957,0.905665,0.407089,5,1.4218,2.6715,0.0688
69,0.880275,0.025823,0.846978,0.908091,0.40514,5,1.4271,2.6683,0.0631
70,0.879944,0.024722,0.849655,0.905492,0.407514,5,1.3236,2.6459,0.0598
71,0.879972,0.027699,0.845438,0.911816,0.406658,5,1.2287,2.5386,0.0626
72,0.879736,0.027168,0.844568,0.908091,0.410696,5,1.1873,2.5433,0.0616
73,0.879963,0.026648,0.846643,0.910083,0.401008,5,1.1976,2.4873,0.0602
74,0.888384,0.02046,0.859856,0.907311,0.385797,4,1.2186,2.4191,0.0595
75,0.888694,0.020014,0.860328,0.905839,0.381698,4,1.2328,2.3988,0.0588
76,0.88881,0.021435,0.858387,0.908004,0.383312,4,1.2016,2.4213,0.058
77,0.882113,0.019698,0.859699,0.896666,0.401715,3,1.2003,2.0517,0.0493
78,0.882799,0.020538,0.859541,0.898439,0.400184,3,1.1919,2.0652,0.0516
79,0.881374,0.020112,0.858702,0.897066,0.396959,3,1.1737,2.0595,0.0475
80,0.882796,0.020255,0.859594,0.896952,0.399906,3,1.1606,2.0652,0.0499
81,0.882769,0.019846,0.860276,0.89781,0.394424,3,1.1416,2.0915,0.0494
82,0.883442,0.019722,0.860853,0.897238,0.396119,3,1.1103,2.1368,0.0504
83,0.882708,0.020124,0.860014,0.898382,0.401092,3,1.098,1.9394,0.0418
84,0.884219,0.020419,0.861168,0.90004,0.394837,3,0.9736,1.9465,0.0413
85,0.883213,0.020708,0.859646,0.898496,0.39782,3,0.9626,1.9881,0.0409
86,0.894445,0.005001,0.890908,0.897981,0.36423,2,0.9314,1.8407,0.0394
87,0.895255,0.005312,0.891498,0.899011,0.374271,2,0.9216,1.8379,0.0404
88,0.894891,0.005423,0.891056,0.898725,0.377075,2,0.9207,1.8678,0.0391
89,0.895713,0.004016,0.892873,0.898553,0.365317,2,0.8544,1.5442,0.0249
90,0.894809,0.004891,0.89135,0.898267,0.387232,2,0.7783,1.54,0.0258
91,0.894805,0.00433,0.891743,0.897867,0.362889,2,0.7656,1.5239,0.0255
92,0.893792,0.003175,0.891547,0.896037,0.374297,2,0.7728,1.4621,0.0143
93,0.896297,0.004079,0.893413,0.899182,0.371033,2,0.5604,1.2984,0.0149
94,0.893892,0.006512,0.889287,0.898496,0.411796,2,0.5796,1.2622,0.0158
95,0.894683,0.003533,0.892185,0.897181,0.382105,2,0.5824,1.2561,0.0149
