round,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_val_loss,workers_reporting,mean_phase_a_s,mean_phase_b_s,mean_phase_c_s
1,0.021296,0.021096,0.002811,0.045119,4.1272,5,1.2183,0.5981,0.057
2,0.180095,0.284833,0.044403,0.689449,3.290628,5,1.1983,0.4839,0.0785
3,0.599546,0.297986,0.068394,0.772609,1.533012,5,1.2896,0.5497,0.0754
4,0.486948,0.391469,0.053182,0.805787,1.979226,5,1.3328,0.5435,0.0739
5,0.787241,0.039359,0.728161,0.834286,0.873172,5,1.3766,0.5636,0.0694
6,0.653392,0.327483,0.067809,0.811779,1.307888,5,1.3781,0.5883,0.079
7,0.652357,0.322912,0.07623,0.819785,1.383575,5,1.3692,0.6082,0.0844
8,0.809684,0.02213,0.782649,0.838566,0.745765,5,1.429,0.6536,0.0882
9,0.665272,0.33004,0.07623,0.842512,1.276131,5,1.4752,0.6471,0.0805
10,0.661598,0.328204,0.07623,0.830886,1.29629,5,1.4745,0.6198,0.0874
11,0.672741,0.334066,0.07623,0.849717,1.189666,5,1.486,0.6094,0.0832
12,0.824931,0.022082,0.80012,0.851204,0.663242,5,1.5169,0.6025,0.0895
13,0.82289,0.02305,0.791954,0.849774,0.648241,5,1.519,0.6206,0.0865
14,0.828567,0.023875,0.794029,0.853663,0.621528,5,1.5115,0.6072,0.0868
15,0.824218,0.024154,0.799719,0.854978,0.739129,5,1.494,0.6349,0.0879
16,0.837899,0.02333,0.805877,0.858021,0.603385,5,1.4899,0.6029,0.0851
17,0.841592,0.024327,0.814044,0.865443,0.621495,5,1.5164,0.5981,0.0845
18,0.836457,0.025649,0.799518,0.859927,0.618972,5,1.4818,0.6232,0.0965
19,0.836416,0.028092,0.794765,0.861783,0.572388,5,1.4873,0.5951,0.0866
20,0.845721,0.02479,0.813977,0.874307,0.564796,5,1.5063,0.6195,0.1006
21,0.843053,0.026288,0.803936,0.868702,0.576525,5,1.4933,0.6127,0.0968
22,0.839464,0.031667,0.788607,0.870361,0.643738,5,1.5016,0.597,0.0865
23,0.845161,0.024889,0.817592,0.870236,0.612404,5,1.4996,0.6274,0.0949
24,0.848943,0.022986,0.820872,0.871619,0.535179,5,1.4873,0.6307,0.0902
25,0.850267,0.025077,0.814847,0.874707,0.561406,5,1.4849,0.6479,0.0934
26,0.850562,0.025339,0.814312,0.878985,0.503811,5,1.4752,0.6422,0.1008
27,0.849394,0.020579,0.823281,0.875279,0.607844,5,1.4743,0.6511,0.096
28,0.854879,0.026558,0.824888,0.883489,0.546406,5,1.4803,0.6362,0.0918
29,0.849354,0.022397,0.822746,0.871333,0.677491,5,1.4941,0.622,0.0957
30,0.851505,0.019276,0.829707,0.877395,0.564207,5,1.5143,0.6193,0.0914
31,0.848595,0.025033,0.818462,0.87465,0.657238,5,1.5099,0.6114,0.0941
32,0.857094,0.024872,0.829908,0.885915,0.493274,5,1.519,0.6031,0.0951
33,0.852698,0.024625,0.824085,0.884356,0.613083,5,1.4478,0.5836,0.0902
34,0.860785,0.023167,0.83185,0.887301,0.523878,5,1.4305,0.5745,0.0895
35,0.855535,0.025624,0.825223,0.880111,0.574285,5,1.3871,0.5691,0.0883
36,0.826831,0.050734,0.743676,0.873163,0.777327,5,1.2628,0.547,0.0887
37,0.859269,0.022736,0.832117,0.883922,0.509066,5,1.2773,0.528,0.0829
38,0.859527,0.024055,0.83118,0.88271,0.521866,5,1.1918,0.4961,0.0766
39,0.846131,0.02781,0.817257,0.875622,0.666336,5,1.1312,0.5046,0.0779
40,0.859289,0.021726,0.829507,0.880883,0.505185,5,1.1276,0.4996,0.0726
41,0.85986,0.026821,0.824152,0.88964,0.57581,5,1.1107,0.4836,0.0691
42,0.85682,0.021682,0.832385,0.886608,0.615859,5,1.0856,0.4812,0.0671
43,0.861366,0.02615,0.829373,0.885482,0.515335,5,1.0436,0.4776,0.0623
44,0.860406,0.02229,0.831649,0.881969,0.513582,5,0.9661,0.4334,0.0618
45,0.864874,0.026906,0.831515,0.895703,0.460235,5,0.9304,0.4557,0.0598
46,0.858161,0.027451,0.832787,0.893278,0.568015,5,0.9327,0.4434,0.0562
47,0.870814,0.022794,0.838869,0.891026,0.476036,4,0.8663,0.3938,0.05
48,0.871184,0.022273,0.838921,0.88886,0.471285,4,0.8541,0.3835,0.0466
49,0.871602,0.021931,0.840076,0.888947,0.476249,4,0.867,0.3691,0.0459
50,0.864235,0.027932,0.836035,0.891892,0.653127,3,0.8978,0.4,0.0469
51,0.85622,0.046651,0.823233,0.889207,0.565433,2,0.9106,0.4029,0.0539
52,0.863493,0.029259,0.842804,0.884182,0.485008,2,0.8669,0.4406,0.054
53,0.838925,0.010468,0.831523,0.846327,0.755943,2,0.9233,0.4511,0.058
54,0.857294,0.037781,0.830579,0.884009,0.724155,2,0.906,0.5123,0.0583
55,0.864965,0.03171,0.842542,0.887387,0.475584,2,0.7748,0.4705,0.0486
56,0.838292,0.0,0.838292,0.838292,0.521817,1,0.5558,0.2814,0.0027
57,0.839918,0.0,0.839918,0.839918,0.530394,1,0.4686,0.2283,0.0024
58,0.7694,0.0,0.7694,0.7694,1.40991,1,0.4885,0.2402,0.0027
59,0.84081,0.0,0.84081,0.84081,0.518172,1,0.4464,0.2387,0.0022
60,0.825017,0.0,0.825017,0.825017,0.954649,1,0.4566,0.226,0.0024
61,0.843906,0.0,0.843906,0.843906,0.533522,1,0.4499,0.25,0.0026
