round,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_val_loss,workers_reporting,mean_global_test_accuracy,std_global_test_accuracy,mean_phase_a_s,mean_phase_b_s,mean_phase_c_s
1,0.019051,0.028484,0.003967,0.069881,4.128888,5,0.013579,0.010747,158.3872,99.0506,0.146
2,0.538935,0.439285,0.036461,0.870072,1.956676,5,0.40973,0.354848,116.1848,98.5792,0.0777
3,0.374333,0.443972,0.014505,0.861128,2.676479,5,0.267472,0.307248,115.4926,98.3181,0.0824
4,0.38511,0.441994,0.028518,0.878761,2.69936,5,0.302887,0.376965,116.1929,95.9768,0.0688
5,0.360903,0.444405,0.009027,0.860825,2.831408,5,0.255846,0.28992,115.7139,96.1516,0.1398
6,0.871152,0.012518,0.858895,0.887305,0.628617,5,0.703312,0.124935,112.6989,96.0144,0.1183
7,0.580746,0.293946,0.199745,0.87649,1.918089,5,0.464946,0.18834,113.6663,93.2023,0.0629
8,0.68476,0.378605,0.010329,0.885133,1.668519,5,0.606831,0.335113,114.8935,93.7447,0.1153
9,0.655254,0.354879,0.024867,0.880427,1.316455,5,0.597332,0.323916,113.945,95.4474,0.0794
10,0.754315,0.241568,0.323924,0.892389,1.286686,5,0.602164,0.26508,114.3929,97.4531,0.0788
11,0.828842,0.033968,0.786726,0.870088,0.982115,5,0.755767,0.113657,114.0913,89.6321,0.0638
12,0.867401,0.055674,0.77032,0.91148,0.741611,5,0.713338,0.09453,112.8286,92.8932,0.069
13,0.86548,0.052422,0.772301,0.897471,0.528413,5,0.776448,0.105951,112.0182,95.3934,0.0635
14,0.870967,0.052839,0.777434,0.900836,0.471742,5,0.779466,0.098525,112.0096,91.6505,0.0754
15,0.867245,0.03164,0.822465,0.901239,0.545783,5,0.761224,0.093704,112.7904,93.7204,0.0748
16,0.836125,0.118756,0.624525,0.900088,1.018867,5,0.70097,0.15135,113.4846,96.6221,0.0557
17,0.898374,0.014474,0.88115,0.919229,0.417466,5,0.772853,0.098163,111.0413,93.1747,0.0577
18,0.893721,0.01292,0.877077,0.90994,0.449737,5,0.757007,0.090425,111.23,98.7049,0.0673
19,0.889072,0.038945,0.824425,0.924312,0.581141,5,0.778237,0.100898,111.2449,93.1499,0.0925
20,0.879656,0.04177,0.818393,0.922328,0.51123,5,0.733742,0.099622,111.2358,93.6272,0.0722
21,0.884183,0.0232,0.859963,0.921832,0.673145,5,0.765016,0.097853,111.2947,89.0717,0.0614
22,0.895497,0.021394,0.869204,0.926544,0.402597,5,0.793806,0.09287,110.9043,97.5844,0.1018
23,0.90002,0.013958,0.885741,0.921398,0.391771,5,0.772041,0.097059,111.181,97.8791,0.1797
24,0.848178,0.050329,0.786086,0.90248,0.504166,5,0.807426,0.085288,111.9576,92.3574,0.0744
25,0.877798,0.031955,0.824076,0.901062,0.527302,5,0.727125,0.073763,112.3124,91.9932,0.0659
26,0.88289,0.027578,0.838148,0.906106,0.552486,5,0.732884,0.073475,112.0984,96.2933,0.094
27,0.790642,0.194637,0.448398,0.924312,0.958926,5,0.691966,0.189139,112.8221,92.623,0.0752
28,0.876808,0.020535,0.856121,0.905575,0.52256,5,0.793725,0.08393,112.3702,93.5726,0.0599
29,0.90059,0.021357,0.868568,0.922948,0.460697,5,0.772198,0.111993,112.2436,92.4956,0.0521
30,0.882975,0.037444,0.823781,0.927907,0.443073,5,0.807552,0.054704,111.3483,99.1849,0.1332
31,0.889036,0.016424,0.87125,0.90689,0.413897,5,0.762059,0.069103,111.4776,94.8088,0.0744
32,0.894916,0.030102,0.859363,0.92611,0.40071,5,0.812422,0.088372,110.9086,97.8169,0.0659
33,0.890126,0.052935,0.812042,0.924374,0.517858,4,0.772615,0.154635,114.3867,100.5229,0.0924
34,0.883816,0.045033,0.820252,0.922712,0.409955,4,0.816373,0.08868,111.7034,90.8601,0.0673
35,0.910598,0.014069,0.894058,0.928279,0.37067,4,0.790694,0.109751,111.5008,95.8908,0.0678
36,0.898805,0.028139,0.863446,0.930883,0.51049,4,0.777952,0.102866,113.4152,96.5657,0.1312
37,0.897681,0.032654,0.854651,0.931379,0.41823,4,0.840913,0.099017,111.8313,94.005,0.078
38,0.912836,0.016051,0.893617,0.927721,0.356776,4,0.792675,0.116956,111.6972,93.6913,0.0705
39,0.870556,0.055125,0.831577,0.909536,0.429688,2,0.721632,0.030867,108.0198,83.1044,0.0529
40,0.909177,0.001477,0.908133,0.910222,0.367254,2,0.771844,0.11147,107.9677,94.0023,0.1573
41,0.917971,0.017472,0.905616,0.930325,0.32567,2,0.788319,0.145151,110.6573,93.4517,0.0871
42,0.905224,0.0,0.905224,0.905224,0.373696,1,0.690526,0.0,101.0274,83.9625,0.0549
43,0.852396,0.0,0.852396,0.852396,0.502699,1,0.894811,0.0,101.4613,85.9608,0.0542
44,0.905518,0.0,0.905518,0.905518,0.370005,1,0.749456,0.0,101.3483,81.9115,0.0573
