worker_id,round,timestamp,train_loss_avg,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,global_test_accuracy,global_test_macro_precision,global_test_macro_recall,global_test_macro_f1,round_duration_s,phase_a_s,phase_b_s,phase_c_s,grpc_mean_latency_s,neighbors_aggregated,peers_contacted
1,1,1783673619.271,1.701312,4.12051,0.030814,0.000497,0.016129,0.000964,0.031616,0.00051,0.016129,0.000989,269.0,160.4211,108.4469,0.0993,0.098953,0,1
1,2,1783673841.471,1.318623,0.537874,0.864256,0.749634,0.668268,0.689242,0.820595,0.756766,0.635272,0.654424,222.199,114.0546,108.0452,0.0716,0.071262,0,1
1,3,1783674058.228,1.297913,4.013818,0.03722,0.001095,0.016517,0.001596,0.034843,0.001187,0.01659,0.001618,216.757,115.8984,100.7961,0.0622,0.061857,1,1
1,4,1783674278.407,1.362441,4.105561,0.023597,0.000381,0.016129,0.000744,0.024794,0.0004,0.016129,0.00078,220.179,114.7297,105.3895,0.0591,0.058692,1,1
1,5,1783674483.532,1.26853,4.039522,0.053763,0.002043,0.028239,0.003778,0.050891,0.001875,0.027298,0.003478,205.125,114.7553,90.2683,0.1005,0.100163,1,1
1,6,1783674682.107,1.212235,0.430574,0.887528,0.786583,0.710155,0.722308,0.849887,0.810637,0.685093,0.697464,198.575,106.7551,91.75,0.0496,0.049204,0,1
1,7,1783674886.846,1.244068,3.891699,0.056195,0.04404,0.033852,0.01361,0.053623,0.059692,0.033885,0.01381,204.739,112.5504,92.1357,0.0522,0.051789,1,1
1,8,1783675093.199,1.227355,3.864673,0.048005,0.074789,0.046994,0.01207,0.046989,0.048758,0.045762,0.01094,206.353,115.3967,90.9055,0.0501,0.049701,2,1
1,9,1783675284.187,1.166785,0.514255,0.868716,0.838946,0.73799,0.761591,0.822723,0.794955,0.706689,0.72328,190.987,106.6023,84.3208,0.0635,0.063146,1,1
1,10,1783675474.482,1.158513,0.509345,0.882176,0.826781,0.750738,0.764542,0.83402,0.777147,0.721531,0.725488,190.295,106.3034,83.9391,0.0519,0.051563,1,1
1,11,1783675667.546,1.139329,0.392874,0.90326,0.83189,0.751964,0.762358,0.866029,0.80913,0.726804,0.735058,193.064,109.9214,83.0766,0.0462,0.045882,0,1
1,12,1783675858.806,1.124474,0.351861,0.913558,0.843126,0.762958,0.781574,0.876188,0.826445,0.732879,0.752024,191.261,107.0277,84.16,0.0543,0.053909,0,1
1,13,1783676055.29,1.112676,2.157078,0.6458,0.601278,0.557464,0.494976,0.615902,0.60694,0.53936,0.481591,196.483,112.2375,84.1879,0.0574,0.057004,0,1
1,14,1783676246.105,1.096459,0.343482,0.916153,0.850539,0.768541,0.789058,0.880436,0.832413,0.741635,0.762006,190.815,107.9465,82.7997,0.0484,0.048092,0,1
1,15,1783676438.062,1.106424,0.648142,0.897502,0.848153,0.735178,0.761112,0.854794,0.806667,0.704959,0.725315,191.956,107.4842,84.4126,0.0592,0.058821,1,1
1,16,1783676630.233,1.101329,0.337455,0.913315,0.844298,0.767981,0.782829,0.876989,0.821233,0.745836,0.759757,192.171,108.3508,83.7546,0.045,0.044648,0,1
1,17,1783676830.598,1.117698,0.680238,0.898476,0.831779,0.739311,0.766775,0.854629,0.797006,0.703873,0.725602,200.364,109.2015,91.0992,0.0631,0.062753,1,1
1,18,1783677029.463,1.092377,0.336501,0.916153,0.854738,0.759428,0.777731,0.877994,0.832485,0.730616,0.746723,198.865,106.6058,92.1948,0.0455,0.045124,0,1
1,19,1783677232.592,1.09606,0.67043,0.860688,0.818484,0.773212,0.768366,0.818036,0.774064,0.747968,0.734341,203.129,107.8443,95.2343,0.0495,0.049151,1,1
1,20,1783677433.322,1.091077,0.712536,0.810736,0.787864,0.741083,0.727605,0.765535,0.763215,0.723379,0.697722,200.73,110.4961,90.1821,0.0518,0.051415,1,1
1,21,1783677636.33,1.07998,0.574983,0.892961,0.833511,0.787864,0.793151,0.847375,0.798893,0.757636,0.754681,203.007,108.2659,94.6832,0.0576,0.057186,1,1
1,22,1783677838.843,1.078245,0.403562,0.915748,0.853666,0.797138,0.814384,0.876934,0.821837,0.77284,0.785053,202.513,111.8531,90.5966,0.0624,0.062037,2,1
1,23,1783678047.049,1.076166,0.562251,0.859147,0.802845,0.782674,0.771555,0.81451,0.763652,0.758162,0.735825,208.206,111.0121,97.1356,0.0577,0.057355,1,1
1,24,1783678253.37,1.078372,0.587083,0.905449,0.849824,0.76723,0.778455,0.86822,0.83797,0.742295,0.748007,206.321,108.8398,97.3889,0.0916,0.034651,0,1
1,25,1783678449.092,1.057706,0.389813,0.905449,0.853436,0.808256,0.811546,0.862025,0.814958,0.780478,0.77766,195.722,108.5438,87.1293,0.0482,0.047832,4,1
1,26,1783678648.259,1.063891,0.305681,0.925965,0.869338,0.795238,0.818208,0.890297,0.842207,0.765715,0.788016,199.166,108.109,90.9758,0.0615,0.061093,1,1
1,27,1783678849.997,1.064725,0.541347,0.917288,0.848051,0.788615,0.798336,0.877908,0.820296,0.758157,0.76359,201.738,111.3427,90.3374,0.0577,0.057345,0,1
1,28,1783679047.811,1.052321,0.584416,0.907801,0.86077,0.781153,0.786063,0.866979,0.818897,0.76014,0.758343,197.814,110.121,87.6318,0.0604,0.060016,0,1
1,29,1783679240.617,1.050604,0.434068,0.873986,0.837623,0.79577,0.787046,0.832207,0.801526,0.775637,0.757783,192.805,107.447,85.2953,0.0626,0.062204,2,1
1,30,1783679446.311,1.051171,0.410753,0.881933,0.83526,0.79011,0.786701,0.837899,0.790701,0.768725,0.756518,205.694,108.1922,97.4491,0.0526,0.052235,1,1
1,31,1783679646.405,1.045403,0.413676,0.92264,0.846386,0.813975,0.822979,0.882752,0.826754,0.791688,0.796413,200.094,109.4376,90.6036,0.052,0.051675,1,1
1,32,1783679850.378,1.038636,0.395752,0.904233,0.852378,0.813916,0.814639,0.862017,0.814908,0.791093,0.783392,203.972,107.0821,96.8417,0.0481,0.047752,2,1
1,33,1783680053.301,1.046475,0.757408,0.805141,0.789081,0.750063,0.73153,0.758854,0.752329,0.72471,0.696736,202.923,111.141,91.7238,0.0573,0.056962,1,1
1,34,1783680253.964,1.052613,0.31733,0.926289,0.854192,0.794053,0.809009,0.889857,0.841679,0.773678,0.789337,200.663,109.9711,90.6281,0.0632,0.062891,0,1
1,35,1783680459.128,1.030538,0.418711,0.884609,0.834263,0.795148,0.800153,0.842908,0.805196,0.774332,0.772502,205.164,110.416,94.6794,0.068,0.067659,1,1
1,36,1783680657.249,1.030606,0.296775,0.930182,0.866141,0.808214,0.828152,0.894317,0.853437,0.785972,0.804063,198.121,107.3244,90.6891,0.08,0.03804,1,1
1,37,1783680859.495,1.03483,0.303991,0.928803,0.867661,0.797267,0.814843,0.893359,0.859357,0.774423,0.789046,202.245,109.5229,92.6668,0.0552,0.054845,0,1
1,38,1783681054.233,1.025244,0.353149,0.930587,0.873345,0.826397,0.837823,0.893775,0.846425,0.801399,0.809042,194.738,110.7795,83.908,0.0494,0.049063,1,1
1,39,1783681244.898,1.024293,0.307511,0.929695,0.864346,0.807434,0.824802,0.897598,0.844058,0.778739,0.796646,190.665,106.4933,84.1178,0.0537,0.0533,0,1
1,40,1783681438.422,1.034576,0.328441,0.929046,0.859936,0.806304,0.823766,0.893924,0.843919,0.7848,0.802206,193.523,109.371,84.0969,0.0549,0.054487,0,1
1,41,1783681638.725,1.018742,0.421326,0.885744,0.835406,0.802518,0.797567,0.845624,0.801107,0.784818,0.770387,200.303,108.5766,91.668,0.0584,0.058052,1,1
1,42,1783681833.355,1.01121,0.370722,0.930911,0.884623,0.815775,0.835005,0.896115,0.863309,0.794637,0.810718,194.63,108.7311,85.8484,0.0495,0.049097,2,1
1,43,1783682027.293,1.030583,0.304506,0.931317,0.86899,0.808221,0.824092,0.895259,0.861166,0.780629,0.795835,193.938,108.9419,84.941,0.0542,0.053785,0,1
1,44,1783682227.398,1.021315,0.342392,0.921667,0.8613,0.82478,0.828824,0.884094,0.838413,0.803838,0.804864,200.105,107.6293,92.4204,0.0544,0.054021,1,1
1,45,1783682433.12,1.016923,0.307413,0.933993,0.884404,0.824494,0.839271,0.896444,0.857653,0.800025,0.812485,205.722,108.5048,97.1682,0.0483,0.047917,2,1
