worker_id,round,timestamp,train_loss_avg,val_loss,val_accuracy,round_duration_s,phase_a_s,phase_b_s,phase_c_s,grpc_mean_latency_s,neighbors_aggregated,peers_contacted
0,1,1780399971.784,2.571378,4.125236,0.00641,0.985,0.5366,0.4431,0.0047,0.0,0,0
0,2,1780399972.348,1.835799,1.298666,0.689449,0.564,0.256,0.3046,0.0031,0.0,0,0
0,3,1780399972.966,1.610781,0.897588,0.772609,0.619,0.2911,0.3245,0.0027,0.0,0,0
0,4,1780399973.518,1.540497,0.757574,0.805787,0.551,0.255,0.2469,0.049,0.04627,0,1
0,5,1780399974.298,1.457441,0.68845,0.834286,0.78,0.4305,0.3209,0.0281,0.025262,0,1
0,6,1780399975.204,1.460581,0.955618,0.79851,0.906,0.4581,0.38,0.0678,0.032589,0,2
0,7,1780399976.268,1.803643,3.948592,0.07623,1.064,0.5178,0.439,0.1073,0.034736,1,3
0,8,1780399977.768,1.470994,0.993225,0.803015,1.499,0.8439,0.5677,0.0872,0.028236,1,3
0,9,1780399979.494,1.975464,3.623762,0.07623,1.726,1.0245,0.6135,0.0874,0.028341,1,3
0,10,1780399981.272,1.587279,3.639313,0.07623,1.778,1.0144,0.6574,0.1057,0.034483,3,3
0,11,1780399982.962,1.542721,3.461282,0.07623,1.69,0.9709,0.6299,0.0889,0.028839,3,3
0,12,1780399984.638,1.419296,0.803337,0.821552,1.676,0.979,0.6058,0.0911,0.029047,2,3
0,13,1780399986.341,1.369754,0.66265,0.834459,1.703,1.0682,0.5521,0.0821,0.026331,2,3
0,14,1780399988.143,1.356727,0.732285,0.838011,1.802,1.065,0.6419,0.0949,0.030891,3,3
0,15,1780399989.87,1.368378,0.632075,0.843988,1.726,0.9907,0.6394,0.0956,0.031017,2,3
0,16,1780399991.55,1.337463,0.527377,0.858021,1.681,0.9998,0.6044,0.0761,0.024595,1,3
0,17,1780399993.342,1.322829,0.607446,0.858801,1.791,1.0835,0.6287,0.0789,0.025343,3,3
0,18,1780399995.146,1.296838,0.511563,0.859927,1.804,0.9569,0.7309,0.1155,0.03758,2,3
0,19,1780399996.792,1.289009,0.49543,0.859667,1.646,0.9681,0.5901,0.0877,0.028393,4,3
0,20,1780399998.541,1.272921,0.497081,0.874307,1.749,1.0958,0.5648,0.0885,0.028717,1,3
0,21,1780400000.321,1.268158,0.475644,0.863479,1.779,1.0802,0.6087,0.0902,0.029317,2,3
0,22,1780400002.042,1.253507,0.596171,0.85499,1.721,1.0113,0.6247,0.0846,0.027458,2,3
0,23,1780400003.748,1.253148,0.46899,0.870236,1.705,0.9632,0.6499,0.0918,0.029515,2,3
0,24,1780400005.432,1.273259,0.487995,0.869456,1.684,0.9852,0.6113,0.0872,0.028355,0,3
0,25,1780400007.131,1.262545,0.583338,0.869023,1.699,0.9795,0.6276,0.0915,0.02972,1,3
0,26,1780400008.825,1.259951,0.461973,0.878985,1.694,1.0312,0.5817,0.0809,0.026167,0,3
0,27,1780400010.563,1.234436,1.039631,0.854816,1.738,1.0248,0.6265,0.0865,0.02805,1,3
0,28,1780400012.205,1.225723,0.423324,0.883489,1.642,0.9617,0.597,0.0829,0.026838,1,3
0,29,1780400013.932,1.241435,0.911971,0.870236,1.727,1.0051,0.6083,0.1131,0.03693,1,3
0,30,1780400015.613,1.228341,0.767951,0.857328,1.68,0.9783,0.6186,0.0831,0.026893,0,3
0,31,1780400017.231,1.232203,0.632298,0.86885,1.618,0.9653,0.5744,0.0779,0.0251,0,3
0,32,1780400018.926,1.222907,0.414903,0.885915,1.695,1.0184,0.5861,0.0905,0.029359,1,3
0,33,1780400020.636,1.209475,0.414782,0.884356,1.71,1.0355,0.5849,0.089,0.028943,1,3
0,34,1780400022.342,1.199308,0.399192,0.887301,1.706,1.0352,0.5874,0.0827,0.026714,1,3
0,35,1780400024.11,1.189699,0.687233,0.880111,1.768,0.9718,0.6851,0.1108,0.036102,1,3
0,36,1780400025.728,1.22866,1.324857,0.743676,1.618,0.9248,0.6028,0.09,0.029161,0,3
0,37,1780400027.392,1.196848,0.42036,0.883922,1.664,1.0248,0.5601,0.0791,0.025582,1,3
0,38,1780400029.101,1.208253,0.433326,0.88271,1.709,1.0399,0.5836,0.0851,0.027573,1,3
0,39,1780400030.807,1.218887,0.775673,0.845721,1.706,0.9953,0.6131,0.0971,0.031435,0,3
0,40,1780400032.493,1.168822,0.6473,0.872921,1.685,1.0,0.5976,0.0876,0.0284,1,3
0,41,1780400034.325,1.174104,0.438644,0.88964,1.832,1.0896,0.6402,0.1018,0.033139,1,3
0,42,1780400036.13,1.162621,0.396636,0.886608,1.805,1.0369,0.6838,0.0839,0.027207,1,3
0,43,1780400037.712,1.188432,0.520229,0.885482,1.582,0.9119,0.5842,0.0861,0.027678,0,3
0,44,1780400039.429,1.170921,0.610043,0.873787,1.717,1.0579,0.5697,0.0887,0.028605,0,3
0,45,1780400041.233,1.162778,0.377591,0.895703,1.804,1.0672,0.6449,0.0916,0.029705,1,3
0,46,1780400042.972,1.160623,0.37644,0.893278,1.738,1.0199,0.6314,0.0865,0.028012,1,3
0,47,1780400044.744,1.175268,0.44901,0.891026,1.772,1.0224,0.6483,0.1014,0.032571,0,3
0,48,1780400046.459,1.160228,0.469033,0.88886,1.715,0.9941,0.6348,0.0856,0.027775,0,3
0,49,1780400048.118,1.175198,0.407218,0.888947,1.659,0.9876,0.5851,0.0856,0.027804,0,3
0,50,1780400049.853,1.188837,0.409918,0.891892,1.735,1.0254,0.6173,0.0918,0.029823,0,3
0,51,1780400051.561,1.185873,0.412608,0.889207,1.707,1.0737,0.5487,0.0848,0.027151,0,3
0,52,1780400053.257,1.170102,0.479628,0.884182,1.696,0.9846,0.6276,0.0839,0.027182,0,3
0,53,1780400054.987,1.173341,0.786835,0.846327,1.729,1.0363,0.6047,0.0879,0.028506,0,3
0,54,1780400056.662,1.197308,0.561697,0.884009,1.675,0.9367,0.6487,0.0897,0.029044,0,3
