round,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_val_loss,workers_reporting,mean_global_test_accuracy,std_global_test_accuracy,mean_val_macro_precision,std_val_macro_precision,mean_val_macro_recall,std_val_macro_recall,mean_val_macro_f1,std_val_macro_f1,mean_global_test_macro_precision,std_global_test_macro_precision,mean_global_test_macro_recall,std_global_test_macro_recall,mean_global_test_macro_f1,std_global_test_macro_f1,mean_phase_a_s,mean_phase_b_s,mean_phase_c_s
1,0.025651,0.03771,0.002959,0.069182,4.12356,3,0.014689,0.013708,0.000414,0.000608,0.016129,0.0,0.000779,0.001133,0.000237,0.000221,0.016129,0.0,0.000463,0.000428,172.7943,10.4146,0.2771
2,0.451684,0.359139,0.038617,0.690042,2.272479,3,0.223583,0.164073,0.217074,0.196577,0.140832,0.109351,0.132134,0.116104,0.211974,0.187508,0.131855,0.100538,0.089976,0.077229,120.0141,9.9803,0.1075
3,0.521332,0.387665,0.074423,0.766883,1.996415,3,0.383468,0.327543,0.391954,0.338633,0.281475,0.230032,0.282422,0.242665,0.336413,0.295008,0.251152,0.208403,0.23257,0.209998,121.0751,9.5458,0.2376
4,0.294571,0.376157,0.074423,0.728906,2.715157,3,0.251462,0.37642,0.194589,0.334875,0.158188,0.246053,0.149359,0.254685,0.190319,0.328688,0.15387,0.238574,0.142182,0.244421,120.3105,9.5731,0.0957
5,0.320339,0.382048,0.094539,0.761448,2.419031,3,0.220589,0.269796,0.313976,0.228324,0.17114,0.233565,0.168543,0.234145,0.327934,0.17978,0.152501,0.205858,0.13685,0.187615,120.7274,9.3921,0.0682
6,0.749637,0.06859,0.670443,0.790153,0.937557,3,0.608532,0.035039,0.602033,0.035688,0.499092,0.030337,0.493343,0.039229,0.586338,0.037095,0.465163,0.022795,0.451593,0.014301,117.8991,10.8018,0.1808
7,0.78087,0.052767,0.720716,0.819345,0.813971,3,0.61038,0.061327,0.658527,0.029211,0.5593,0.013047,0.566842,0.003785,0.592302,0.043142,0.505139,0.035467,0.486698,0.050967,120.1488,9.218,0.1851
8,0.800834,0.017996,0.780158,0.812976,0.760875,3,0.690471,0.087277,0.649536,0.060375,0.574279,0.043862,0.567804,0.062884,0.642617,0.048545,0.538539,0.053896,0.530629,0.06026,118.9606,10.1482,0.1355
9,0.778802,0.056251,0.72008,0.832203,0.956676,3,0.634823,0.170826,0.670716,0.090302,0.531264,0.095558,0.53614,0.094079,0.654365,0.083891,0.490105,0.123135,0.49059,0.133058,121.32,8.6708,0.2114
10,0.820823,0.017731,0.801656,0.836639,0.662892,3,0.686389,0.107824,0.727674,0.025277,0.612337,0.016274,0.616833,0.016471,0.662849,0.044802,0.570447,0.046141,0.551296,0.079282,117.2485,9.1797,0.1004
11,0.817629,0.028725,0.789915,0.847268,0.705027,3,0.727494,0.107958,0.713657,0.030652,0.628439,0.012811,0.618464,0.034097,0.681176,0.073801,0.592344,0.034837,0.577254,0.066331,121.4252,9.5667,0.0927
12,0.840163,0.009207,0.831784,0.850019,0.655409,3,0.677428,0.103288,0.711907,0.021719,0.625631,0.003638,0.633863,0.014346,0.656254,0.040233,0.571784,0.029591,0.548138,0.044307,118.5168,9.7851,0.1395
13,0.82417,0.01724,0.81131,0.84376,0.604802,3,0.724273,0.073761,0.730128,0.042857,0.645755,0.013906,0.641217,0.030133,0.698945,0.044854,0.613737,0.028176,0.6003,0.057671,118.0039,9.9142,0.0823
14,0.833274,0.011279,0.826643,0.846298,0.622425,3,0.727434,0.076444,0.745364,0.008914,0.642711,0.010505,0.644764,0.022993,0.69227,0.041449,0.612392,0.025156,0.599648,0.049078,119.5994,9.6555,0.1654
15,0.84071,0.034293,0.801114,0.860896,0.612191,3,0.757676,0.102063,0.726516,0.027296,0.654735,0.01221,0.646726,0.033216,0.710701,0.062794,0.624007,0.026844,0.612386,0.05303,118.3519,8.9944,0.2334
16,0.845454,0.024691,0.817665,0.864871,0.613315,3,0.752693,0.116397,0.736116,0.041049,0.647739,0.020359,0.650577,0.028583,0.715621,0.067024,0.617899,0.049509,0.613294,0.074564,118.2123,8.3562,0.1157
17,0.809924,0.015423,0.799404,0.827629,0.868807,3,0.683245,0.133025,0.726596,0.04358,0.600994,0.070366,0.608913,0.06867,0.703943,0.062481,0.56011,0.105071,0.563595,0.109687,119.2216,9.4606,0.0888
18,0.841851,0.014358,0.828526,0.857056,0.689487,3,0.697809,0.079733,0.763478,0.02093,0.653051,0.034111,0.661146,0.032739,0.686998,0.065747,0.604833,0.049474,0.590532,0.057601,121.0891,9.366,0.092
19,0.850122,0.014519,0.835422,0.864453,0.526286,3,0.793643,0.027848,0.760888,0.057193,0.678391,0.01047,0.676933,0.027572,0.743122,0.029125,0.659287,0.00858,0.662712,0.014766,118.8394,9.4197,0.1033
20,0.855986,0.004252,0.851319,0.859641,0.623799,3,0.722059,0.095009,0.751094,0.048466,0.67829,0.009752,0.677236,0.025656,0.696145,0.065696,0.638185,0.03473,0.607418,0.0726,119.9516,9.5648,0.1367
21,0.843099,0.002893,0.839759,0.844786,0.611944,3,0.759623,0.064372,0.745716,0.045333,0.67224,0.014946,0.668379,0.031339,0.727148,0.043072,0.653708,0.033351,0.642415,0.048044,127.2716,11.6263,0.1408
22,0.857106,0.013047,0.84235,0.867113,0.532368,3,0.755151,0.082248,0.755812,0.036047,0.674933,0.032471,0.672,0.05525,0.731532,0.045133,0.653657,0.028923,0.641887,0.054859,151.5959,11.8001,0.2213
23,0.852571,0.025436,0.823237,0.868528,0.627684,3,0.758077,0.112257,0.772053,0.035421,0.677031,0.022363,0.681092,0.041151,0.729404,0.072371,0.648146,0.050749,0.643508,0.073872,132.1233,9.797,0.1153
24,0.841964,0.02157,0.818304,0.860532,0.597141,3,0.750108,0.060215,0.760044,0.023212,0.682093,0.016989,0.677155,0.032503,0.730558,0.039473,0.661252,0.025104,0.650361,0.044463,125.7597,9.5774,0.1393
25,0.856196,0.026721,0.825775,0.875871,0.606545,3,0.780193,0.097731,0.750749,0.044076,0.680727,0.00596,0.676529,0.02786,0.742394,0.085931,0.655003,0.032084,0.642966,0.059749,125.226,10.2758,0.0955
26,0.861923,0.020525,0.840076,0.880802,0.522263,3,0.778259,0.086553,0.765487,0.03375,0.693603,0.014607,0.691238,0.032668,0.747703,0.053357,0.672571,0.025919,0.659986,0.053134,147.2893,11.6354,0.4012
27,0.865392,0.002357,0.86287,0.867538,0.608231,3,0.714859,0.107226,0.768442,0.028911,0.677674,0.014691,0.691171,0.014315,0.712103,0.06594,0.63314,0.030334,0.60376,0.062065,152.5111,11.3481,0.1904
28,0.847982,0.009202,0.838243,0.856532,0.536049,3,0.812163,0.012408,0.753988,0.049466,0.684052,0.01487,0.672393,0.0328,0.76887,0.014682,0.678325,0.005958,0.679737,0.006715,147.5073,12.2611,0.1003
29,0.846192,0.018087,0.82903,0.865081,0.504978,3,0.824615,0.021411,0.764699,0.048629,0.702911,0.014114,0.695254,0.037739,0.770034,0.024784,0.698392,0.003249,0.701429,0.011152,141.1192,10.8329,0.107
30,0.82735,0.046889,0.774076,0.862352,0.541783,3,0.799732,0.045923,0.749011,0.055983,0.695802,0.018636,0.683949,0.049476,0.75461,0.030186,0.688695,0.020317,0.684595,0.035175,138.2127,10.2195,0.1477
31,0.875236,0.005031,0.86958,0.879211,0.452533,3,0.735094,0.089821,0.788228,0.035569,0.705472,0.018058,0.714668,0.019704,0.728681,0.055407,0.663523,0.032429,0.636622,0.06019,130.6927,10.0342,0.0892
32,0.820661,0.072537,0.769369,0.871952,0.946939,2,0.593298,0.120369,0.74976,0.014646,0.608563,0.139907,0.635129,0.118691,0.669288,0.025548,0.546682,0.154503,0.517513,0.11634,118.799,9.4718,0.4133
33,0.860565,0.028837,0.840174,0.880956,0.716325,2,0.673194,0.010998,0.769098,0.006906,0.674856,0.03965,0.683862,0.045103,0.687322,0.016534,0.631031,0.035447,0.59512,0.029611,120.2224,9.7915,0.0518
34,0.852611,0.002619,0.850759,0.854463,0.501907,2,0.742217,0.091811,0.744018,0.024104,0.682568,0.014641,0.675342,0.00146,0.725868,0.050152,0.672408,0.056209,0.648057,0.087037,115.3221,10.0104,0.2648
35,0.862283,0.031345,0.840119,0.884447,0.508861,2,0.763344,0.102559,0.761977,0.019095,0.695639,0.024383,0.68886,0.046125,0.744,0.07602,0.674954,0.01635,0.659376,0.057851,115.9903,9.3697,0.1227
36,0.853307,0.028482,0.833168,0.873447,0.62261,2,0.753896,0.130089,0.750025,0.021983,0.686217,0.001913,0.682046,0.021154,0.743382,0.080309,0.661118,0.051496,0.648732,0.087695,116.1653,9.1154,0.0485
37,0.867715,0.027402,0.848339,0.887091,0.653112,2,0.742798,0.089857,0.763539,0.025536,0.704086,0.021788,0.704006,0.036731,0.727966,0.053465,0.672788,0.020615,0.649089,0.059814,116.7039,9.8857,0.0626
38,0.845157,0.051675,0.808617,0.881697,0.874524,2,0.706581,0.011692,0.765068,0.045192,0.664897,0.079048,0.673034,0.076252,0.708022,0.000257,0.624117,0.056753,0.610812,0.016643,119.4048,10.4101,0.0498
39,0.879764,0.008941,0.873441,0.886086,0.440407,2,0.669984,0.001216,0.77867,0.002234,0.710487,0.009333,0.723398,0.005863,0.692475,0.005534,0.655984,0.00302,0.601112,0.00158,115.4303,8.9963,0.0777
40,0.8764,0.013547,0.866821,0.88598,0.580944,2,0.674467,0.004891,0.780353,0.010183,0.699477,0.014203,0.712493,0.01123,0.689039,0.01352,0.650087,0.007324,0.604959,0.003815,116.796,8.1548,0.0491
41,0.87752,0.010918,0.8698,0.88524,0.552326,2,0.6799,0.017205,0.771852,0.004354,0.707431,0.011378,0.715643,0.006556,0.695692,0.00383,0.651061,0.019017,0.604355,0.0155,116.3782,11.3577,0.0589
42,0.885163,0.007214,0.880062,0.890264,0.42614,2,0.683268,0.012729,0.777913,0.013129,0.724346,0.003649,0.736059,0.002044,0.681774,0.002807,0.668289,0.005931,0.616172,0.009347,143.1988,11.3671,0.0559
43,0.880046,0.008169,0.874269,0.885822,0.44793,2,0.687331,0.010681,0.788057,0.00041,0.720305,0.002181,0.730962,0.003658,0.694466,0.013876,0.665691,0.001531,0.615452,0.006215,133.6903,8.5178,0.0543
44,0.881879,0.011933,0.873441,0.890317,0.41714,2,0.682117,0.015377,0.783388,0.00995,0.720121,0.010583,0.731032,0.006312,0.694693,0.001624,0.664036,0.016023,0.61391,0.018984,122.162,10.03,0.0575
45,0.882464,0.008936,0.876145,0.888783,0.439525,2,0.682655,0.005524,0.784339,0.01566,0.720209,0.006663,0.728643,0.00623,0.686926,0.006341,0.665812,0.004604,0.612731,0.000363,123.7107,9.6959,0.0576
46,0.883239,0.007691,0.8778,0.888677,0.419878,2,0.67135,0.007545,0.779375,0.00867,0.719119,0.002631,0.731857,0.004525,0.685026,0.008943,0.659906,0.001985,0.600742,0.008376,118.9127,10.2583,0.1225
47,0.88452,0.008722,0.878352,0.890687,0.426248,2,0.683429,0.018475,0.786617,0.007599,0.725665,0.008316,0.736266,0.008322,0.687186,0.009653,0.665532,0.003738,0.615173,0.01116,131.0303,10.2745,0.0587
48,0.881277,0.003435,0.878848,0.883706,0.566982,2,0.677623,0.006023,0.778442,0.00796,0.717691,0.002425,0.728509,0.00734,0.683483,0.008712,0.655234,0.011381,0.608359,0.007364,116.8222,9.615,0.0612
49,0.882999,0.011097,0.875152,0.890846,0.425665,2,0.703971,0.013352,0.776185,0.023718,0.719599,0.012248,0.725898,0.010437,0.696674,0.010443,0.667116,0.001575,0.624904,0.001991,117.5728,10.3534,0.0614
50,0.882962,0.004492,0.879786,0.886139,0.508749,2,0.676638,0.002864,0.78566,0.024764,0.718492,0.014466,0.723809,0.016295,0.695562,0.003958,0.661361,0.018648,0.607861,0.016491,123.473,10.8435,0.0558
51,0.883517,0.007149,0.878462,0.888572,0.413645,2,0.676461,0.007012,0.786204,0.01696,0.720303,6.7e-05,0.730499,0.001134,0.684566,0.004817,0.661946,0.000306,0.605047,0.007566,129.1368,10.0594,0.0548
52,0.885471,0.004685,0.882158,0.888783,0.414725,2,0.680943,0.001005,0.779936,0.010606,0.729899,0.003451,0.739173,0.00433,0.682851,0.000667,0.668017,0.006512,0.612555,0.00611,132.7572,10.0768,0.0604
53,0.871872,0.008618,0.865778,0.877965,0.730591,2,0.650207,0.051746,0.771853,0.004034,0.694279,0.031179,0.707257,0.0271,0.665976,0.021804,0.625056,0.046325,0.567377,0.060583,127.6684,11.0773,0.0568
54,0.884391,0.010025,0.877303,0.89148,0.523301,2,0.684132,0.002282,0.77996,0.012436,0.72463,0.007606,0.731486,0.011988,0.689752,0.025331,0.662721,0.015754,0.608762,0.013152,128.2975,10.1739,0.0592
55,0.883946,0.010954,0.8762,0.891692,0.447712,2,0.702456,0.009887,0.785664,0.007359,0.724849,0.014687,0.730369,0.012553,0.686223,0.000267,0.669508,0.012742,0.622849,0.005852,116.763,9.1168,0.0559
56,0.883791,0.00504,0.880227,0.887355,0.544328,2,0.679499,0.009532,0.786163,0.005411,0.718736,0.001854,0.729037,0.000775,0.695716,0.012882,0.6595,0.009882,0.608086,0.016544,116.0388,8.9554,0.052
57,0.887263,0.005815,0.883151,0.891374,0.410821,2,0.692352,0.000627,0.783138,0.000749,0.730272,0.006089,0.740142,0.005999,0.686816,0.008275,0.668855,9.1e-05,0.619839,0.003275,118.679,10.9792,0.0687
58,0.885145,0.008436,0.879179,0.89111,0.480333,2,0.676438,0.005868,0.786541,0.027442,0.725968,0.003,0.735823,0.004509,0.690537,0.003408,0.666351,0.000182,0.606593,0.001076,123.7845,10.4458,0.0607
59,0.887791,0.008434,0.881827,0.893754,0.427928,2,0.685156,0.001199,0.795833,0.009785,0.735321,0.003347,0.742333,0.007133,0.677917,0.003192,0.673363,0.000858,0.613727,0.004166,120.2159,10.613,0.0582
60,0.884917,0.009207,0.878407,0.891427,0.534873,2,0.673065,0.016022,0.788626,0.012892,0.727827,0.010486,0.736843,0.007591,0.689753,0.013827,0.664458,0.015016,0.603192,0.014103,120.215,8.6395,0.0594
61,0.881968,0.013229,0.872614,0.891322,0.516169,2,0.67455,0.007728,0.792112,0.02719,0.716206,0.016875,0.728735,0.018772,0.690353,0.006466,0.656247,0.008494,0.607298,0.00293,116.07,8.746,0.0533
62,0.886686,0.008276,0.880834,0.892538,0.433914,2,0.685297,0.017509,0.792205,0.010157,0.734496,0.007753,0.743701,0.009079,0.693836,0.014271,0.675002,0.00223,0.616218,0.009506,115.6878,10.2088,0.0577
63,0.884947,0.007144,0.879896,0.889999,0.596572,2,0.681513,0.002731,0.796003,0.001496,0.721387,0.000461,0.729362,0.001282,0.690659,0.004942,0.656434,0.003699,0.606021,0.001488,119.7465,10.4962,0.0586
64,0.88722,0.008642,0.88111,0.893331,0.402848,2,0.686051,0.00685,0.791783,0.021743,0.732288,0.004083,0.742066,0.003481,0.694928,0.019413,0.674364,0.003198,0.61773,0.010285,131.4812,10.9978,0.0517
65,0.878472,0.003214,0.8762,0.880745,0.546596,2,0.654678,0.025026,0.782278,0.010186,0.704789,0.013514,0.720882,0.008569,0.687188,0.013055,0.639758,0.019051,0.584009,0.022753,118.2424,10.7222,0.0272
66,0.88174,0.000436,0.881432,0.882048,0.437389,2,0.671986,0.019591,0.781976,0.019211,0.719433,0.012982,0.724541,0.018994,0.682203,0.02036,0.655741,0.023305,0.597397,0.02354,113.4853,10.1073,0.0281
67,0.869795,0.019591,0.855942,0.883648,0.801438,2,0.651581,0.05692,0.775706,0.020288,0.691238,0.064648,0.702496,0.059237,0.664517,0.026707,0.62065,0.076302,0.568102,0.067947,115.4159,9.1482,0.0267
68,0.886413,0.004924,0.882931,0.889894,0.459649,2,0.671966,0.012913,0.780668,0.006515,0.728253,0.004296,0.738911,0.001679,0.687234,0.003736,0.662883,0.008702,0.604274,0.00803,115.363,10.2173,0.0231
69,0.866876,0.0,0.866876,0.866876,0.776842,1,0.64422,0.0,0.784559,0.0,0.689631,0.0,0.707174,0.0,0.672044,0.0,0.622178,0.0,0.574171,0.0,115.7916,9.4045,0.0501
70,0.880007,0.0,0.880007,0.880007,0.60355,1,0.675609,0.0,0.784006,0.0,0.722252,0.0,0.730798,0.0,0.693727,0.0,0.657,0.0,0.606002,0.0,114.6732,8.1279,0.0549
71,0.884089,0.0,0.884089,0.884089,0.427985,1,0.693078,0.0,0.770999,0.0,0.739578,0.0,0.745032,0.0,0.676688,0.0,0.67738,0.0,0.619771,0.0,114.1077,10.0616,0.058
