round,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_val_loss,workers_reporting,mean_global_test_accuracy,std_global_test_accuracy,mean_val_macro_precision,std_val_macro_precision,mean_val_macro_recall,std_val_macro_recall,mean_val_macro_f1,std_val_macro_f1,mean_global_test_macro_precision,std_global_test_macro_precision,mean_global_test_macro_recall,std_global_test_macro_recall,mean_global_test_macro_f1,std_global_test_macro_f1,mean_phase_a_s,mean_phase_b_s,mean_phase_c_s
1,0.005707,0.002703,0.003163,0.011817,4.130605,8,0.006903,0.00453,0.000246,0.000391,0.015813,0.001167,0.000322,0.000313,0.000273,0.000299,0.015871,0.00088,0.00035,0.000225,157.7741,106.6576,0.595
2,0.167622,0.281697,0.031413,0.863283,3.545013,8,0.134953,0.27824,0.097346,0.261536,0.098747,0.232856,0.087016,0.238805,0.092155,0.25169,0.095077,0.222986,0.081826,0.227646,115.9254,106.8668,0.5196
3,0.093929,0.164634,0.003989,0.494459,3.861749,8,0.089877,0.157051,0.079795,0.2232,0.055776,0.109633,0.04604,0.126456,0.081944,0.22825,0.055308,0.108126,0.045348,0.124648,114.6009,97.5153,0.4095
4,0.388028,0.205472,0.154324,0.664514,2.675626,8,0.317852,0.206298,0.49039,0.149441,0.239527,0.151131,0.26406,0.161339,0.563011,0.107266,0.218949,0.155733,0.243106,0.163319,113.4891,99.9954,0.4106
5,0.813794,0.075597,0.644097,0.886248,0.947521,8,0.731934,0.054115,0.728594,0.045478,0.635198,0.070464,0.629499,0.058737,0.738351,0.02467,0.616472,0.067489,0.624445,0.054121,111.8819,100.0578,0.4168
6,0.84687,0.028865,0.810495,0.89917,0.505886,8,0.789519,0.011993,0.759633,0.046359,0.700041,0.022006,0.692131,0.037101,0.757495,0.00573,0.694626,0.008923,0.695695,0.00995,109.4117,95.336,0.4968
7,0.850355,0.027853,0.801615,0.900128,0.531442,8,0.788253,0.004557,0.760464,0.047318,0.705199,0.02545,0.692784,0.041598,0.764022,0.002743,0.70371,0.00179,0.701502,0.001347,113.5115,97.7962,0.4323
8,0.853649,0.029726,0.808881,0.906988,0.478846,8,0.800785,0.018882,0.768448,0.042612,0.718562,0.029642,0.710601,0.045135,0.765968,0.009426,0.717948,0.007379,0.715569,0.012334,109.1042,100.1242,0.4221
9,0.842969,0.027355,0.795963,0.87508,0.985968,8,0.770871,0.016724,0.747409,0.044437,0.697127,0.017053,0.67654,0.028386,0.745242,0.01408,0.692315,0.026708,0.677879,0.027084,111.8918,101.4551,0.4158
10,0.851342,0.031413,0.80778,0.911136,0.460055,8,0.804505,0.012369,0.769618,0.041669,0.731337,0.029769,0.71891,0.04247,0.766692,0.008434,0.730993,0.004536,0.722196,0.008885,107.8071,98.166,0.4037
11,0.860625,0.025161,0.826008,0.916082,0.44683,8,0.805685,0.022224,0.773843,0.041463,0.736386,0.0312,0.727515,0.043753,0.765131,0.012966,0.739623,0.008021,0.726607,0.016368,106.6028,101.3035,0.4111
12,0.857646,0.027996,0.817467,0.915124,0.447894,8,0.800748,0.020639,0.77568,0.033427,0.737072,0.027446,0.72621,0.036744,0.763847,0.011583,0.738011,0.008787,0.722853,0.015976,107.0517,95.1936,0.3891
13,0.859147,0.032015,0.801908,0.915922,0.442597,8,0.786077,0.021856,0.776385,0.032037,0.74005,0.02685,0.729081,0.035966,0.761447,0.009118,0.734927,0.00883,0.717025,0.015695,107.7194,98.4093,0.3935
14,0.857159,0.035534,0.809077,0.918315,0.44514,8,0.815188,0.023174,0.779302,0.04413,0.744175,0.035904,0.730872,0.053197,0.779063,0.013481,0.75126,0.010321,0.740431,0.017672,106.3642,97.9104,0.489
