worker_id,round,timestamp,train_loss_avg,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,global_test_accuracy,global_test_macro_precision,global_test_macro_recall,global_test_macro_f1,round_duration_s,phase_a_s,phase_b_s,phase_c_s,grpc_mean_latency_s,neighbors_aggregated,peers_contacted
0,1,1783673442.36,1.781435,4.12592,0.011817,0.000191,0.016129,0.000377,0.011996,0.000193,0.016129,0.000382,271.344,161.0688,109.8192,0.4301,0.061271,0,7
0,2,1783673667.67,1.647,4.046723,0.031413,0.000507,0.016129,0.000982,0.049454,0.000798,0.016129,0.00152,225.31,118.7375,105.7891,0.7538,0.107629,7,7
0,3,1783673895.228,1.368715,2.639535,0.494459,0.632182,0.327055,0.358991,0.478068,0.64683,0.322845,0.353834,227.557,117.0083,110.1121,0.4092,0.058397,7,7
0,4,1783674114.58,1.296496,2.065773,0.664514,0.686587,0.500055,0.532491,0.646827,0.699405,0.496717,0.527829,219.352,122.8681,96.0452,0.4181,0.059671,7,7
0,5,1783674332.668,1.262948,0.678765,0.773945,0.75256,0.671999,0.670481,0.755588,0.745377,0.663467,0.659999,218.087,113.3965,104.2634,0.4058,0.057912,7,7
0,6,1783674548.989,1.23472,0.574334,0.810495,0.771215,0.711608,0.709884,0.79164,0.75859,0.703411,0.701903,216.321,113.9171,101.9941,0.3901,0.055672,7,7
0,7,1783674765.805,1.219769,0.623844,0.801615,0.781053,0.717581,0.715674,0.783153,0.761941,0.704594,0.702147,216.816,112.0381,104.3514,0.4255,0.060622,7,7
0,8,1783674989.543,1.199509,0.570276,0.843083,0.78609,0.736587,0.73908,0.821553,0.772394,0.725733,0.726411,223.736,117.5041,105.8366,0.3736,0.053317,6,7
0,9,1783675214.154,1.18802,0.82378,0.795963,0.761091,0.72296,0.709193,0.777218,0.761828,0.709901,0.693239,224.611,114.8767,109.2643,0.4696,0.067018,7,7
0,10,1783675421.057,1.175129,0.553945,0.80778,0.771346,0.744313,0.725318,0.785179,0.753225,0.72443,0.706448,206.903,109.4825,97.0346,0.3661,0.052238,8,7
0,11,1783675641.309,1.158892,0.476408,0.858349,0.791505,0.760061,0.759889,0.836588,0.783847,0.750994,0.74926,220.252,109.232,110.5997,0.4019,0.057354,8,7
0,12,1783675849.228,1.156613,0.473219,0.857688,0.793723,0.763,0.760177,0.834122,0.78398,0.753017,0.748894,207.919,110.0065,97.5162,0.3782,0.053957,6,7
0,13,1783676069.972,1.152028,0.547596,0.801908,0.773238,0.747943,0.729601,0.780931,0.759782,0.735759,0.715131,220.743,110.7004,109.6593,0.3822,0.05454,8,7
0,14,1783676272.538,1.135911,0.51348,0.832734,0.78257,0.762496,0.749512,0.814817,0.782149,0.755378,0.742099,202.566,110.638,91.5554,0.3719,0.053064,7,7
