worker_id,round,timestamp,train_loss_avg,val_loss,val_accuracy,round_duration_s,phase_a_s,phase_b_s,phase_c_s,grpc_mean_latency_s,neighbors_aggregated,peers_contacted
3,51,1780399128.886,1.222139,0.512941,0.842426,5.293,1.6436,3.5746,0.075,0.024218,3,3
3,52,1780399134.137,1.229426,0.506525,0.841823,5.251,1.5417,3.6304,0.0778,0.025132,3,3
3,53,1780399139.404,1.214984,0.508183,0.83841,5.267,1.524,3.6653,0.0773,0.024916,3,3
3,54,1780399144.599,1.203761,0.485162,0.848919,5.194,1.4965,3.6267,0.0706,0.022743,3,3
3,55,1780399149.673,1.219265,0.488277,0.848785,5.074,1.4715,3.5326,0.0695,0.02233,3,3
3,56,1780399154.785,1.216391,0.51002,0.842158,5.112,1.5761,3.473,0.0625,0.020039,3,3
3,57,1780399159.933,1.209706,0.494295,0.846241,5.148,1.6863,3.3905,0.0707,0.022807,5,3
3,58,1780399165.25,1.213085,0.502289,0.843899,5.317,1.7806,3.4652,0.0705,0.02265,4,3
3,59,1780399170.47,1.213727,0.493167,0.847312,5.22,1.7267,3.4189,0.0739,0.023848,4,3
3,60,1780399175.774,1.211593,0.493803,0.844233,5.304,1.7077,3.5259,0.0702,0.022535,4,3
3,61,1780399181.017,1.203871,0.497375,0.843899,5.243,1.5714,3.5942,0.0772,0.024461,4,3
3,62,1780399186.276,1.206429,0.493095,0.846777,5.259,1.4661,3.7231,0.0696,0.022389,4,3
3,63,1780399191.533,1.208699,0.503045,0.844501,5.257,1.3562,3.8092,0.0911,0.029023,3,3
3,64,1780399196.623,1.200663,0.477959,0.853605,5.09,1.341,3.6753,0.0734,0.023651,2,3
3,65,1780399201.733,1.20652,0.50096,0.84189,5.109,1.4103,3.6268,0.0719,0.023083,1,3
3,66,1780399206.827,1.200508,0.497694,0.847915,5.095,1.4837,3.5385,0.072,0.023192,4,3
3,67,1780399211.908,1.1997,0.494506,0.845036,5.081,1.5274,3.4805,0.0724,0.023327,4,3
3,68,1780399217.029,1.204686,0.498939,0.841957,5.12,1.601,3.4357,0.0833,0.026775,2,3
3,69,1780399222.128,1.201838,0.491077,0.846978,5.1,1.6411,3.3776,0.0807,0.026096,5,3
3,70,1780399227.255,1.200749,0.486367,0.849655,5.126,1.633,3.4263,0.0667,0.021468,3,3
3,71,1780399231.395,1.202434,0.494053,0.845438,4.14,1.3635,2.7039,0.0724,0.023366,4,3
3,72,1780399235.46,1.19723,0.505961,0.844568,4.064,1.2133,2.7791,0.0718,0.023115,3,3
3,73,1780399239.49,1.187563,0.486303,0.846643,4.03,1.179,2.7839,0.0668,0.021452,2,3
