worker_id,round,timestamp,train_loss_avg,val_loss,val_accuracy,round_duration_s,phase_a_s,phase_b_s,phase_c_s,grpc_mean_latency_s,neighbors_aggregated,peers_contacted
4,1,1780399371.894,2.457588,4.128255,0.007368,10.103,2.4541,7.5724,0.0764,0.024591,0,3
4,2,1780399381.738,2.032253,3.834326,0.039049,9.845,2.3167,7.4555,0.072,0.023169,4,3
4,3,1780399391.482,1.663462,3.925209,0.044452,9.743,2.1728,7.5005,0.0694,0.022204,4,3
4,4,1780399401.2,1.513178,2.646168,0.387102,9.718,2.1331,7.5148,0.0698,0.02241,3,3
4,5,1780399410.922,1.401463,1.076389,0.78442,9.722,2.2621,7.3827,0.0773,0.024916,6,3
4,6,1780399420.682,1.339406,0.637115,0.829854,9.76,2.3812,7.3049,0.0733,0.023605,4,3
4,7,1780399430.489,1.309472,0.566219,0.840857,9.807,2.4453,7.2938,0.0672,0.021188,3,3
4,8,1780399440.328,1.28005,0.557313,0.844688,9.838,2.4383,7.3309,0.0689,0.022146,4,3
4,9,1780399450.187,1.25774,0.512183,0.850042,9.859,2.4415,7.3445,0.0726,0.023193,4,3
4,10,1780399460.131,1.245994,0.508879,0.856083,9.944,2.4824,7.3802,0.0816,0.024363,3,3
4,11,1780399470.122,1.233128,0.495446,0.856574,9.99,2.3777,7.5336,0.0784,0.0253,3,3
4,12,1780399480.037,1.22307,0.465783,0.862616,9.916,2.3062,7.546,0.0632,0.020223,4,3
4,13,1780399489.942,1.214054,0.462829,0.8663,9.904,2.3173,7.5198,0.0668,0.021432,3,3
4,14,1780399499.894,1.198897,0.453893,0.86797,9.951,2.3555,7.5218,0.074,0.023813,4,3
4,15,1780399509.898,1.19446,0.443404,0.867381,10.004,2.2784,7.6491,0.0766,0.024669,3,3
4,16,1780399519.731,1.187176,0.444685,0.868314,9.833,2.1707,7.591,0.0706,0.022625,4,3
4,17,1780399529.728,1.182537,0.428879,0.873913,9.997,2.1479,7.766,0.0824,0.026647,2,3
4,18,1780399539.698,1.17309,0.430409,0.873815,9.97,2.1836,7.7101,0.0762,0.024405,5,3
4,19,1780399549.516,1.171414,0.422717,0.872391,9.818,2.1559,7.5882,0.0733,0.023005,4,3
4,20,1780399559.227,1.161033,0.427871,0.87411,9.711,2.1984,7.4406,0.0714,0.022847,4,3
4,21,1780399568.988,1.161656,0.437424,0.86851,9.761,2.3364,7.3534,0.0711,0.022944,4,3
4,22,1780399578.771,1.158377,0.413714,0.877548,9.782,2.3816,7.323,0.0773,0.024938,4,3
4,23,1780399588.623,1.152093,0.413049,0.879169,9.852,2.4466,7.3318,0.0732,0.023597,3,3
4,24,1780399598.365,1.143176,0.418059,0.87745,9.743,2.4297,7.2441,0.0686,0.022054,4,3
4,25,1780399608.366,1.146197,0.411714,0.88246,10.001,2.4388,7.4883,0.0735,0.023551,2,3
4,26,1780399618.888,1.141866,0.409418,0.877695,10.521,2.6416,7.7978,0.0817,0.026026,3,3
4,27,1780399629.105,1.147787,0.423338,0.877597,10.217,2.3559,7.7481,0.1126,0.036759,3,3
4,28,1780399639.045,1.142213,0.400686,0.880053,9.94,2.3064,7.5568,0.0765,0.02463,4,3
4,29,1780399649.099,1.131738,0.390779,0.887323,10.053,2.3545,7.6229,0.0758,0.02437,2,3
4,30,1780399659.139,1.13535,0.403371,0.880102,10.039,2.3133,7.6473,0.0784,0.025322,3,3
4,31,1780399669.201,1.129999,0.400797,0.880888,10.062,2.277,7.7152,0.0693,0.0222,4,3
