round,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_val_loss,workers_reporting,mean_global_test_accuracy,std_global_test_accuracy,mean_val_macro_precision,std_val_macro_precision,mean_val_macro_recall,std_val_macro_recall,mean_val_macro_f1,std_val_macro_f1,mean_global_test_macro_precision,std_global_test_macro_precision,mean_global_test_macro_recall,std_global_test_macro_recall,mean_global_test_macro_f1,std_global_test_macro_f1,mean_phase_a_s,mean_phase_b_s,mean_phase_c_s
1,0.018596,0.019265,0.00392,0.046925,4.128289,5,0.013765,0.015722,0.0003,0.000311,0.016129,0.0,0.00058,0.000593,0.000223,0.000254,0.016129,0.0,0.000432,0.000491,162.2759,106.0293,0.1272
2,0.362931,0.446102,0.005575,0.862943,2.552137,5,0.285853,0.371969,0.297406,0.406888,0.26694,0.344169,0.263958,0.360329,0.271612,0.375893,0.232478,0.299366,0.217783,0.303401,113.7989,102.7963,0.1212
3,0.379147,0.448967,0.027311,0.87292,2.629072,5,0.266294,0.321781,0.307823,0.419855,0.282874,0.360724,0.275233,0.373848,0.249702,0.340907,0.245068,0.30929,0.212987,0.2896,115.0324,97.8456,0.0641
4,0.512162,0.425683,0.052566,0.88278,2.085697,5,0.387671,0.362227,0.461407,0.414729,0.36621,0.337854,0.378325,0.357774,0.420875,0.383182,0.327913,0.310667,0.316987,0.312687,112.0372,94.908,0.0614
5,0.563411,0.441471,0.079103,0.892698,1.985795,5,0.474945,0.415002,0.486812,0.4435,0.428331,0.376778,0.432206,0.392494,0.450752,0.415163,0.396082,0.349581,0.388117,0.359169,111.4348,93.5607,0.0639
6,0.471071,0.409301,0.049405,0.887876,2.287235,5,0.361847,0.3077,0.440913,0.398433,0.345888,0.338638,0.348927,0.350674,0.393971,0.3548,0.307794,0.293955,0.288085,0.278696,112.1224,100.3115,0.0847
7,0.516424,0.424055,0.027311,0.86775,2.101506,5,0.447788,0.385034,0.450124,0.413,0.391307,0.349101,0.383643,0.356226,0.430934,0.387705,0.371523,0.326674,0.356756,0.326835,112.9549,99.5276,0.0567
8,0.846998,0.063632,0.741238,0.892754,0.942346,5,0.677884,0.155061,0.765356,0.062257,0.660079,0.097779,0.67241,0.092878,0.695027,0.084148,0.59935,0.113959,0.578129,0.124279,112.3738,100.8621,0.0576
9,0.837714,0.046943,0.785044,0.888366,0.602606,5,0.733563,0.084783,0.76999,0.055132,0.707085,0.026155,0.701184,0.048509,0.723684,0.053739,0.666756,0.04251,0.644005,0.063747,114.2376,93.5551,0.0587
10,0.85571,0.024942,0.832696,0.897678,0.820194,5,0.751115,0.128807,0.772734,0.037948,0.696493,0.044083,0.693573,0.049581,0.719226,0.109915,0.659618,0.088596,0.64602,0.115687,111.7457,97.3332,0.0561
11,0.836878,0.097145,0.665211,0.890914,0.983284,5,0.7034,0.08574,0.7479,0.086543,0.677943,0.082708,0.676205,0.095873,0.690361,0.079999,0.641162,0.077769,0.612036,0.09056,111.7265,92.547,0.075
12,0.85345,0.059551,0.761031,0.913898,0.861418,5,0.748968,0.07383,0.763226,0.06469,0.712118,0.043186,0.695055,0.067927,0.736318,0.04342,0.682866,0.034886,0.657361,0.05397,110.5542,95.7767,0.0785
13,0.881298,0.026416,0.850622,0.917183,0.447745,5,0.787025,0.078648,0.789752,0.047867,0.746754,0.03297,0.743013,0.048118,0.761015,0.043026,0.726859,0.035451,0.709113,0.06058,110.1022,92.6101,0.069
14,0.84494,0.056812,0.756549,0.896109,0.720539,5,0.739463,0.062407,0.758775,0.07626,0.72219,0.044133,0.709495,0.076212,0.722656,0.044251,0.688235,0.04144,0.655907,0.059437,108.7316,88.5392,0.0556
15,0.861746,0.051608,0.783614,0.916439,0.717437,5,0.753414,0.144638,0.787996,0.053289,0.724302,0.063272,0.724841,0.073009,0.731292,0.104627,0.688202,0.099303,0.663378,0.134825,109.1695,89.1918,0.0506
16,0.891772,0.01081,0.878936,0.906735,0.410121,5,0.753801,0.094222,0.809437,0.031324,0.747126,0.027395,0.757547,0.032358,0.751047,0.058443,0.708348,0.048264,0.681804,0.079678,107.457,93.6935,0.0565
17,0.869999,0.058107,0.77673,0.921274,0.587209,5,0.759372,0.083537,0.782956,0.050719,0.749424,0.0355,0.741027,0.052874,0.739684,0.065466,0.714638,0.040065,0.682529,0.069869,109.6835,93.0423,0.0535
18,0.862462,0.038632,0.813808,0.903451,0.521261,5,0.800193,0.088423,0.790106,0.043627,0.742105,0.031832,0.732211,0.049372,0.772385,0.052262,0.737367,0.041346,0.718769,0.072436,108.3416,91.7139,0.0634
19,0.81226,0.133395,0.577434,0.902229,0.826117,5,0.716397,0.210356,0.767926,0.070982,0.70097,0.118521,0.693405,0.1327,0.730102,0.108743,0.671293,0.156316,0.647943,0.178254,109.0608,90.5104,0.0748
20,0.906493,0.011445,0.891233,0.919291,0.368529,5,0.768286,0.104878,0.8178,0.037035,0.763181,0.017982,0.773908,0.021054,0.753409,0.076878,0.714471,0.040452,0.686694,0.07859,107.1426,91.7297,0.071
21,0.873442,0.038491,0.823502,0.924374,0.439676,5,0.817498,0.064524,0.792813,0.039743,0.749461,0.027878,0.743814,0.038206,0.787079,0.049189,0.751661,0.023742,0.739108,0.048507,108.4468,93.9705,0.0682
22,0.886059,0.017286,0.863679,0.903097,0.429826,5,0.74815,0.070445,0.802203,0.015069,0.759349,0.020899,0.764804,0.016176,0.741588,0.046596,0.720147,0.036061,0.681827,0.062214,107.9478,93.758,0.0607
23,0.885148,0.038951,0.817506,0.913888,0.412276,5,0.731352,0.089502,0.809598,0.03074,0.751057,0.013287,0.756103,0.023312,0.741552,0.059175,0.70188,0.0335,0.662628,0.066773,108.0597,90.4734,0.0717
24,0.842371,0.067063,0.764654,0.920159,0.674501,5,0.766303,0.110052,0.770437,0.054098,0.729103,0.034452,0.708133,0.060711,0.750406,0.083561,0.715948,0.05989,0.683852,0.099519,108.3567,91.2696,0.0534
25,0.86801,0.063813,0.754922,0.905812,0.542326,5,0.789195,0.096218,0.792432,0.053196,0.747674,0.04556,0.742763,0.074371,0.774887,0.059758,0.737209,0.043413,0.712702,0.078317,109.6027,97.6967,0.0738
26,0.868441,0.089432,0.708837,0.918175,0.645636,5,0.723287,0.161117,0.801361,0.072777,0.732328,0.110056,0.736407,0.127687,0.741855,0.08672,0.685945,0.124939,0.658214,0.142517,109.2301,95.2426,0.0632
27,0.904079,0.017427,0.881434,0.929333,0.386476,5,0.780514,0.099715,0.819804,0.029363,0.770741,0.032385,0.779479,0.038605,0.766592,0.063498,0.737807,0.048419,0.710928,0.08523,108.8037,94.0486,0.0851
28,0.870792,0.0329,0.822589,0.906991,0.452842,5,0.768988,0.097368,0.793992,0.022397,0.75721,0.016194,0.753983,0.021887,0.758301,0.054333,0.730987,0.051253,0.700239,0.082718,108.44,94.9517,0.0719
29,0.88238,0.050113,0.794513,0.912224,0.455442,5,0.800979,0.100589,0.810003,0.046452,0.756641,0.037342,0.753504,0.060005,0.775905,0.06516,0.740594,0.050286,0.720086,0.084202,110.5193,97.244,0.0666
30,0.899929,0.020838,0.881015,0.926915,0.374787,4,0.82109,0.090036,0.81904,0.035829,0.779261,0.023259,0.783564,0.023853,0.784885,0.058724,0.757554,0.040991,0.739329,0.072178,110.3974,94.6846,0.0718
31,0.856598,0.0535,0.79581,0.923038,0.735856,4,0.773659,0.116641,0.780152,0.070731,0.731389,0.044031,0.717498,0.06703,0.763669,0.081512,0.717,0.073908,0.693009,0.108671,112.605,96.7414,0.0779
32,0.893366,0.035527,0.84292,0.9258,0.463234,4,0.828121,0.091388,0.82174,0.050469,0.771007,0.039789,0.769881,0.059219,0.793307,0.069504,0.759524,0.051961,0.74798,0.084457,110.4613,91.5352,0.0801
33,0.898985,0.027993,0.858277,0.922062,0.509519,4,0.777045,0.12077,0.812427,0.059357,0.770397,0.046719,0.771431,0.065811,0.756188,0.10741,0.731341,0.071738,0.700231,0.113735,110.8133,94.0074,0.0698
34,0.905973,0.020595,0.879378,0.929643,0.378128,4,0.782441,0.103613,0.827666,0.023058,0.78469,0.023554,0.791828,0.023685,0.770701,0.070414,0.74017,0.049259,0.710454,0.08661,110.7582,104.1915,0.0691
35,0.876396,0.029845,0.854357,0.9183,0.429111,4,0.857944,0.0428,0.807357,0.039313,0.764401,0.039048,0.757448,0.054834,0.819403,0.042306,0.77985,0.016193,0.779002,0.031223,110.3744,99.1453,0.0724
36,0.888768,0.048647,0.835671,0.931193,0.416876,3,0.824272,0.067887,0.818727,0.039782,0.783718,0.028258,0.785411,0.037088,0.804338,0.054458,0.76962,0.023829,0.754851,0.05233,112.982,95.2449,0.0785
37,0.854629,0.084099,0.758554,0.914909,0.690746,3,0.797717,0.108565,0.795405,0.065799,0.746043,0.074717,0.737925,0.101078,0.784963,0.069617,0.729549,0.0947,0.714009,0.113578,113.5015,86.3884,0.1322
38,0.907461,0.032208,0.87043,0.928961,0.357148,3,0.888661,0.01411,0.83591,0.056227,0.786383,0.040136,0.793618,0.052001,0.839182,0.010437,0.790505,0.002766,0.801046,0.006594,113.4317,96.1,0.0586
39,0.906346,0.038266,0.862883,0.934974,0.35945,3,0.894555,0.009532,0.842508,0.047077,0.786756,0.040278,0.793425,0.052967,0.85549,0.012544,0.790828,0.012404,0.802712,0.010986,111.0251,98.1208,0.0597
40,0.888888,0.020357,0.875233,0.912286,0.42347,3,0.860285,0.005705,0.828016,0.03116,0.790294,0.033155,0.790222,0.036232,0.815699,0.008919,0.791085,0.002536,0.783952,0.005302,112.8439,99.4143,0.4417
41,0.819443,0.100789,0.706422,0.9,0.860078,3,0.804356,0.140359,0.762918,0.093983,0.724734,0.090836,0.706079,0.121875,0.803586,0.079437,0.726488,0.120328,0.718753,0.148532,111.3949,91.3341,0.0689
42,0.912605,0.024468,0.884838,0.931007,0.364849,3,0.876956,0.034775,0.840813,0.054505,0.785178,0.031707,0.79378,0.042576,0.846711,0.028008,0.780394,0.005055,0.788976,0.019206,112.1737,99.349,0.0652
43,0.908962,0.034567,0.86945,0.93361,0.373718,3,0.892053,0.016665,0.849718,0.062655,0.797405,0.038645,0.805451,0.053285,0.849554,0.025544,0.798502,0.005997,0.808431,0.014632,112.0306,88.0164,0.0769
44,0.92854,0.005154,0.924895,0.932184,0.313009,2,0.897822,0.004714,0.866307,0.006916,0.822607,0.014637,0.837063,0.010446,0.856251,0.013348,0.807205,0.004815,0.818495,0.001338,114.5262,103.3064,0.0519
45,0.899132,0.048233,0.865026,0.933238,0.604966,2,0.869699,0.042553,0.840458,0.039493,0.780531,0.053719,0.785931,0.066082,0.832117,0.045453,0.770093,0.04493,0.77293,0.06175,116.2196,95.8832,0.0602
46,0.921077,0.006648,0.916377,0.925778,0.395993,2,0.884845,0.023955,0.868721,0.013892,0.81065,0.005629,0.822944,0.009733,0.854097,0.022183,0.79495,0.013569,0.802621,0.022835,116.7552,94.2474,0.0625
47,0.930562,0.005714,0.926521,0.934602,0.295994,2,0.90393,0.002559,0.874424,0.008026,0.817763,0.003791,0.834175,0.000484,0.869042,0.001969,0.803505,0.00601,0.820149,0.005392,114.721,96.4476,0.0583
48,0.918408,0.0215,0.903205,0.93361,0.413607,2,0.888122,0.012191,0.872022,0.023124,0.805336,0.024169,0.818849,0.023075,0.857063,0.000276,0.793613,0.014812,0.804987,0.015093,115.9019,99.6824,0.0542
49,0.930173,0.004246,0.927171,0.933176,0.324827,2,0.901387,0.002959,0.88407,0.012654,0.82008,0.003565,0.83698,0.002956,0.865888,0.002326,0.804377,0.010187,0.819231,0.00789,114.0187,91.9385,0.0628
50,0.927493,0.002163,0.925964,0.929023,0.321562,2,0.898595,0.00776,0.873385,0.004302,0.813154,0.004172,0.828636,0.000165,0.863711,0.007622,0.801222,0.005079,0.816341,0.006279,113.5362,84.6975,0.0683
51,0.92916,0.003928,0.926382,0.931937,0.314679,2,0.899066,0.007373,0.876726,0.007134,0.815808,0.015966,0.830745,0.010694,0.862506,0.009923,0.801974,0.009278,0.814165,0.000979,113.7097,99.858,0.073
52,0.931026,0.006109,0.926707,0.935346,0.289364,2,0.904072,0.003115,0.881682,0.000513,0.818346,0.003824,0.835933,0.001874,0.869671,0.002229,0.803036,0.004274,0.820888,0.004162,112.219,91.9432,0.081
