worker_id,round,timestamp,train_loss_avg,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,global_test_accuracy,global_test_macro_precision,global_test_macro_recall,global_test_macro_f1,round_duration_s,phase_a_s,phase_b_s,phase_c_s,grpc_mean_latency_s,neighbors_aggregated,peers_contacted
6,1,1783673439.017,1.627216,4.133353,0.004482,7.2e-05,0.016129,0.000144,0.011996,0.000193,0.016129,0.000382,268.634,160.8651,106.9173,0.8318,0.118542,0,7
6,2,1783673657.718,1.481155,3.873943,0.078302,0.001263,0.016129,0.002342,0.034136,0.000551,0.016129,0.001065,218.7,114.7895,103.4157,0.4751,0.067802,5,7
6,3,1783673877.392,1.333172,4.139696,0.011346,0.000183,0.016129,0.000363,0.024817,0.000568,0.016135,0.000828,219.674,116.3587,102.8667,0.4482,0.063965,5,7
6,4,1783674094.893,1.283552,2.7693,0.358734,0.433175,0.187523,0.217733,0.208219,0.560056,0.139285,0.170824,217.501,114.1841,102.905,0.3936,0.05617,9,7
6,5,1783674316.444,1.226997,0.693615,0.856142,0.72147,0.664123,0.640508,0.743505,0.743914,0.647047,0.645163,221.55,111.3594,109.7688,0.4018,0.057344,7,7
6,6,1783674518.821,1.204661,0.49684,0.850539,0.739153,0.691542,0.668547,0.786223,0.754398,0.698848,0.697454,202.377,108.7624,93.1928,0.3934,0.056137,7,7
6,7,1783674742.157,1.186887,0.586846,0.853901,0.726982,0.683903,0.653252,0.784111,0.761365,0.704304,0.69978,223.337,111.7591,111.1453,0.4317,0.061611,7,7
6,8,1783674952.204,1.172364,0.475357,0.849419,0.739392,0.697959,0.675375,0.796524,0.760515,0.716847,0.71173,210.046,110.4652,99.1711,0.3928,0.056038,7,7
6,9,1783675159.27,1.163609,0.45699,0.863426,0.753568,0.707416,0.688871,0.789144,0.758972,0.722913,0.713055,207.066,110.6681,95.9797,0.4009,0.057211,7,7
6,10,1783675360.735,1.146699,0.465276,0.847598,0.751888,0.71339,0.69004,0.806824,0.764727,0.734858,0.724916,201.465,108.3205,92.7504,0.3938,0.056195,7,7
6,11,1783675565.058,1.148147,0.451889,0.861185,0.750164,0.713951,0.694517,0.801171,0.765355,0.739359,0.72617,204.323,107.9165,95.9083,0.4789,0.068356,7,7
6,12,1783675768.918,1.140508,0.460226,0.848858,0.7549,0.717417,0.695595,0.809329,0.767428,0.742438,0.72988,203.86,106.9535,96.4742,0.4309,0.0615,7,7
6,13,1783675987.165,1.138543,0.432028,0.873512,0.764387,0.720511,0.704553,0.768699,0.754428,0.726649,0.705215,218.247,108.3998,109.4551,0.3723,0.053131,6,7
6,14,1783676202.196,1.127302,0.519535,0.809077,0.734003,0.69995,0.654176,0.853365,0.796877,0.767772,0.769323,215.03,106.254,108.3936,0.3823,0.054558,9,7
6,15,1783676423.052,1.122051,0.476602,0.863146,0.761902,0.71772,0.701763,0.804814,0.77364,0.746683,0.728193,220.856,109.9949,110.4797,0.3806,0.05431,7,7
6,16,1783676639.197,1.115487,0.468464,0.857123,0.745335,0.716566,0.697083,0.812744,0.788971,0.756833,0.741443,216.145,109.5254,106.2157,0.4039,0.057638,7,7
6,17,1783676849.366,1.116363,1.001006,0.871831,0.755636,0.689963,0.667332,0.74155,0.739803,0.692199,0.66331,210.169,110.2703,99.5361,0.362,0.051663,7,7
6,18,1783677059.79,1.105499,0.454099,0.854181,0.756054,0.728062,0.708156,0.808072,0.770753,0.75975,0.738234,210.424,105.4461,104.6026,0.3744,0.053425,7,7
6,19,1783677279.332,1.115363,0.453063,0.880515,0.770578,0.736721,0.726957,0.772421,0.754349,0.741246,0.706824,219.542,109.8054,109.353,0.3828,0.054627,8,7
6,20,1783677493.352,1.097584,0.450487,0.862446,0.764109,0.734044,0.714492,0.804422,0.772277,0.757792,0.733796,214.02,107.4938,106.1384,0.3873,0.05527,7,7
6,21,1783677714.419,1.109815,0.473032,0.877714,0.768679,0.730316,0.720664,0.780602,0.756359,0.747181,0.715728,221.067,107.7474,112.778,0.5407,0.077185,7,7
6,22,1783677931.325,1.102434,0.487806,0.861745,0.754132,0.722638,0.708055,0.817933,0.774869,0.764538,0.744317,216.905,110.1047,106.3082,0.4917,0.06748,8,6
