round,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_val_loss,workers_reporting,mean_phase_a_s,mean_phase_b_s,mean_phase_c_s
1,0.021119,0.024005,0.003431,0.054622,4.127569,5,1.3775,2.8742,0.0754
2,0.206221,0.343237,0.044403,0.82008,3.348975,5,1.5766,3.0811,0.0989
3,0.344821,0.417576,0.014468,0.852391,2.888939,5,1.7083,3.3375,0.0791
4,0.297935,0.343328,0.026444,0.786241,3.167319,5,1.8189,3.4261,0.0776
5,0.473448,0.406705,0.008056,0.831917,2.421211,5,1.8166,3.4235,0.078
6,0.812672,0.014221,0.795167,0.834806,1.007891,5,1.7774,3.4781,0.0759
7,0.668432,0.369716,0.008056,0.861154,1.237926,5,1.7178,3.5149,0.0818
8,0.839136,0.021324,0.8115,0.867158,0.630333,5,1.7169,3.5007,0.0783
9,0.803266,0.091212,0.643105,0.869217,0.989861,5,1.7261,3.4919,0.0761
10,0.850064,0.027464,0.813159,0.87362,0.58546,5,1.7338,3.4961,0.0773
11,0.841944,0.047916,0.762769,0.877339,0.860984,5,1.735,3.4773,0.0768
12,0.857015,0.023175,0.827365,0.877079,0.482189,5,1.7808,3.4219,0.0767
13,0.859722,0.02412,0.829975,0.88094,0.46834,5,1.814,3.4336,0.0766
14,0.858341,0.023499,0.830998,0.884182,0.482159,5,1.8272,3.4625,0.0793
15,0.860268,0.02678,0.824553,0.887647,0.486128,5,1.8098,3.4872,0.0796
16,0.861023,0.024981,0.834619,0.887994,0.476256,5,1.7766,3.5139,0.0766
17,0.861042,0.024454,0.830841,0.886781,0.472389,5,1.811,3.4749,0.0774
18,0.859381,0.023879,0.837606,0.887907,0.505779,5,1.8235,3.4796,0.0922
19,0.853269,0.023548,0.833779,0.885858,0.776838,5,1.8515,3.585,0.0892
20,0.866559,0.021794,0.840685,0.890159,0.536298,5,1.8613,3.6547,0.1008
21,0.85251,0.045823,0.777323,0.888687,0.686183,5,1.6894,3.4888,0.0915
22,0.806002,0.111644,0.607308,0.8691,1.072546,5,1.47,3.2564,0.087
23,0.862396,0.024644,0.827365,0.883749,0.600183,5,1.507,3.2469,0.089
24,0.877554,0.020415,0.849415,0.895444,0.417612,4,1.42,3.0977,0.0871
25,0.87426,0.017756,0.848838,0.889747,0.611878,4,1.3939,3.1643,0.0856
26,0.874815,0.020798,0.850097,0.894924,0.446978,4,1.4123,3.3137,0.084
27,0.866995,0.025755,0.842856,0.893365,0.666612,4,1.2894,3.1701,0.0855
28,0.869493,0.033244,0.821502,0.893971,0.625692,4,1.1355,2.9303,0.0749
29,0.80482,0.142956,0.59244,0.894491,0.853362,4,1.0527,2.4568,0.0624
30,0.877174,0.023233,0.850582,0.893538,0.620495,3,0.9759,2.1532,0.0576
31,0.880842,0.023213,0.854315,0.897436,0.527537,3,0.9876,1.9404,0.0494
32,0.875326,0.028916,0.841937,0.892065,0.642582,3,0.9029,1.9475,0.0449
33,0.752399,0.237007,0.478927,0.898216,1.057859,3,0.8855,2.0057,0.044
34,0.882096,0.015003,0.865956,0.895617,0.600507,3,0.858,2.1372,0.0531
35,0.85304,0.05546,0.789155,0.888832,0.793203,3,0.8316,2.0686,0.0464
36,0.884299,0.006491,0.879709,0.888889,0.4165,2,0.867,1.6157,0.0259
37,0.885893,0.007634,0.880495,0.891291,0.404149,2,0.8354,1.5604,0.0274
38,0.885608,0.005771,0.881527,0.889689,0.418317,2,0.8475,1.6261,0.0258
39,0.88557,0.007039,0.880593,0.890547,0.415697,2,0.8433,1.6091,0.017
40,0.885315,0.003275,0.883,0.887631,0.463794,2,0.6805,1.4046,0.018
41,0.885016,0.010006,0.877941,0.892091,0.412394,2,0.6369,1.3744,0.015
42,0.876369,0.0,0.876369,0.876369,0.508421,1,0.4757,1.1576,0.0024
43,0.872587,0.0,0.872587,0.872587,0.461474,1,0.4511,1.0593,0.0022
44,0.881477,0.0,0.881477,0.881477,0.430923,1,0.4575,1.0504,0.0022
45,0.878678,0.0,0.878678,0.878678,0.458542,1,0.449,1.0166,0.0022
46,0.876271,0.0,0.876271,0.876271,0.448216,1,0.45,1.0349,0.0023
