worker_id,round,timestamp,train_loss_avg,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,global_test_accuracy,global_test_macro_precision,global_test_macro_recall,global_test_macro_f1,round_duration_s,phase_a_s,phase_b_s,phase_c_s,grpc_mean_latency_s,neighbors_aggregated,peers_contacted
2,1,1783673607.688,1.657061,4.126322,0.044006,0.00071,0.016129,0.00136,0.031813,0.000513,0.016129,0.000995,258.268,157.0178,100.8704,0.3581,0.357695,0,1
2,2,1783673821.893,1.297111,0.719938,0.852383,0.734032,0.651327,0.65423,0.783483,0.712767,0.60008,0.608964,214.204,111.4616,102.4817,0.2396,0.239149,0,1
2,3,1783674034.808,1.223258,0.668972,0.872412,0.767332,0.676055,0.675027,0.812234,0.752979,0.63082,0.641217,212.914,109.2981,103.5069,0.08,0.079676,0,1
2,4,1783674253.149,1.235542,4.178711,0.015599,0.000252,0.016129,0.000495,0.024794,0.0004,0.016129,0.00078,218.341,112.2358,106.0461,0.0591,0.058748,1,1
2,5,1783674455.626,1.238179,3.761337,0.049976,0.002998,0.026179,0.004985,0.046596,0.018713,0.025814,0.004751,202.476,112.0832,90.3385,0.0541,0.053684,2,1
2,6,1783674675.954,1.218051,3.993291,0.015696,0.000463,0.016161,0.000555,0.024959,0.000771,0.016204,0.000925,220.328,113.6658,106.5991,0.0624,0.06207,2,1
2,7,1783674877.068,1.249336,4.04368,0.021377,0.01066,0.018536,0.00441,0.032127,0.047042,0.018592,0.004961,201.114,111.103,89.957,0.0536,0.053202,1,1
2,8,1783675091.985,1.186705,1.211639,0.870294,0.779458,0.69259,0.684519,0.813545,0.751961,0.662768,0.654714,214.916,108.7863,106.0753,0.0544,0.05402,1,1
2,9,1783675292.791,1.191826,1.708867,0.797496,0.733243,0.57058,0.594393,0.716898,0.729166,0.523574,0.544979,200.806,108.4908,92.2579,0.0573,0.056921,1,1
2,10,1783675486.583,1.151369,0.373114,0.902648,0.833432,0.731441,0.739383,0.855375,0.795012,0.691528,0.706585,193.792,104.3913,89.3185,0.0547,0.054289,0,1
2,11,1783675699.11,1.138441,0.759875,0.804526,0.760114,0.701183,0.690543,0.722668,0.723072,0.676507,0.648915,212.526,107.1639,105.3075,0.0543,0.053922,2,1
2,12,1783675910.68,1.120435,0.369064,0.906692,0.834813,0.745558,0.756277,0.858492,0.80356,0.714515,0.730442,211.57,105.512,105.9671,0.0719,0.033913,0,1
2,13,1783676111.685,1.118565,2.62927,0.549254,0.678189,0.457057,0.476628,0.489287,0.724286,0.425475,0.450951,201.005,108.1097,92.8423,0.0528,0.052436,3,1
2,14,1783676321.096,1.115798,0.524718,0.894078,0.816224,0.708063,0.719232,0.852305,0.815798,0.675482,0.694921,209.411,103.7685,105.5713,0.0706,0.070262,1,1
2,15,1783676537.305,1.105302,0.776029,0.890515,0.819164,0.73936,0.73071,0.838244,0.770145,0.716654,0.704643,216.208,109.0317,107.1231,0.0529,0.052498,0,1
2,16,1783676734.229,1.109347,0.571016,0.810785,0.768269,0.715158,0.708625,0.73008,0.739364,0.687025,0.659791,196.924,104.2527,92.6148,0.0558,0.055422,5,1
2,17,1783676935.509,1.090251,1.412182,0.787867,0.723392,0.664043,0.62741,0.710413,0.703503,0.628683,0.594423,201.28,109.7188,91.4957,0.0653,0.064932,0,1
2,18,1783677135.748,1.084068,1.614984,0.733269,0.703108,0.622401,0.590418,0.656193,0.709433,0.588572,0.560128,200.239,108.6666,91.5155,0.0564,0.055961,0,1
2,19,1783677326.387,1.080778,0.46706,0.855657,0.805996,0.776355,0.766173,0.784158,0.744541,0.74056,0.708521,190.638,106.9323,83.6421,0.0631,0.062694,1,1
2,20,1783677516.006,1.068588,0.328858,0.919596,0.834335,0.789133,0.800779,0.872648,0.807349,0.764763,0.775359,189.619,105.2714,84.2589,0.0603,0.059936,0,1
2,21,1783677706.507,1.063072,0.326686,0.919788,0.848535,0.78217,0.796909,0.874014,0.827276,0.755348,0.773467,190.501,106.3171,84.1004,0.0652,0.064862,0,1
2,22,1783677895.945,1.05589,0.396956,0.91767,0.843522,0.806907,0.81435,0.867976,0.79601,0.780329,0.776037,189.438,106.378,83.0046,0.0544,0.053938,1,1
