round,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_val_loss,workers_reporting,mean_global_test_accuracy,std_global_test_accuracy,mean_phase_a_s,mean_phase_b_s,mean_phase_c_s
58,0.934442,0.007134,0.926606,0.940561,0.279195,3,0.905633,0.001511,7.5748,3.7854,0.0384
59,0.933026,0.00671,0.925284,0.937155,0.279627,3,0.905418,0.001012,7.5425,3.8071,0.0385
60,0.933141,0.005913,0.927119,0.938939,0.274699,3,0.903654,0.000925,7.5146,3.8532,0.0389
61,0.93244,0.005705,0.925872,0.936158,0.296059,3,0.905486,0.00093,7.5042,3.8697,0.0378
62,0.932912,0.005737,0.926385,0.937155,0.280009,3,0.90536,0.001784,7.4572,3.9025,0.0379
63,0.934683,0.006022,0.92778,0.938858,0.27548,3,0.905376,0.000742,7.4258,3.9646,0.0426
64,0.929699,0.008013,0.921028,0.936832,0.332096,3,0.901524,0.004963,7.4114,3.9479,2.6804
65,0.931909,0.009369,0.925284,0.938534,0.298006,2,0.90638,0.000127,5.3316,3.0709,0.0206
66,0.93345,0.009368,0.926826,0.940075,0.286901,2,0.909081,0.003425,5.6187,2.8638,0.0219
67,0.930384,0.007627,0.924991,0.935777,0.280074,2,0.903318,0.000983,5.4249,2.8064,0.019
68,0.831365,0.132614,0.737593,0.925138,0.857253,2,0.797411,0.148782,5.5337,3.1077,0.0182
69,0.754812,0.259937,0.571009,0.938615,1.143934,2,0.730551,0.250753,5.3301,2.8437,0.0199
70,0.931056,0.011379,0.923009,0.939102,0.335635,2,0.904963,0.002432,5.3273,2.8483,0.0178
71,0.932492,0.00625,0.928073,0.936912,0.294231,2,0.907228,0.000261,5.327,2.8816,0.0184
72,0.926459,0.0,0.926459,0.926459,0.318872,1,0.909084,0.0,5.3365,2.29,3.976
73,0.840881,0.0,0.840881,0.840881,0.856419,1,0.819582,0.0,2.9417,1.9691,0.0001
74,0.926752,0.0,0.926752,0.926752,0.295686,1,0.90534,0.0,2.915,2.007,0.0001
75,0.922495,0.0,0.922495,0.922495,0.294519,1,0.89949,0.0,2.9551,2.01,0.0001
76,0.920514,0.0,0.920514,0.920514,0.384371,1,0.90344,0.0,2.9076,1.9975,0.0001
