worker_id,round,timestamp,train_loss_avg,val_loss,val_accuracy,round_duration_s,phase_a_s,phase_b_s,phase_c_s,grpc_mean_latency_s,neighbors_aggregated,peers_contacted
2,1,1780398875.801,2.908524,4.119542,0.009812,5.391,1.5729,3.7351,0.0828,0.026789,0,3
2,2,1780398881.345,2.349879,3.773459,0.049111,5.544,2.0393,3.4341,0.0705,0.022671,4,3
2,3,1780398886.964,2.16321,3.734061,0.049111,5.619,2.1823,3.3691,0.0672,0.021534,2,3
2,4,1780398892.579,1.791769,2.612382,0.485702,5.615,2.2374,3.3118,0.0654,0.020906,4,3
2,5,1780398898.23,1.590468,1.129323,0.716984,5.651,2.264,3.315,0.0714,0.022965,2,3
2,6,1780398903.872,1.500303,0.909448,0.764311,5.642,2.1848,3.3915,0.0651,0.020862,2,3
2,7,1780398909.45,1.454126,0.774654,0.783147,5.578,2.1578,3.3563,0.0636,0.020394,4,3
2,8,1780398914.976,1.417713,0.724564,0.792959,5.526,2.1849,3.2711,0.0699,0.02196,4,3
2,9,1780398920.598,1.385538,0.659482,0.811428,5.621,2.2109,3.3453,0.0648,0.020769,1,3
2,10,1780398926.324,1.363415,0.620213,0.815363,5.726,2.2074,3.4477,0.071,0.022836,4,3
2,11,1780398932.022,1.355232,0.630521,0.811585,5.697,2.1283,3.5021,0.0665,0.021283,2,3
2,12,1780398937.722,1.346542,0.593014,0.827431,5.701,2.0233,3.6116,0.0654,0.021033,2,3
2,13,1780398943.328,1.31507,0.566179,0.827588,5.606,2.012,3.5244,0.0693,0.022204,4,3
2,14,1780398948.899,1.321692,0.572201,0.82764,5.57,2.0527,3.4432,0.0738,0.023777,1,3
2,15,1780398954.472,1.313036,0.563545,0.827063,5.573,2.1101,3.3973,0.0657,0.021114,3,3
2,16,1780398960.086,1.305388,0.551463,0.828585,5.614,2.1305,3.4152,0.0679,0.021781,2,3
2,17,1780398965.704,1.295684,0.526321,0.837085,5.618,2.0759,3.4696,0.0719,0.023124,2,3
2,18,1780398971.315,1.282748,0.538189,0.833884,5.611,1.958,3.583,0.0699,0.021953,4,3
2,19,1780398976.91,1.281734,0.543895,0.83677,5.595,1.9373,3.5894,0.0676,0.021746,2,3
2,20,1780398982.49,1.286177,0.533463,0.837767,5.579,1.9165,3.602,0.0606,0.019313,5,3
2,21,1780398988.108,1.265877,0.529227,0.839026,5.618,1.9189,3.6286,0.0701,0.022512,4,3
2,22,1780398993.711,1.261179,0.522971,0.839813,5.603,1.8432,3.6927,0.0669,0.021232,3,3
2,23,1780398999.358,1.254264,0.508193,0.841702,5.647,1.7256,3.8469,0.0745,0.023708,2,3
2,24,1780399004.939,1.256072,0.514987,0.841597,5.581,1.6361,3.8736,0.0706,0.022772,2,3
2,25,1780399010.461,1.24796,0.516046,0.841545,5.521,1.6769,3.7621,0.0819,0.02639,2,3
2,26,1780399015.99,1.246499,0.507077,0.844168,5.529,1.8467,3.6155,0.067,0.021367,5,3
2,27,1780399021.559,1.240094,0.507482,0.844273,5.569,1.9536,3.5487,0.066,0.021194,4,3
2,28,1780399027.167,1.238592,0.488546,0.846424,5.608,2.0137,3.5246,0.0695,0.022079,3,3
2,29,1780399032.745,1.240799,0.494321,0.847736,5.577,1.9882,3.5169,0.0717,0.023041,3,3
2,30,1780399038.367,1.243819,0.499006,0.843119,5.622,1.9592,3.5784,0.0845,0.027401,2,3
2,31,1780399043.931,1.227068,0.487296,0.845322,5.563,1.9892,3.5052,0.0684,0.022015,5,3
2,32,1780399049.577,1.220403,0.48125,0.847474,5.646,2.0639,3.5142,0.0681,0.021873,1,3
2,33,1780399055.244,1.223345,0.496452,0.848733,5.667,2.0934,3.5042,0.0688,0.022016,2,3
2,34,1780399060.921,1.223016,0.480113,0.851514,5.677,2.0915,3.5133,0.072,0.02323,2,3
2,35,1780399066.603,1.215523,0.489243,0.849625,5.682,2.0412,3.5706,0.0695,0.022387,3,3
2,36,1780399072.288,1.221818,0.481123,0.850937,5.684,2.0373,3.5623,0.0843,0.027298,4,3
2,37,1780399077.881,1.220445,0.471634,0.849205,5.594,2.1125,3.41,0.0707,0.02277,3,3
2,38,1780399083.512,1.212558,0.484483,0.85015,5.63,2.2222,3.3408,0.0668,0.021475,2,3
2,39,1780399089.253,1.217623,0.488982,0.850884,5.741,2.3063,3.3679,0.0666,0.021331,3,3
2,40,1780399094.925,1.205424,0.473064,0.854242,5.672,2.2958,3.3078,0.068,0.02176,3,3
2,41,1780399100.597,1.203979,0.466235,0.852301,5.672,2.2131,3.3854,0.0735,0.023238,4,3
2,42,1780399106.252,1.2118,0.468949,0.852668,5.654,2.1819,3.3958,0.0764,0.024677,4,3
