round,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_val_loss,workers_reporting,mean_global_test_accuracy,std_global_test_accuracy,mean_val_macro_precision,std_val_macro_precision,mean_val_macro_recall,std_val_macro_recall,mean_val_macro_f1,std_val_macro_f1,mean_global_test_macro_precision,std_global_test_macro_precision,mean_global_test_macro_recall,std_global_test_macro_recall,mean_global_test_macro_f1,std_global_test_macro_f1,mean_phase_a_s,mean_phase_b_s,mean_phase_c_s
1,0.016493,0.014729,0.004796,0.044006,4.127837,8,0.020333,0.013393,0.000435,0.000371,0.016386,0.000854,0.000702,0.00059,0.000522,0.000451,0.016634,0.001511,0.000789,0.000658,162.2526,105.9387,0.1432
2,0.65028,0.389206,0.004252,0.880026,1.452556,8,0.496663,0.310746,0.560391,0.346365,0.494693,0.296384,0.50156,0.310007,0.485975,0.30551,0.430109,0.257896,0.405506,0.257413,113.2804,105.8373,0.108
3,0.455514,0.442235,0.009495,0.884892,2.25439,8,0.354129,0.339043,0.38995,0.399838,0.34676,0.351129,0.342027,0.362569,0.346842,0.341888,0.305416,0.30524,0.28035,0.297364,112.3135,102.1518,0.093
4,0.057919,0.029948,0.015599,0.082381,3.991804,8,0.030647,0.004846,0.004966,0.011572,0.016141,3.5e-05,0.001768,0.000901,0.005232,0.013424,0.016137,2.4e-05,0.000975,0.000168,113.0716,100.639,0.0592
5,0.353047,0.408867,0.024856,0.874736,2.672064,8,0.261906,0.286692,0.309175,0.365012,0.267597,0.3268,0.259057,0.339232,0.292385,0.282509,0.229667,0.271759,0.20285,0.257128,112.8342,95.5387,0.0632
6,0.468972,0.443139,0.015696,0.892227,2.087,8,0.420648,0.357647,0.451018,0.369446,0.374816,0.354849,0.374704,0.363535,0.464129,0.317939,0.348166,0.319973,0.337038,0.315334,110.1279,96.1956,0.0603
7,0.32757,0.370054,0.021377,0.906509,2.825617,8,0.268176,0.323041,0.283444,0.351018,0.239919,0.317687,0.226128,0.316506,0.285167,0.332924,0.227378,0.296631,0.210687,0.291141,110.9611,94.2857,0.0547
8,0.262472,0.387346,0.009495,0.904276,3.123442,8,0.220557,0.317572,0.254697,0.351084,0.219016,0.314899,0.200571,0.325119,0.248024,0.325775,0.197099,0.278344,0.175221,0.275307,111.689,96.879,0.0561
9,0.832067,0.055057,0.753747,0.893638,0.845697,8,0.733116,0.094627,0.741476,0.073118,0.659758,0.05578,0.659034,0.066882,0.720531,0.080492,0.624175,0.060792,0.614638,0.080133,108.6944,91.2253,0.0717
10,0.791471,0.124259,0.56433,0.902648,1.133795,8,0.622643,0.160574,0.744973,0.080897,0.612015,0.127967,0.619607,0.130204,0.683847,0.071005,0.552511,0.129094,0.53291,0.13884,108.8986,91.7938,0.0534
11,0.80556,0.101121,0.641015,0.914965,0.952869,8,0.738077,0.096743,0.724819,0.109253,0.658596,0.104339,0.645954,0.125,0.740592,0.040595,0.638395,0.074875,0.632742,0.071914,107.2453,93.2109,0.0519
12,0.818138,0.152503,0.455215,0.913558,0.86119,8,0.752163,0.142148,0.732002,0.125768,0.673997,0.114759,0.66074,0.147183,0.749942,0.067964,0.659803,0.099122,0.652734,0.113708,107.9089,92.5176,0.059
13,0.788554,0.142832,0.549254,0.910817,1.066192,7,0.649494,0.080879,0.739636,0.075313,0.661926,0.11173,0.658087,0.120934,0.686659,0.043613,0.613424,0.096498,0.575053,0.079668,108.3371,89.4397,0.0549
14,0.822943,0.130183,0.547468,0.917677,0.861941,7,0.695497,0.157061,0.771257,0.077056,0.682835,0.110756,0.679116,0.126386,0.707417,0.09502,0.629771,0.111051,0.608434,0.123114,108.3604,91.8342,0.0574
15,0.869076,0.058227,0.737918,0.901563,0.574659,7,0.813089,0.079517,0.776074,0.077584,0.716919,0.039148,0.71223,0.062107,0.776448,0.055721,0.698265,0.033293,0.697007,0.055083,107.1396,94.0957,0.0577
16,0.869442,0.045667,0.801541,0.913315,0.683309,7,0.74422,0.088676,0.788201,0.036065,0.725545,0.033055,0.728006,0.042184,0.724915,0.07216,0.678317,0.047029,0.650502,0.075422,108.0651,92.808,0.0522
17,0.861101,0.054069,0.787867,0.917837,0.732797,7,0.736196,0.075802,0.790853,0.049898,0.724491,0.035327,0.723496,0.054964,0.725329,0.043797,0.680999,0.041642,0.649931,0.061942,108.6886,93.7608,0.0609
