round,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_val_loss,workers_reporting,mean_global_test_accuracy,std_global_test_accuracy,mean_phase_a_s,mean_phase_b_s,mean_phase_c_s
1,0.02471,0.032863,0.002676,0.081676,4.127104,8,0.013963,0.013072,17.3346,12.1949,0.0403
2,0.559984,0.415889,0.017814,0.885609,1.879115,8,0.437175,0.346149,18.9925,11.6134,0.0241
3,0.462787,0.440229,0.008336,0.886663,2.293875,8,0.378049,0.378475,19.0786,11.4639,0.0227
4,0.253626,0.382251,0.003989,0.871853,3.266863,8,0.207393,0.329068,19.2599,11.3887,0.0208
5,0.548065,0.417568,0.024732,0.888322,2.03121,8,0.398413,0.303971,19.4583,11.2301,0.024
6,0.462525,0.430097,0.009394,0.895637,2.413012,8,0.381357,0.387763,19.7385,10.9953,0.0242
7,0.441641,0.418509,0.01857,0.882789,2.30107,8,0.369077,0.357365,19.871,10.8466,0.023
8,0.559936,0.37515,0.005527,0.887723,2.097113,8,0.479712,0.337879,20.0537,10.6976,0.0217
9,0.691185,0.28459,0.025846,0.876175,1.595797,8,0.593454,0.24064,20.1555,10.5566,0.022
10,0.759389,0.298329,0.029706,0.901883,1.283552,8,0.656218,0.263671,20.2866,10.4513,0.0218
11,0.815632,0.105272,0.615472,0.912572,1.139229,8,0.710384,0.12128,20.3987,10.3996,0.0235
12,0.721879,0.262942,0.134493,0.898575,1.253305,8,0.618602,0.251938,20.4796,10.5503,0.0208
13,0.872841,0.043149,0.7784,0.903795,0.620795,7,0.743456,0.114924,20.201,10.0287,0.5889
14,0.838585,0.072726,0.711444,0.905321,1.032076,7,0.708412,0.108597,17.6581,8.9727,0.0192
15,0.880452,0.044898,0.788206,0.917694,0.478207,7,0.758335,0.110579,16.9579,9.1185,1.1533
16,0.884513,0.034882,0.812771,0.915423,0.561526,7,0.726916,0.082349,16.8121,9.235,0.0216
17,0.886178,0.035456,0.814489,0.918156,0.671503,7,0.743979,0.101347,17.5051,9.2398,0.0198
18,0.870114,0.067785,0.719672,0.917198,0.691685,7,0.702526,0.075785,17.3352,9.0534,0.5875
19,0.869762,0.045496,0.802773,0.914275,0.644341,7,0.74072,0.10714,17.3661,8.9608,0.0216
20,0.859473,0.06317,0.766399,0.921187,0.597144,7,0.742237,0.091435,17.7306,9.0674,0.0195
21,0.865292,0.086986,0.672147,0.917996,0.620578,7,0.718947,0.080411,17.7379,9.0869,0.019
22,0.87516,0.043461,0.801947,0.921506,0.542573,7,0.724298,0.082021,17.6388,8.6852,0.5891
23,0.878871,0.037478,0.819442,0.919478,0.466872,6,0.7896,0.081154,16.0951,7.4373,0.0206
24,0.871901,0.038685,0.815731,0.926533,0.550694,6,0.750006,0.107036,14.6885,7.4707,0.6826
25,0.896662,0.00897,0.889057,0.912412,0.444374,6,0.778404,0.106135,14.6298,7.8587,0.6815
26,0.877009,0.044857,0.804492,0.916401,0.517392,6,0.757538,0.113574,14.8013,7.5737,0.0195
27,0.870798,0.048751,0.798121,0.923261,0.468495,6,0.779279,0.082066,14.4911,7.4904,0.021
28,0.889951,0.039167,0.817217,0.922942,0.43836,6,0.79546,0.093018,15.1404,7.3705,0.0198
29,0.890963,0.028051,0.85167,0.923899,0.406042,6,0.762523,0.088576,14.9375,7.5142,0.6838
30,0.882576,0.050755,0.785573,0.922478,0.425043,6,0.777268,0.101788,14.8341,7.2937,0.018
31,0.826317,0.190508,0.43835,0.92007,0.756579,6,0.703959,0.226002,15.2728,7.3548,0.0194
32,0.888887,0.019516,0.859877,0.918165,0.457792,6,0.762522,0.081606,15.0648,7.241,0.0242
33,0.893741,0.018626,0.868148,0.920868,0.410444,6,0.768115,0.076274,15.1462,7.0469,0.6805
34,0.883041,0.037317,0.816818,0.919853,0.452973,6,0.762288,0.084492,15.3002,7.2779,0.0214
35,0.895432,0.031935,0.843396,0.932777,0.39518,6,0.779002,0.097315,15.3256,7.2593,0.0187
36,0.882956,0.045739,0.799485,0.924856,0.425841,6,0.778966,0.099439,15.3556,7.2515,0.0213
37,0.856555,0.067957,0.771143,0.924697,0.55965,6,0.738506,0.104182,14.5688,6.7248,0.0192
38,0.879675,0.060479,0.776159,0.926133,0.437255,5,0.803707,0.100148,13.7917,6.0913,0.814
39,0.876555,0.05625,0.794422,0.922144,0.439933,4,0.714246,0.04198,12.1816,5.83,1.0104
40,0.894667,0.037926,0.842135,0.92358,0.391971,4,0.811545,0.096353,11.6968,5.1692,0.0198
41,0.895727,0.021143,0.870385,0.921825,0.393128,4,0.761433,0.078946,10.5331,4.6893,0.0184
42,0.875373,0.050407,0.825326,0.926133,0.431268,3,0.787364,0.068204,9.4472,4.5348,1.3386
43,0.906451,0.01518,0.894665,0.92358,0.390254,3,0.694622,0.001023,9.0054,4.0298,2.6607
44,0.907601,0.014459,0.896938,0.924059,0.374232,3,0.742398,0.074357,6.2536,3.3884,0.019
45,0.912682,0.016766,0.900826,0.924537,0.34924,2,0.697844,0.009715,5.9434,3.5691,0.0176
46,0.897247,0.005854,0.893108,0.901387,0.478322,2,0.681073,0.030156,4.9272,3.1044,0.0179
47,0.912561,0.017388,0.900266,0.924856,0.361644,2,0.696865,0.000339,4.924,3.0507,2.001
