worker_id,round,timestamp,train_loss_avg,val_loss,val_accuracy,round_duration_s,phase_a_s,phase_b_s,phase_c_s,grpc_mean_latency_s,neighbors_aggregated,peers_contacted
4,1,1780400977.63,1.907741,4.130688,0.003045,10.172,2.5219,7.5676,0.0824,0.026521,0,3
4,2,1780400987.364,1.686436,4.044465,0.044403,9.734,2.3218,7.3426,0.0695,0.022357,3,3
4,3,1780400997.121,1.502554,4.063797,0.028685,9.757,2.1916,7.4848,0.0804,0.025868,3,3
4,4,1780401006.817,1.442414,2.715336,0.427919,9.695,2.156,7.4705,0.0686,0.022029,4,3
4,5,1780401016.523,1.363926,0.911147,0.790314,9.706,2.2414,7.3936,0.0705,0.022526,5,3
4,6,1780401026.237,1.313108,0.672798,0.830051,9.714,2.349,7.2985,0.0661,0.021087,4,3
4,7,1780401036.0,1.28592,0.5172,0.852841,9.763,2.4363,7.2574,0.0686,0.022018,3,3
4,8,1780401045.749,1.283644,0.521936,0.855739,9.749,2.4477,7.2284,0.0723,0.022588,2,3
4,9,1780401055.507,1.27144,0.460742,0.865514,9.758,2.4474,7.2369,0.0734,0.023639,2,3
4,10,1780401065.239,1.236892,0.478838,0.861683,9.732,2.4503,7.2125,0.0688,0.022128,4,3
4,11,1780401074.981,1.242177,0.461837,0.863353,9.742,2.4075,7.2641,0.0697,0.022425,2,3
4,12,1780401084.754,1.226067,0.500625,0.869051,9.774,2.3031,7.4034,0.0667,0.021394,3,3
4,13,1780401094.412,1.223274,0.448365,0.871949,9.657,2.2453,7.3402,0.0715,0.023051,3,3
4,14,1780401104.089,1.220604,0.458299,0.864679,9.677,2.2988,7.2977,0.0808,0.026068,2,3
4,15,1780401113.832,1.213175,0.450197,0.868608,9.742,2.3299,7.3447,0.0674,0.021684,2,3
4,16,1780401123.562,1.207553,0.480571,0.865023,9.73,2.2782,7.375,0.0759,0.024497,2,3
4,17,1780401133.256,1.201233,0.455273,0.868952,9.695,2.1844,7.4429,0.067,0.021496,3,3
4,18,1780401143.014,1.203408,0.470283,0.86743,9.757,2.1423,7.5424,0.0724,0.023326,1,3
4,19,1780401152.726,1.188142,0.448249,0.868805,9.712,2.0677,7.5595,0.0848,0.027001,3,3
4,20,1780401162.386,1.196646,0.478658,0.871605,9.659,2.1411,7.4516,0.0661,0.021252,2,3
4,21,1780401172.045,1.190231,0.508719,0.867135,9.659,2.1368,7.4532,0.0686,0.022036,4,3
4,22,1780401181.681,1.187484,0.445734,0.869247,9.636,2.1507,7.4162,0.0693,0.022305,4,3
4,23,1780401191.361,1.17639,0.43032,0.877302,9.68,2.3014,7.3041,0.0737,0.023781,3,3
4,24,1780401201.142,1.180362,0.43548,0.878383,9.78,2.4101,7.3039,0.0661,0.021203,3,3
4,25,1780401210.877,1.178871,0.455895,0.870475,9.735,2.4227,7.2426,0.0693,0.022213,4,3
4,26,1780401220.65,1.180129,0.422995,0.880692,9.773,2.4442,7.2678,0.0609,0.019432,2,3
4,27,1780401230.38,1.168294,0.77768,0.86129,9.729,2.4233,7.2413,0.0646,0.020385,4,3
4,28,1780401240.107,1.173479,0.428815,0.877548,9.727,2.4323,7.2228,0.0719,0.021806,4,3
4,29,1780401249.863,1.173909,0.433564,0.875682,9.755,2.4177,7.2686,0.0687,0.022144,4,3
4,30,1780401259.578,1.172463,0.422538,0.882263,9.715,2.3512,7.3003,0.0637,0.020448,2,3
4,31,1780401269.286,1.177943,0.442819,0.874306,9.708,2.3083,7.3232,0.0763,0.024656,3,3
4,32,1780401278.906,1.172231,0.436178,0.878383,9.619,2.2984,7.2542,0.0665,0.021395,2,3
4,33,1780401288.709,1.167697,0.432409,0.876517,9.802,2.3409,7.3958,0.0654,0.021022,2,3
4,34,1780401298.53,1.163325,0.441608,0.879955,9.821,2.3172,7.4373,0.066,0.021201,2,3
4,35,1780401308.33,1.165386,0.437388,0.877008,9.8,2.2839,7.449,0.067,0.021529,4,3
4,36,1780401317.269,1.169555,0.426185,0.877204,8.939,2.3292,6.542,0.0678,0.021747,3,3
4,37,1780401323.186,1.161211,0.414936,0.879415,5.916,1.5203,4.353,0.0428,0.020261,3,2
4,38,1780401329.047,1.168327,0.422269,0.883,5.861,1.4129,4.4077,0.0399,0.018786,2,2
4,39,1780401334.792,1.164133,0.416843,0.884179,5.745,1.4192,4.2827,0.0426,0.020067,2,2
4,40,1780401340.525,1.158977,0.413198,0.883491,5.733,1.3421,4.3461,0.0448,0.020926,2,2
4,41,1780401346.257,1.155476,0.409655,0.885456,5.732,1.3196,4.367,0.0447,0.021095,2,2
4,42,1780401352.043,1.166632,0.424881,0.882018,5.787,1.293,4.4527,0.0405,0.019053,2,2
4,43,1780401357.806,1.15483,0.401,0.882755,5.762,1.2622,4.4568,0.0427,0.020246,2,2
4,44,1780401363.581,1.159408,0.401433,0.885014,5.775,1.2304,4.5022,0.0425,0.019933,2,2
4,45,1780401369.364,1.173259,0.425076,0.886488,5.783,1.2096,4.5317,0.0417,0.019699,2,2
4,46,1780401375.166,1.155483,0.4187,0.881674,5.802,1.2555,4.5032,0.0426,0.019853,3,2
4,47,1780401380.94,1.160094,0.412175,0.883688,5.774,1.2851,4.4417,0.0465,0.022125,2,2
4,48,1780401385.744,1.159708,0.426544,0.880053,4.804,1.322,3.4598,0.0217,0.019229,2,1
4,49,1780401389.711,1.150994,0.433772,0.887716,3.967,0.857,3.0889,0.0209,0.018441,2,1
4,50,1780401393.675,1.164676,0.406228,0.885505,3.964,0.8893,3.0528,0.0217,0.019465,1,1
4,51,1780401397.653,1.15789,0.413286,0.884179,3.977,0.8971,3.0595,0.0206,0.01818,1,1
4,52,1780401401.675,1.162445,0.413989,0.882656,4.022,0.9119,3.0888,0.0212,0.018943,1,1
