worker_id,round,timestamp,train_loss_avg,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,global_test_accuracy,global_test_macro_precision,global_test_macro_recall,global_test_macro_f1,round_duration_s,phase_a_s,phase_b_s,phase_c_s,grpc_mean_latency_s,neighbors_aggregated,peers_contacted
2,30,1783679430.77,1.021442,0.295125,0.924988,0.854813,0.79061,0.801313,0.898352,0.851906,0.778764,0.797141,197.884,109.4546,88.3816,0.0469,0.046507,1,1
2,31,1783679625.015,1.028996,0.284063,0.926529,0.854754,0.795215,0.80651,0.895062,0.864075,0.780305,0.798143,194.244,108.9192,85.2571,0.0493,0.048918,1,1
2,32,1783679835.529,1.026193,0.281903,0.929706,0.855433,0.80469,0.814474,0.899969,0.862424,0.790639,0.804196,210.513,109.9756,100.4595,0.0586,0.058226,1,1
2,33,1783680042.567,1.019866,0.286385,0.930091,0.862549,0.808466,0.821547,0.902694,0.865084,0.792873,0.810542,207.038,111.3626,95.6206,0.0543,0.053969,1,1
2,34,1783680238.951,1.020279,0.392385,0.92364,0.856157,0.803606,0.815897,0.886976,0.848885,0.786782,0.798092,196.384,111.1831,85.1438,0.0569,0.056486,1,1
2,35,1783680436.528,1.013522,0.286383,0.929321,0.858813,0.800621,0.812166,0.904759,0.864043,0.788552,0.807014,197.576,109.7092,87.8176,0.0488,0.048403,1,1
2,36,1783680647.966,1.015422,0.365843,0.927106,0.861852,0.79644,0.809374,0.896146,0.864548,0.78314,0.801804,211.438,111.2894,100.0956,0.0525,0.052087,1,1
2,37,1783680861.675,1.015811,0.84698,0.884449,0.771938,0.740754,0.716808,0.826719,0.764456,0.719983,0.693,213.709,113.9037,99.7473,0.0576,0.05719,1,1
2,38,1783681061.297,1.010935,0.396145,0.924699,0.87191,0.799183,0.813212,0.885335,0.847835,0.781527,0.792682,199.622,114.0361,85.5392,0.0456,0.045242,1,1
2,39,1783681258.123,1.008665,0.270397,0.933654,0.881186,0.815215,0.830752,0.90267,0.863034,0.795388,0.813646,196.825,108.2983,88.4504,0.0575,0.057089,1,1
2,40,1783681471.046,1.008164,0.272088,0.929803,0.860423,0.806054,0.819498,0.901791,0.868646,0.789423,0.808802,212.923,111.5722,101.2902,0.0602,0.059835,1,1
2,41,1783681682.859,1.005272,0.278857,0.929225,0.876051,0.80704,0.822046,0.899852,0.857188,0.793451,0.813247,211.813,111.5215,100.1615,0.1293,0.124065,1,1
2,42,1783681884.793,1.00678,0.446223,0.901974,0.846323,0.789211,0.790208,0.85079,0.801935,0.771453,0.759776,201.934,112.9335,88.9427,0.0568,0.056409,1,1
2,43,1783682083.801,1.009571,0.29523,0.93221,0.881149,0.815451,0.828555,0.903094,0.866374,0.798248,0.814654,199.008,112.2004,86.7595,0.0472,0.046858,1,1
2,44,1783682296.729,0.998901,0.264692,0.930766,0.872157,0.811448,0.826266,0.904829,0.861635,0.803638,0.820099,212.927,111.6961,101.1589,0.0489,0.048472,1,1
2,45,1783682497.886,1.002097,0.267064,0.930766,0.859382,0.809614,0.820111,0.902906,0.862748,0.79505,0.809053,201.157,107.7115,93.3874,0.0574,0.057009,1,1
2,46,1783682693.821,1.000888,0.273845,0.931921,0.857802,0.8109,0.824517,0.905936,0.867116,0.803454,0.820966,195.935,110.498,85.3848,0.0517,0.05132,1,1
2,47,1783682906.594,0.998316,0.281293,0.933173,0.87981,0.808267,0.821538,0.906988,0.866124,0.798276,0.816473,212.773,111.7173,100.996,0.0593,0.058919,1,1
2,48,1783683115.139,1.000964,0.27821,0.935195,0.870701,0.820334,0.834714,0.903235,0.871204,0.802483,0.820823,208.545,112.5247,95.9723,0.0479,0.047509,1,1
2,49,1783683312.596,0.993576,0.270195,0.93221,0.860971,0.816949,0.828704,0.902317,0.869859,0.800934,0.818769,197.456,110.0942,87.3037,0.058,0.057638,1,1
2,50,1783683508.916,0.99913,0.299145,0.930862,0.863071,0.80855,0.821361,0.903212,0.866242,0.796829,0.814931,196.319,111.5801,84.6864,0.0522,0.051819,1,1
2,51,1783683717.391,0.994968,0.268568,0.932114,0.876784,0.806867,0.82042,0.90698,0.87164,0.799841,0.819245,208.475,110.0936,98.3244,0.0569,0.056501,1,1
2,52,1783683926.111,0.992054,0.314712,0.934232,0.877543,0.825445,0.836914,0.90512,0.870511,0.809993,0.824291,208.72,111.7843,96.8777,0.0575,0.0571,1,1
2,53,1783684122.511,0.995143,0.295673,0.934328,0.867507,0.819428,0.831278,0.905198,0.871392,0.803607,0.820585,196.399,110.6118,85.7324,0.0546,0.054226,1,1
