worker_id,round,timestamp,train_loss_avg,val_loss,val_accuracy,round_duration_s,phase_a_s,phase_b_s,phase_c_s,grpc_mean_latency_s,neighbors_aggregated,peers_contacted
1,1,1780400151.401,1.725044,4.128859,0.019557,8.798,1.3746,7.3374,0.086,0.027836,0,3
1,2,1780400160.755,1.445429,4.141129,0.018013,9.354,2.0475,7.2106,0.0952,0.030829,1,3
1,3,1780400170.159,1.374951,3.100483,0.156573,9.404,2.0675,7.2352,0.1012,0.032848,1,3
1,4,1780400179.421,1.386354,3.665071,0.054383,9.262,2.0447,7.1368,0.0802,0.025869,4,3
1,5,1780400188.728,1.286575,0.760934,0.851261,9.307,2.062,7.1628,0.0816,0.026311,1,3
1,6,1780400198.119,1.271487,0.954341,0.794476,9.39,2.0712,7.2301,0.0887,0.02865,2,3
1,7,1780400207.564,1.240987,1.351799,0.828272,9.445,2.0933,7.2662,0.0852,0.027536,3,3
1,8,1780400217.049,1.21717,0.584226,0.863213,9.485,2.1044,7.2922,0.0885,0.0285,2,3
1,9,1780400226.491,1.187487,0.434718,0.880883,9.441,2.0701,7.2798,0.091,0.029479,4,3
1,10,1780400236.025,1.176487,0.393658,0.882827,9.535,2.0103,7.4396,0.0844,0.027337,3,3
1,11,1780400245.647,1.165614,0.557074,0.882198,9.622,1.9592,7.5753,0.0867,0.028079,4,3
1,12,1780400255.174,1.157041,0.410732,0.887231,9.526,2.0296,7.4091,0.0873,0.028303,4,3
1,13,1780400264.536,1.14875,0.489328,0.887002,9.362,2.0307,7.2527,0.0786,0.025344,4,3
1,14,1780400273.917,1.148464,0.462918,0.885572,9.381,2.0331,7.2613,0.0859,0.02782,2,3
1,15,1780400283.269,1.141547,1.074342,0.863842,9.352,1.9754,7.2833,0.0932,0.029708,1,3
1,16,1780400292.65,1.13334,0.455435,0.889861,9.381,1.9302,7.3613,0.0892,0.028792,2,3
1,17,1780400302.032,1.127023,0.762601,0.882884,9.382,1.9033,7.3953,0.0831,0.026959,3,3
1,18,1780400311.418,1.129965,0.381626,0.893521,9.386,1.8181,7.4683,0.0987,0.032022,3,3
1,19,1780400320.949,1.120505,0.395861,0.890948,9.531,1.8213,7.6188,0.0905,0.029392,2,3
1,20,1780400330.528,1.111678,0.399715,0.889003,9.578,1.8079,7.6816,0.0883,0.027674,2,3
1,21,1780400340.02,1.110847,0.38102,0.882599,9.492,1.8546,7.5571,0.0798,0.025585,2,3
1,22,1780400349.343,1.10882,0.384608,0.892892,9.323,1.769,7.4537,0.0999,0.032415,4,3
1,23,1780400358.641,1.11591,0.638033,0.88866,9.298,1.7627,7.4446,0.0903,0.02927,3,3
1,24,1780400367.912,1.109402,0.38679,0.89232,9.271,1.7952,7.3823,0.093,0.030182,2,3
1,25,1780400377.256,1.107128,0.385352,0.89415,9.344,1.9168,7.3436,0.0837,0.027133,3,3
1,26,1780400386.619,1.096447,0.375961,0.893349,9.363,1.9987,7.2792,0.0847,0.027468,4,3
1,27,1780400395.938,1.098749,0.372685,0.896094,9.319,2.0146,7.2184,0.0854,0.027451,4,3
1,28,1780400405.291,1.093722,0.429571,0.896323,9.352,2.0466,7.2221,0.0832,0.026946,3,3
1,29,1780400414.638,1.091254,0.380474,0.895179,9.347,2.0627,7.203,0.0806,0.026077,4,3
1,30,1780400424.028,1.09256,0.374508,0.89638,9.391,2.091,7.2054,0.0939,0.030498,4,3
1,31,1780400433.386,1.083991,0.364873,0.89678,9.357,2.0862,7.1877,0.0832,0.026458,4,3
1,32,1780400442.767,1.093547,0.387223,0.89232,9.381,2.0784,7.213,0.089,0.028604,3,3
1,33,1780400452.102,1.0854,0.380523,0.895408,9.335,2.0641,7.1899,0.0807,0.026114,4,3
1,34,1780400461.511,1.089339,0.369846,0.898096,9.409,2.0484,7.2712,0.0887,0.028733,3,3
1,35,1780400470.877,1.076888,0.365916,0.898439,9.366,1.9671,7.3159,0.0825,0.026734,4,3
1,36,1780400478.329,1.080878,0.373111,0.897867,7.452,1.5407,5.8215,0.0892,0.02893,3,3
1,37,1780400485.699,1.081294,0.36628,0.893578,7.37,1.4826,5.7955,0.0914,0.029378,4,3
1,38,1780400492.577,1.084702,0.373029,0.895236,6.878,1.5756,5.2505,0.0519,0.024767,3,2
1,39,1780400498.183,1.081828,0.371815,0.89455,5.606,1.1776,4.3752,0.0526,0.025183,3,2
1,40,1780400503.754,1.076672,0.382673,0.89964,5.571,1.1444,4.3699,0.0564,0.027037,2,2
