round,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_val_loss,workers_reporting,mean_global_test_accuracy,std_global_test_accuracy,mean_phase_a_s,mean_phase_b_s,mean_phase_c_s
1,0.007729,0.001453,0.006082,0.008827,4.12733,3,0.038606,0.025684,166.868,103.968,0.186
2,0.587327,0.441528,0.077635,0.852557,1.800867,3,0.507842,0.416852,125.9244,102.7748,0.1654
3,0.339607,0.456007,0.07503,0.866157,2.905005,3,0.300238,0.460889,127.7382,106.0185,0.1245
4,0.19952,0.305031,0.008827,0.551325,3.402693,3,0.199195,0.293362,128.272,102.1742,0.1776
5,0.703721,0.281066,0.38111,0.895687,1.103313,3,0.618362,0.380108,123.7949,98.3592,0.1451
6,0.858979,0.033169,0.823999,0.889978,0.715371,3,0.780929,0.104945,125.2318,99.6936,0.0731
7,0.838535,0.027974,0.808187,0.86329,0.86769,3,0.78604,0.064281,126.299,96.1577,0.1412
8,0.861978,0.032982,0.824369,0.885973,0.473914,3,0.789102,0.091116,122.8999,105.1747,0.0802
9,0.857201,0.02441,0.832672,0.88149,0.63342,3,0.797081,0.074521,122.4452,93.5274,0.1578
10,0.876949,0.016108,0.860747,0.892961,0.435423,3,0.749328,0.069766,123.2165,101.0608,0.0689
11,0.846638,0.040807,0.804802,0.886332,0.536164,3,0.85526,0.007092,121.8213,102.655,0.1064
12,0.876624,0.03024,0.844307,0.904235,0.411729,3,0.813704,0.072972,123.2323,100.8823,0.1286
13,0.893983,0.017654,0.876862,0.912126,0.392525,3,0.804233,0.095226,124.7828,99.8003,0.2049
14,0.88021,0.013074,0.867412,0.893543,0.749331,3,0.738114,0.093918,124.8486,100.232,0.1255
15,0.893152,0.014504,0.876752,0.904295,0.423622,3,0.80164,0.092596,123.3806,95.5319,0.1069
16,0.864138,0.019395,0.847898,0.885614,0.45136,3,0.851947,0.027456,121.7837,107.1249,0.1039
17,0.888244,0.02676,0.86837,0.918672,0.405675,3,0.83928,0.044521,122.9207,105.7028,0.1541
18,0.900544,0.0162,0.887234,0.918582,0.373363,3,0.755897,0.114057,123.4529,105.3217,0.1438
19,0.899288,0.014163,0.88613,0.914278,0.395252,3,0.765376,0.101214,125.7492,96.1531,0.1111
20,0.863943,0.021691,0.843926,0.886989,0.665152,3,0.790002,0.135198,123.2348,100.2866,0.1196
21,0.857327,0.018427,0.845523,0.878561,0.472594,3,0.856503,0.024095,123.2083,104.9039,0.2008
22,0.868873,0.057703,0.828071,0.909675,0.447439,2,0.865802,0.015888,128.7759,111.0284,0.13
23,0.879666,0.0,0.879666,0.879666,0.43216,1,0.84429,0.0,124.4233,100.8091,0.1078
24,0.890785,0.0,0.890785,0.890785,0.409283,1,0.856741,0.0,126.3181,105.3686,0.1324
25,0.863885,0.0,0.863885,0.863885,0.62221,1,0.829121,0.0,127.7799,99.1178,0.1564
26,0.917088,0.0,0.917088,0.917088,0.445453,1,0.88857,0.0,128.2349,99.4913,0.0011
27,0.923753,0.0,0.923753,0.923753,0.324841,1,0.895031,0.0,125.7232,103.1279,0.0016
28,0.920913,0.0,0.920913,0.920913,0.312178,1,0.893037,0.0,125.163,101.1207,0.0004
29,0.896464,0.0,0.896464,0.896464,0.8111,1,0.863399,0.0,128.3306,100.0147,0.001
30,0.921571,0.0,0.921571,0.921571,0.389177,1,0.891804,0.0,125.7598,100.8049,0.0005
31,0.92462,0.0,0.92462,0.92462,0.300125,1,0.896923,0.0,126.0641,99.656,0.0013
32,0.832681,0.0,0.832681,0.832681,1.16562,1,0.795471,0.0,128.9052,102.1584,0.0012
33,0.882446,0.0,0.882446,0.882446,0.872475,1,0.84648,0.0,127.9163,99.6558,0.0014
34,0.907822,0.0,0.907822,0.907822,0.512127,1,0.877319,0.0,125.6702,100.7897,0.0013
35,0.925158,0.0,0.925158,0.925158,0.355304,1,0.897324,0.0,127.0106,99.4339,0.0014
36,0.923813,0.0,0.923813,0.923813,0.308363,1,0.895212,0.0,123.9026,99.7583,0.0011
37,0.926383,0.0,0.926383,0.926383,0.35984,1,0.90066,0.0,124.5875,99.177,0.0003
38,0.926054,0.0,0.926054,0.926054,0.302165,1,0.898972,0.0,125.218,100.5724,0.0013
39,0.916281,0.0,0.916281,0.916281,0.426176,1,0.88557,0.0,127.645,99.7908,0.0013
40,0.926503,0.0,0.926503,0.926503,0.345408,1,0.899121,0.0,125.7985,99.5848,0.0012
