round,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_val_loss,workers_reporting,mean_global_test_accuracy,std_global_test_accuracy,mean_val_macro_precision,std_val_macro_precision,mean_val_macro_recall,std_val_macro_recall,mean_val_macro_f1,std_val_macro_f1,mean_global_test_macro_precision,std_global_test_macro_precision,mean_global_test_macro_recall,std_global_test_macro_recall,mean_global_test_macro_f1,std_global_test_macro_f1,mean_phase_a_s,mean_phase_b_s,mean_phase_c_s
1,0.031403,0.037339,0.007412,0.074423,4.128294,3,0.032263,0.023405,0.000599,0.000552,0.019057,0.005072,0.001135,0.001017,0.000751,0.000742,0.017826,0.00294,0.001405,0.00135,175.5293,102.7864,0.317
2,0.318769,0.449551,0.038617,0.837306,2.818016,3,0.246225,0.36735,0.244697,0.422164,0.218742,0.350935,0.215186,0.369596,0.22001,0.380114,0.199133,0.316973,0.184791,0.318222,122.6915,100.4068,0.171
3,0.064475,0.022591,0.038617,0.080385,4.212999,3,0.034136,0.0,0.00104,0.000364,0.016129,0.0,0.001944,0.000651,0.000551,0.0,0.016129,0.0,0.001065,0.0,124.2566,87.0931,0.1659
4,0.549505,0.311779,0.210416,0.823788,2.023308,3,0.477278,0.315376,0.489677,0.278908,0.368009,0.276326,0.371074,0.276237,0.536825,0.260227,0.358381,0.266028,0.370168,0.279102,123.0912,94.4481,0.1655
5,0.801381,0.021728,0.776932,0.818483,1.17015,3,0.753251,0.022127,0.685295,0.105596,0.611411,0.040566,0.600427,0.071838,0.740373,0.015605,0.59855,0.036622,0.611088,0.040151,120.3976,90.6616,0.177
6,0.836242,0.006971,0.828197,0.840505,0.581428,3,0.797879,0.006309,0.761453,0.032354,0.681453,0.025403,0.671222,0.033264,0.760385,0.008411,0.679203,0.0149,0.683181,0.007139,118.9414,96.3957,0.1893
7,0.82074,0.038307,0.776564,0.844786,0.907543,3,0.782577,0.040342,0.717724,0.069533,0.676565,0.0633,0.658289,0.07855,0.734262,0.043898,0.677061,0.055224,0.670018,0.056471,118.8533,91.1288,0.2589
8,0.850519,0.0098,0.840658,0.860256,0.487992,3,0.812535,0.00439,0.764317,0.030237,0.719288,0.020621,0.713703,0.030964,0.763579,0.005812,0.717239,0.004505,0.712735,0.003216,116.5316,94.8541,0.2862
9,0.857162,0.012736,0.845153,0.870517,0.584573,3,0.814204,0.004711,0.760275,0.052739,0.721427,0.030873,0.711709,0.050161,0.76637,0.00272,0.725859,0.006224,0.718124,0.008191,117.8744,87.467,0.215
10,0.849751,0.018054,0.830977,0.866987,0.507618,3,0.808146,0.014122,0.76571,0.020969,0.719998,0.023695,0.708283,0.034325,0.76489,0.008259,0.72782,0.00426,0.718892,0.010524,116.9669,91.7422,0.312
11,0.842295,0.030902,0.819028,0.877358,1.263883,3,0.761403,0.057234,0.724403,0.05384,0.691778,0.042301,0.677592,0.064045,0.72456,0.029349,0.681622,0.008085,0.658266,0.029905,120.3691,88.2135,0.2624
12,0.859238,0.004002,0.856259,0.863787,0.813498,3,0.815298,0.00526,0.765722,0.038514,0.722409,0.031103,0.711616,0.045223,0.764969,0.009392,0.732019,0.012217,0.722597,0.014357,118.3988,91.6299,0.165
13,0.861402,0.009239,0.855725,0.872062,0.676771,3,0.811781,0.005823,0.759367,0.042429,0.724912,0.043017,0.71423,0.055639,0.76575,0.006396,0.738818,0.008411,0.72917,0.006397,118.7254,90.635,0.214
14,0.864141,0.011869,0.853274,0.876807,0.440188,3,0.818632,0.006048,0.780041,0.017237,0.741762,0.025362,0.735058,0.027449,0.77195,0.01081,0.747581,0.002401,0.736468,0.006441,115.4126,93.5621,0.4263
15,0.850746,0.015473,0.833368,0.863028,0.664156,3,0.827132,0.037192,0.760418,0.012963,0.727205,0.01259,0.714671,0.018744,0.77604,0.026734,0.745744,0.024385,0.737214,0.034205,118.3953,83.0415,0.2983
16,0.859698,0.025662,0.830874,0.880062,0.750261,3,0.803252,0.04342,0.767189,0.064904,0.725145,0.066037,0.714746,0.088341,0.757705,0.046483,0.730727,0.050296,0.715953,0.061161,118.5063,92.6853,0.2467
17,0.869238,0.008882,0.860543,0.878296,0.574393,3,0.817096,0.019605,0.777613,0.03441,0.736661,0.031668,0.729308,0.04133,0.7726,0.017061,0.74453,0.017771,0.731724,0.025017,116.6197,88.1826,0.291
18,0.858913,0.021385,0.839137,0.881607,0.595618,3,0.818046,0.0148,0.769486,0.034088,0.736463,0.019339,0.723217,0.032399,0.774686,0.013926,0.746046,0.01751,0.73097,0.025118,118.3709,93.8375,0.358
19,0.850839,0.041531,0.803091,0.878572,0.754729,3,0.801038,0.035552,0.760824,0.021764,0.725524,0.019406,0.712503,0.031127,0.76069,0.031739,0.732709,0.029227,0.713527,0.042131,117.7725,92.1017,0.1729
20,0.860834,0.018631,0.840392,0.876862,0.704656,3,0.797183,0.007183,0.769058,0.033033,0.734773,0.037794,0.721216,0.041212,0.760231,0.01217,0.736396,0.022022,0.713194,0.024833,118.2364,89.5131,0.697
21,0.875334,0.009953,0.866067,0.885855,0.526796,3,0.773863,0.067155,0.781994,0.026821,0.748005,0.035322,0.741932,0.037691,0.754457,0.033865,0.736832,0.043536,0.704145,0.0647,116.0248,91.3709,0.1743
22,0.858595,0.025738,0.833548,0.884972,0.531128,3,0.80801,0.021821,0.777194,0.026493,0.741897,0.017577,0.734618,0.026567,0.771928,0.008169,0.752664,0.015552,0.733738,0.017654,118.2055,87.8476,0.1963
23,0.869976,0.013897,0.861673,0.88602,0.574628,3,0.801219,0.031995,0.77363,0.041612,0.737359,0.056434,0.725376,0.071409,0.774869,0.004625,0.743614,0.037111,0.722409,0.038859,116.9995,99.899,0.1578
24,0.851361,0.035754,0.812565,0.882986,0.454318,3,0.809603,0.031066,0.776982,0.015062,0.744446,0.025402,0.729914,0.032389,0.770865,0.013592,0.759257,0.014804,0.733887,0.026171,116.42,83.1051,0.2685
25,0.880951,0.021355,0.85722,0.89862,0.428071,3,0.778526,0.060095,0.805362,0.007415,0.758903,0.018621,0.760828,0.011126,0.758339,0.033282,0.740321,0.027751,0.709975,0.051804,116.8291,88.1378,0.2571
26,0.872816,0.008042,0.865828,0.881607,0.425456,3,0.82612,0.008133,0.787286,0.022736,0.755775,0.028589,0.748257,0.036717,0.784129,0.008972,0.765761,0.004171,0.749528,0.006688,115.1164,89.8457,0.2224
27,0.874598,0.012809,0.866096,0.88933,0.428782,3,0.827339,0.005432,0.785754,0.03015,0.754185,0.032633,0.746827,0.042273,0.782379,0.000481,0.766699,0.003306,0.753011,0.004324,117.1005,98.8398,0.2741
28,0.866043,0.019241,0.852821,0.888117,0.440567,3,0.82842,0.010832,0.781643,0.032494,0.753107,0.03256,0.743649,0.042605,0.788645,0.013593,0.76586,0.002336,0.753023,0.006795,115.8423,95.1602,0.218
29,0.870657,0.012763,0.86242,0.885358,0.430126,3,0.83446,0.007404,0.790095,0.033246,0.758512,0.033662,0.747224,0.038967,0.790532,0.01537,0.772723,0.002074,0.757713,0.009109,117.0152,87.6218,0.1566
30,0.855772,0.042981,0.807155,0.888723,0.591516,3,0.807044,0.034886,0.77706,0.018836,0.73898,0.021409,0.726267,0.035206,0.767744,0.023566,0.753564,0.030068,0.731001,0.040851,116.313,83.8987,0.1855
31,0.879905,0.018557,0.866783,0.893027,0.441736,2,0.766199,0.08742,0.782187,0.036068,0.740837,0.020282,0.736209,0.03837,0.755316,0.028481,0.739115,0.047481,0.700176,0.071684,111.9522,100.5926,0.1482
32,0.877107,0.015648,0.866043,0.888172,0.440169,2,0.827511,0.002487,0.770142,0.026605,0.743631,0.026434,0.73485,0.039835,0.780529,0.000948,0.773394,0.001313,0.753961,0.002666,112.0221,88.62,0.0709
33,0.86435,0.0,0.86435,0.86435,0.659522,1,0.797552,0.0,0.743703,0.0,0.697889,0.0,0.671707,0.0,0.772957,0.0,0.738165,0.0,0.722168,0.0,117.8649,86.2079,0.0012
34,0.722883,0.0,0.722883,0.722883,1.61121,1,0.464234,0.0,0.677135,0.0,0.505874,0.0,0.497195,0.0,0.604217,0.0,0.440263,0.0,0.401192,0.0,121.0741,86.4396,0.0003
