worker_id,round,timestamp,train_loss_avg,val_loss,val_accuracy,global_test_accuracy,round_duration_s,phase_a_s,phase_b_s,phase_c_s,grpc_mean_latency_s,neighbors_aggregated,peers_contacted
1,1,1783287335.49,1.699572,4.124298,0.006896,0.01695,276.137,174.709,101.1524,0.2371,0.118357,0,2
1,2,1783287557.558,1.456021,3.864732,0.07503,0.034144,222.066,121.1047,100.8061,0.1278,0.063728,1,2
1,3,1783287777.721,1.416473,4.406426,0.008827,0.02477,220.162,122.1247,97.8167,0.2204,0.109985,2,2
1,4,1783287997.985,1.356323,2.004288,0.655247,0.685329,220.263,117.7957,102.2461,0.2034,0.101522,1,2
1,5,1783288215.753,1.318108,3.699385,0.062341,0.051181,217.768,120.0197,97.502,0.2454,0.122527,2,2
1,6,1783288429.299,1.289449,1.518,0.781529,0.696721,213.546,120.9716,91.8994,0.6554,0.327508,2,2
1,7,1783288643.777,1.252744,0.532705,0.848615,0.808072,214.477,116.9838,97.184,0.2903,0.144974,2,2
1,8,1783288874.517,1.222002,1.381938,0.825554,0.76435,230.74,122.455,108.0397,0.2451,0.122362,2,2
1,9,1783289087.281,1.215532,0.466526,0.856504,0.825463,212.764,119.8762,92.6132,0.2546,0.12713,2,2
1,10,1783289308.345,1.198959,0.449407,0.862739,0.828069,221.063,118.9687,101.8345,0.2413,0.120455,2,2
1,11,1783289516.632,1.184808,0.449071,0.870076,0.818357,208.288,120.3403,87.3617,0.5661,0.282864,2,2
1,12,1783289737.361,1.16865,0.585927,0.868697,0.81455,220.729,117.765,102.8213,0.1421,0.070836,2,2
1,13,1783289949.859,1.168264,0.602856,0.869304,0.819716,212.497,117.7955,94.4935,0.2075,0.103567,2,2
1,14,1783290171.757,1.161768,0.443008,0.882655,0.706456,221.899,119.5332,102.14,0.206,0.102809,1,2
1,15,1783290384.873,1.161886,0.423549,0.86649,0.832505,213.116,117.5896,95.2674,0.2388,0.119201,2,2
1,16,1783290602.244,1.155742,0.77271,0.87631,0.7908,217.37,121.3213,95.2082,0.84,0.419783,2,2
1,17,1783290809.496,1.143941,0.421233,0.879786,0.826821,207.252,121.2251,85.4252,0.5781,0.288864,2,2
1,18,1783291024.681,1.143791,0.417101,0.868862,0.836234,215.185,116.7604,98.0308,0.3738,0.186708,2,2
1,19,1783291230.787,1.136098,0.449705,0.877745,0.822338,206.105,115.9241,89.8343,0.3465,0.173047,2,2
1,20,1783291446.216,1.129116,0.469137,0.886186,0.805301,215.43,118.21,96.5379,0.6811,0.340387,2,2
1,21,1783291652.098,1.134595,0.407343,0.883151,0.819904,205.881,120.369,85.2279,0.2655,0.132556,2,2
1,22,1783291866.939,1.126288,0.415212,0.885524,0.821482,214.841,117.0712,97.5094,0.2602,0.129905,2,2
1,23,1783292075.039,1.128502,0.403523,0.883041,0.825447,208.099,115.0207,92.9318,0.124,0.061792,2,2
1,24,1783292282.871,1.121567,0.417433,0.875483,0.839438,207.832,119.834,87.339,0.6581,0.328646,2,2
1,25,1783292491.024,1.123814,0.455464,0.860256,0.873872,208.152,113.3959,94.5404,0.2145,0.107032,1,2
1,26,1783292706.609,1.115564,0.385319,0.889882,0.707822,215.585,116.711,97.9141,0.9408,0.470192,1,2
1,27,1783292910.503,1.119915,0.412277,0.880503,0.828313,203.894,114.7835,88.8825,0.2272,0.113381,2,2
1,28,1783293126.2,1.112588,0.401705,0.886186,0.817517,215.697,119.2412,96.3461,0.1095,0.041467,2,1
1,29,1783293328.546,1.112324,0.395365,0.882875,0.831123,202.346,112.4007,89.8951,0.0495,0.0491,2,1
1,30,1783293541.593,1.112931,0.391708,0.889937,0.714927,213.046,118.0474,94.7378,0.2607,0.26031,1,1
1,31,1783293744.518,1.101192,0.407784,0.890709,0.714495,202.924,116.1969,86.6689,0.058,0.057598,1,1
1,32,1783293959.553,1.110916,0.485092,0.888503,0.702923,215.035,120.0427,94.9342,0.0572,0.05675,1,1
1,33,1783294161.882,1.104299,0.400882,0.89082,0.704108,202.329,114.4381,87.842,0.0484,0.048041,1,1
1,34,1783294369.46,1.098042,0.422474,0.890709,0.704171,207.577,121.4058,86.1146,0.0566,0.056201,1,1
1,35,1783294577.312,1.096381,0.386581,0.891261,0.701918,207.852,117.5595,90.2224,0.0698,0.069393,1,1
