round,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_val_loss,workers_reporting,mean_phase_a_s,mean_phase_b_s,mean_phase_c_s
1,0.017199,0.029286,0.002947,0.06956,4.129589,5,1.214,0.6065,0.0587
2,0.195605,0.272218,0.044403,0.680007,3.091861,5,1.1822,0.4912,0.0587
3,0.727011,0.068341,0.614164,0.784411,1.196117,5,1.2686,0.5472,0.0616
4,0.496602,0.377322,0.074512,0.79184,1.795578,5,1.3365,0.5477,0.0714
5,0.634319,0.319658,0.064328,0.806326,1.461417,5,1.3821,0.5769,0.0685
6,0.663845,0.324248,0.085883,0.835586,1.186593,5,1.3527,0.5936,0.0945
7,0.640866,0.319412,0.07623,0.82913,1.362704,5,1.3734,0.6327,0.0828
8,0.807715,0.028093,0.768525,0.833076,0.723573,5,1.4511,0.6376,0.0828
9,0.664041,0.326265,0.082034,0.839252,1.115766,5,1.5163,0.6192,0.0865
10,0.668748,0.332086,0.07623,0.846114,1.221807,5,1.5243,0.6131,0.0861
11,0.817972,0.019958,0.791418,0.838352,0.612264,5,1.5239,0.6312,0.0815
12,0.823097,0.02423,0.787938,0.84966,0.618341,5,1.4938,0.6381,0.0866
13,0.818545,0.035935,0.759823,0.855378,0.672062,5,1.5115,0.6312,0.0855
14,0.825544,0.03741,0.766651,0.858695,0.83626,5,1.5328,0.5934,0.0833
15,0.834714,0.021036,0.80494,0.851147,0.670782,5,1.5327,0.6204,0.0779
16,0.831135,0.037063,0.7706,0.862526,0.837489,5,1.5397,0.6071,0.0883
17,0.837356,0.022639,0.805743,0.859724,0.526074,5,1.5544,0.596,0.091
18,0.8382,0.02819,0.794565,0.866815,0.663041,5,1.5098,0.6457,0.0987
19,0.837049,0.018241,0.813575,0.85921,0.519187,5,1.4829,0.6584,0.0892
20,0.843174,0.023486,0.813374,0.86733,0.548772,5,1.5304,0.5882,0.0849
21,0.84428,0.022603,0.814312,0.863046,0.617512,5,1.5041,0.5703,0.0776
22,0.843018,0.024075,0.811098,0.868302,0.554999,5,1.4523,0.5914,0.0809
23,0.845921,0.022259,0.814178,0.866815,0.586461,5,1.3603,0.601,0.0818
24,0.851345,0.02213,0.821809,0.873267,0.485716,5,1.3533,0.5741,0.0789
25,0.851166,0.022564,0.823014,0.873506,0.602904,5,1.2702,0.5525,0.0851
26,0.816926,0.069168,0.700575,0.869109,0.999341,5,1.2748,0.5249,0.0758
27,0.853793,0.023922,0.821742,0.874021,0.489585,5,1.2723,0.5667,0.0826
28,0.847592,0.033195,0.801931,0.879418,0.80633,5,1.2763,0.5661,0.081
29,0.855854,0.02458,0.82703,0.884702,0.469342,5,1.259,0.5176,0.0737
30,0.84968,0.022667,0.822612,0.880371,0.761446,5,1.2491,0.5022,0.0756
31,0.856269,0.024135,0.822344,0.878596,0.482375,5,1.2168,0.5458,0.0781
32,0.853974,0.028137,0.816387,0.881584,0.47271,5,1.1997,0.5341,0.0764
33,0.840203,0.023602,0.81893,0.878939,0.875504,5,1.2079,0.4997,0.0765
34,0.856152,0.022819,0.825825,0.875866,0.561614,5,1.2297,0.4972,0.0748
35,0.840188,0.043428,0.779212,0.875508,1.074683,5,1.2337,0.5142,0.0793
36,0.847455,0.029734,0.812614,0.879339,0.970974,5,1.2379,0.5181,0.0827
37,0.842046,0.051941,0.760323,0.882363,0.811001,5,1.2325,0.5277,0.0768
38,0.852282,0.02523,0.823281,0.879167,0.474262,4,1.2775,0.5012,0.0767
39,0.853764,0.022506,0.828168,0.875393,0.497098,4,1.2662,0.4931,0.0748
40,0.850873,0.018979,0.827432,0.869935,0.643138,4,1.2864,0.5076,0.0754
41,0.853209,0.025515,0.824821,0.88054,0.467506,4,1.2891,0.4956,0.0811
42,0.855107,0.023267,0.828436,0.87911,0.606139,4,1.2909,0.5047,0.0814
43,0.854498,0.024074,0.830109,0.882484,0.503981,4,1.2725,0.4999,0.0736
44,0.855829,0.024209,0.830712,0.881741,0.470416,4,1.2402,0.5027,0.0777
45,0.852618,0.026904,0.821139,0.883456,0.515046,4,1.2717,0.4849,0.0731
46,0.809906,0.10811,0.65011,0.881455,1.052305,4,1.2815,0.4804,0.0713
47,0.812427,0.088953,0.681959,0.882255,0.949388,4,1.284,0.4875,0.0726
48,0.853678,0.020108,0.834125,0.880997,0.66327,4,1.2652,0.5091,0.0782
49,0.847116,0.031001,0.809959,0.876651,0.765178,4,1.2717,0.4785,0.0698
50,0.818729,0.093806,0.681883,0.885172,0.918269,4,1.2576,0.5045,0.0762
51,0.854078,0.020571,0.834059,0.881226,0.589799,4,1.1753,0.4841,0.07
52,0.857603,0.024068,0.830511,0.882942,0.58078,4,1.1673,0.4622,0.0678
53,0.83896,0.033647,0.792824,0.87352,1.198411,4,1.157,0.4718,0.0693
54,0.853657,0.029302,0.827431,0.882713,0.697035,4,1.1065,0.4207,0.0631
55,0.848229,0.042609,0.790481,0.884772,0.78903,4,1.1144,0.4146,0.0619
56,0.737032,0.22896,0.39442,0.873392,1.160224,4,1.0916,0.4289,0.0665
57,0.856453,0.020318,0.833791,0.87648,0.629508,4,1.0813,0.4288,0.0619
58,0.849753,0.020568,0.836736,0.880425,0.80563,4,0.8644,0.3712,0.0463
59,0.673031,0.348705,0.150548,0.870246,1.373487,4,0.8399,0.3593,0.0461
60,0.843281,0.027913,0.804137,0.863842,0.974766,4,0.8493,0.3619,0.0482
61,0.806681,0.111201,0.679095,0.882999,1.054182,3,0.7849,0.3631,0.0452
62,0.853355,0.037798,0.826628,0.880082,0.485635,2,0.9607,0.4296,0.0698
63,0.860464,0.033083,0.837071,0.883857,0.458836,2,0.9356,0.4517,0.0746
64,0.605896,0.32125,0.378738,0.833054,1.617726,2,0.9562,0.4101,0.0695
65,0.842359,0.0,0.842359,0.842359,0.565768,1,1.0527,0.4604,0.0803
