round,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_val_loss,workers_reporting,mean_global_test_accuracy,std_global_test_accuracy,mean_phase_a_s,mean_phase_b_s,mean_phase_c_s
1,0.005178,0.002686,0.002108,0.009475,4.129528,5,0.014821,0.019941,10.4009,6.6577,0.1078
2,0.178594,0.374148,0.007449,0.84784,3.351028,5,0.204739,0.346561,12.6121,6.4918,0.0863
3,0.200143,0.341952,0.007449,0.804159,3.251547,5,0.218508,0.307151,12.5773,6.538,0.0866
4,0.820222,0.039299,0.752067,0.846614,0.823132,5,0.756233,0.016478,12.5286,6.6412,0.0882
5,0.840103,0.022432,0.814073,0.87239,0.572456,5,0.764899,0.024917,12.4058,6.7418,0.0884
6,0.850442,0.016516,0.825035,0.863253,0.503272,5,0.792009,0.007625,12.2919,6.8875,0.0841
7,0.810302,0.023944,0.779099,0.841517,1.407948,5,0.742004,0.010679,12.1906,7.0015,0.083
8,0.849312,0.036374,0.79006,0.882682,0.578907,5,0.758432,0.026513,12.1146,6.9979,0.0853
9,0.854815,0.02558,0.813423,0.879937,0.474988,5,0.791424,0.005191,12.1333,6.9731,0.0862
10,0.856041,0.02618,0.825824,0.888938,0.453724,5,0.7803,0.024832,12.1835,6.8307,0.0854
11,0.845817,0.058582,0.744217,0.884642,0.669163,5,0.748918,0.03195,12.3334,6.6647,0.0832
12,0.846342,0.050377,0.780957,0.895841,0.659958,5,0.748366,0.02817,12.5165,6.4844,0.086
13,0.837478,0.048375,0.770646,0.882192,1.09124,5,0.737755,0.016028,12.684,6.316,0.0881
14,0.86139,0.023358,0.82601,0.891208,0.512023,5,0.784421,0.01864,12.8413,6.1377,0.087
15,0.849717,0.03963,0.782443,0.882388,0.484323,5,0.791226,0.017786,13.0021,6.0323,0.0833
16,0.856933,0.043568,0.786763,0.890914,0.548907,5,0.762007,0.010058,13.1094,5.9469,0.0821
17,0.866872,0.027367,0.826428,0.892973,0.55942,5,0.772961,0.019464,13.1725,5.9203,0.0822
18,0.864395,0.022641,0.833395,0.887778,0.443974,4,0.803621,0.005119,11.9512,4.4624,3.0293
19,0.868023,0.042539,0.821062,0.917989,0.423827,4,0.842346,0.025587,9.1651,4.3497,0.0582
20,0.865183,0.039507,0.820088,0.9015,0.427254,4,0.793393,0.086788,10.0242,4.7462,0.0615
21,0.864906,0.050562,0.794602,0.914208,0.430853,4,0.860979,0.006101,10.4627,4.7087,0.0577
22,0.88064,0.024597,0.862197,0.908567,0.421336,3,0.856192,0.009877,8.6668,3.3405,1.3599
23,0.873302,0.035809,0.835625,0.906893,0.569039,3,0.837752,0.026371,7.8995,3.898,1.3664
24,0.893263,0.0398,0.849946,0.928217,0.395507,3,0.88433,0.007022,7.2408,3.9432,0.0377
25,0.90339,0.022792,0.877193,0.918671,0.494583,3,0.851533,0.057649,7.6084,3.8604,0.0379
26,0.896255,0.048365,0.840929,0.930511,0.382436,3,0.894304,0.001803,7.6685,3.8423,0.039
27,0.902096,0.038818,0.858081,0.931441,0.381116,3,0.891223,0.009058,7.6838,3.8461,0.0369
28,0.876955,0.042908,0.844065,0.92549,0.504891,3,0.872703,0.03117,7.6979,3.8726,0.0488
29,0.873808,0.02594,0.846516,0.898142,0.557468,3,0.859542,0.044738,6.5576,3.2122,2.6589
30,0.925714,0.005557,0.921784,0.929643,0.333523,2,0.896452,0.0,5.3025,3.0094,0.0197
31,0.922353,0.008031,0.916674,0.928031,0.363662,2,0.893253,0.000339,5.4441,2.9263,0.0186
32,0.917361,0.004021,0.914518,0.920204,0.41609,2,0.883466,0.018953,5.5068,2.8724,0.0186
33,0.926984,0.006303,0.922527,0.931441,0.289731,2,0.899412,0.000711,5.5603,2.7999,0.0178
34,0.92586,0.004122,0.922945,0.928775,0.293363,2,0.897728,0.001116,5.5511,2.7304,0.0172
35,0.926619,0.005065,0.923038,0.930201,0.329354,2,0.898077,0.003042,5.5953,2.6702,0.0189
36,0.918314,0.019003,0.904877,0.931751,0.374505,2,0.889315,0.014301,5.6317,2.6105,0.0188
37,0.92706,0.00339,0.924663,0.929457,0.32125,2,0.897912,0.003808,5.6947,2.5783,0.0183
38,0.91216,0.007016,0.907199,0.917121,0.462025,2,0.876605,0.010614,5.7004,2.5639,0.0178
39,0.930144,0.006305,0.925685,0.934602,0.296781,2,0.903514,3.9e-05,5.7118,2.5829,0.018
40,0.929879,0.00475,0.926521,0.933238,0.310213,2,0.900978,0.002382,5.6822,2.5834,0.0178
41,0.929229,0.003567,0.926707,0.931751,0.29152,2,0.903566,0.001077,5.6802,2.5747,0.0178
42,0.928695,0.006162,0.924338,0.933052,0.303312,2,0.899577,0.000844,5.6926,2.5878,0.0175
43,0.931289,0.005035,0.927729,0.93485,0.291449,2,0.901693,0.001527,5.6759,2.577,0.0175
44,0.92671,0.000323,0.926482,0.926939,0.350033,2,0.895137,0.01123,5.6925,2.5777,0.0181
45,0.93077,0.004629,0.927497,0.934044,0.28556,2,0.902941,0.000938,5.6867,2.5784,0.018
46,0.921288,0.019004,0.90785,0.934726,0.348299,2,0.892699,0.016533,5.6857,2.5777,0.0175
47,0.927275,0.000279,0.927078,0.927473,0.333865,2,0.89582,0.010554,5.6829,2.5774,0.0178
48,0.930437,0.00475,0.927078,0.933796,0.277303,2,0.902046,0.001249,5.6944,2.5769,0.0176
49,0.930275,0.005242,0.926568,0.933982,0.278242,2,0.901991,6e-06,5.6861,2.6254,0.0181
50,0.931064,0.003338,0.928704,0.933424,0.287148,2,0.905112,0.001954,5.6424,2.6876,0.0185
51,0.931483,0.005375,0.927682,0.935284,0.288493,2,0.902297,0.000882,5.6017,2.7529,0.0183
52,0.9317,0.005419,0.927868,0.935532,0.279653,2,0.902835,0.001055,5.5517,2.8334,0.0178
53,0.928441,0.009941,0.921412,0.93547,0.311455,2,0.901842,0.006501,5.5027,2.8967,0.0178
