worker_id,round,timestamp,train_loss_avg,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,global_test_accuracy,global_test_macro_precision,global_test_macro_recall,global_test_macro_f1,round_duration_s,phase_a_s,phase_b_s,phase_c_s,grpc_mean_latency_s,neighbors_aggregated,peers_contacted
2,1,1783647236.36,1.653409,4.126391,0.00392,6.3e-05,0.016129,0.000126,0.002395,3.9e-05,0.016129,7.7e-05,266.595,158.6586,107.7947,0.1189,0.118538,0,1
2,2,1783647449.361,1.418515,3.894661,0.080565,0.001299,0.016129,0.002405,0.034136,0.000551,0.016129,0.001065,213.0,112.2887,100.6226,0.0594,0.058981,1,1
2,3,1783647665.003,1.275805,0.589542,0.868176,0.765555,0.679143,0.68556,0.61547,0.634331,0.607384,0.536109,215.643,113.5827,101.9755,0.0652,0.064889,0,1
2,4,1783647869.215,1.225932,0.461017,0.88278,0.796219,0.711201,0.730448,0.628291,0.661186,0.61423,0.559246,204.211,106.5374,97.5985,0.0557,0.055373,0,1
2,5,1783648081.108,1.359303,4.264531,0.080565,0.001299,0.016129,0.002405,0.034136,0.000551,0.016129,0.001065,211.893,112.1311,99.6925,0.0692,0.06885,4,1
2,6,1783648287.301,1.239883,0.48352,0.872979,0.775888,0.675891,0.688784,0.621908,0.64351,0.596826,0.543866,206.193,105.7341,100.3841,0.0743,0.073971,0,1
2,7,1783648497.075,1.248515,1.447821,0.773204,0.67704,0.525583,0.51672,0.784527,0.747243,0.554494,0.573557,209.773,109.0093,100.7089,0.0546,0.054176,1,1
2,8,1783648704.774,1.203526,0.45636,0.887092,0.79984,0.713473,0.736171,0.653131,0.680425,0.635279,0.590901,207.699,107.0593,100.5576,0.0632,0.062805,0,1
2,9,1783648919.849,1.172391,0.561358,0.888366,0.801239,0.729287,0.74142,0.648256,0.673994,0.65172,0.589004,215.075,115.5078,99.5038,0.0629,0.062527,0,1
2,10,1783649126.38,1.177593,0.543223,0.832696,0.747509,0.705341,0.680667,0.868895,0.820707,0.737847,0.755896,206.531,106.9054,99.5688,0.0563,0.055986,2,1
2,11,1783649334.396,1.159025,0.461348,0.890914,0.786722,0.724306,0.737211,0.677273,0.68278,0.669221,0.616337,208.016,109.6692,98.291,0.0549,0.054488,1,1
2,12,1783649541.303,1.14465,0.442864,0.895521,0.805938,0.73928,0.750465,0.672798,0.695796,0.663999,0.610785,206.907,106.8966,99.9423,0.0488,0.048466,0,1
2,13,1783649747.609,1.134221,0.404021,0.896109,0.809624,0.746609,0.759809,0.663825,0.697482,0.667632,0.609852,206.306,107.7361,98.4828,0.0622,0.061852,0,1
2,14,1783649948.278,1.124296,0.409153,0.896109,0.797465,0.73293,0.746455,0.679362,0.686998,0.668987,0.611696,200.669,103.5838,97.0167,0.0676,0.067271,1,1
2,15,1783650151.712,1.131664,0.446934,0.863079,0.772059,0.735499,0.730889,0.852934,0.801508,0.759743,0.760898,203.434,104.6188,98.7594,0.0558,0.055449,3,1
2,16,1783650355.421,1.124234,0.390145,0.896893,0.805416,0.737667,0.755696,0.678781,0.718675,0.675684,0.624194,203.709,105.1407,98.4848,0.0637,0.063332,0,1
2,17,1783650567.921,1.121274,0.611227,0.90199,0.791301,0.763148,0.768964,0.685344,0.688672,0.689248,0.628186,212.499,109.729,102.7132,0.0566,0.056273,0,1
2,18,1783650769.322,1.116619,0.533298,0.862001,0.763171,0.741592,0.729376,0.865974,0.806724,0.772444,0.77796,201.401,105.8834,95.4244,0.0922,0.091773,2,1
2,19,1783650974.341,1.115048,0.506713,0.843967,0.751375,0.732177,0.71547,0.881354,0.822167,0.775721,0.784825,205.019,104.5274,100.4286,0.0625,0.062097,2,1
2,20,1783651179.394,1.095562,0.391025,0.900911,0.789016,0.754522,0.761682,0.71755,0.715407,0.708726,0.657567,205.053,107.3797,97.6091,0.0637,0.063316,3,1
2,21,1783651388.116,1.104017,0.46779,0.853278,0.781766,0.737048,0.727116,0.87421,0.829939,0.779154,0.785282,208.722,107.9731,100.7008,0.0476,0.047217,1,1
2,22,1783651595.348,1.110913,0.437656,0.901402,0.802299,0.759183,0.767213,0.688626,0.710274,0.697477,0.629255,207.232,106.3101,100.8675,0.0538,0.053471,0,1
2,23,1783651799.757,1.089711,0.38602,0.90346,0.807289,0.753522,0.760909,0.691767,0.720258,0.690076,0.638596,204.409,105.538,98.7978,0.0539,0.053552,0,1
2,24,1783652010.253,1.086237,1.184411,0.852886,0.739688,0.693986,0.663606,0.642776,0.6318,0.626793,0.549775,210.496,108.8679,101.5795,0.0477,0.047316,0,1
2,25,1783652219.881,1.079812,0.379391,0.905812,0.810109,0.757054,0.771887,0.688328,0.70647,0.697115,0.633143,209.628,108.2713,101.2875,0.0503,0.049907,1,1
2,26,1783652437.453,1.077081,0.412013,0.901304,0.800333,0.752024,0.760955,0.685541,0.714822,0.68516,0.625092,217.572,108.67,108.8187,0.0824,0.082033,0,1
2,27,1783652646.463,1.07383,0.371853,0.906106,0.803184,0.763185,0.774742,0.692465,0.710304,0.696458,0.636114,209.009,107.0549,101.8509,0.0843,0.034055,1,1
2,28,1783652845.409,1.086594,0.482397,0.854749,0.76824,0.746166,0.734019,0.888884,0.832735,0.794148,0.803983,198.946,104.5965,94.2669,0.0824,0.082002,2,1
2,29,1783653056.567,1.076368,0.382399,0.907184,0.813889,0.765913,0.775879,0.702986,0.718813,0.703472,0.648005,211.158,108.6609,102.4449,0.0514,0.051066,1,1
2,30,1783653256.777,1.072608,0.412034,0.881015,0.781917,0.764401,0.761567,0.835379,0.776744,0.7688,0.748062,200.209,105.826,94.3253,0.0572,0.056853,1,1
2,31,1783653455.338,1.073923,0.896267,0.86896,0.772722,0.708147,0.696858,0.647055,0.682352,0.643547,0.580759,198.561,108.8216,89.6698,0.0693,0.068927,0,1
2,32,1783653651.667,1.070938,0.606111,0.898657,0.80658,0.751805,0.751704,0.693133,0.692903,0.682739,0.62262,196.329,106.1918,90.0828,0.0536,0.053237,0,1
2,33,1783653850.168,1.068564,0.977481,0.858277,0.728929,0.71133,0.679243,0.654796,0.62385,0.641229,0.567525,198.502,107.9811,90.4612,0.0588,0.05843,0,1
2,34,1783654060.334,1.057724,0.369385,0.907968,0.809551,0.769495,0.780463,0.693376,0.712572,0.701981,0.638014,210.165,106.0134,104.0732,0.0583,0.057923,1,1
2,35,1783654262.371,1.076056,0.485051,0.854357,0.789004,0.748588,0.737828,0.892527,0.852807,0.799445,0.809547,202.038,106.9144,95.0426,0.0801,0.06955,2,1
2,36,1783654470.926,1.075116,0.377473,0.899441,0.78646,0.762197,0.766203,0.763329,0.755118,0.749401,0.70574,208.555,106.4385,102.0217,0.0941,0.093669,2,1
2,37,1783654666.867,1.065476,0.412952,0.890424,0.790901,0.764264,0.765814,0.819433,0.794043,0.765785,0.742541,195.94,106.2686,89.6055,0.0657,0.031015,1,1
2,38,1783654879.058,1.080497,0.452121,0.87043,0.772099,0.741145,0.733815,0.87388,0.827892,0.792637,0.796979,212.191,108.3715,103.7676,0.0513,0.050992,1,1
2,39,1783655075.464,1.077803,0.456276,0.862883,0.788525,0.74627,0.736376,0.8836,0.841134,0.793362,0.800457,196.406,105.3837,90.9639,0.0574,0.057016,1,1
2,40,1783655287.147,1.067447,0.442398,0.875233,0.795029,0.753699,0.751414,0.865911,0.822323,0.793887,0.789443,211.683,108.67,102.927,0.0856,0.08523,1,1
2,41,1783655480.188,1.074547,0.504096,0.851906,0.787594,0.746072,0.733948,0.894835,0.854607,0.798968,0.811406,193.041,102.4797,90.503,0.0574,0.057089,2,1
2,42,1783655692.097,1.080349,0.500785,0.884838,0.778002,0.750688,0.745139,0.837012,0.814635,0.774569,0.767116,211.909,109.4486,102.4092,0.0503,0.04989,1,1
2,43,1783655889.45,1.073353,0.486102,0.86945,0.777688,0.753955,0.744341,0.872946,0.820549,0.791845,0.791556,197.354,107.0223,90.2754,0.0554,0.055013,1,1
