worker_id,round,timestamp,train_loss_avg,val_loss,val_accuracy,round_duration_s,phase_a_s,phase_b_s,phase_c_s,grpc_mean_latency_s,neighbors_aggregated,peers_contacted
3,1,1780400744.197,2.250693,4.120707,0.054622,2.929,0.7742,2.0225,0.1317,0.042849,0,3
3,2,1780400749.232,1.776086,3.961042,0.064328,5.035,1.3934,3.5535,0.0878,0.0272,1,3
3,3,1780400754.365,1.665323,4.095338,0.064328,5.133,1.589,3.4568,0.0868,0.028125,2,3
3,4,1780400759.49,1.590468,3.882318,0.065667,5.125,1.6074,3.4293,0.0878,0.027833,3,3
3,5,1780400764.617,1.594694,3.968088,0.059509,5.127,1.6108,3.4299,0.0859,0.027776,4,3
3,6,1780400769.798,1.474674,1.126919,0.795167,5.181,1.5924,3.503,0.0852,0.027506,4,3
3,7,1780400774.958,1.438876,0.829155,0.813107,5.159,1.4881,3.5863,0.0846,0.027294,4,3
3,8,1780400780.134,1.410213,0.610916,0.8115,5.176,1.3944,3.6924,0.0891,0.028781,3,3
3,9,1780400785.218,1.395385,0.584403,0.827164,5.083,1.3389,3.6669,0.0774,0.024989,1,3
3,10,1780400790.26,1.359291,0.565826,0.828904,5.042,1.3871,3.5692,0.0855,0.027683,4,3
3,11,1780400795.35,1.36056,2.273062,0.762769,5.09,1.5036,3.4994,0.0868,0.028128,2,3
3,12,1780400800.416,1.353422,0.552763,0.827365,5.066,1.5763,3.4099,0.0794,0.025632,4,3
3,13,1780400805.518,1.336006,0.544979,0.829975,5.101,1.6108,3.4125,0.078,0.025089,4,3
3,14,1780400810.615,1.336278,0.527129,0.841422,5.097,1.5997,3.4127,0.0843,0.027317,2,3
3,15,1780400815.722,1.330976,0.580381,0.824553,5.107,1.5881,3.4294,0.089,0.028787,0,3
3,16,1780400820.984,1.31707,0.532305,0.837004,5.262,1.5868,3.5923,0.0828,0.026786,3,3
3,17,1780400826.159,1.320666,0.573424,0.840083,5.175,1.606,3.4853,0.0835,0.02699,1,3
3,18,1780400831.399,1.310132,0.537087,0.837606,5.239,1.5773,3.5545,0.1068,0.034777,3,3
3,19,1780400836.567,1.292005,0.556691,0.838878,5.168,1.5797,3.5038,0.084,0.027197,3,3
3,20,1780400841.741,1.294825,0.544434,0.840685,5.175,1.6168,3.4703,0.0874,0.028354,3,3
3,21,1780400846.859,1.287368,0.630907,0.842827,5.117,1.5839,3.4419,0.0912,0.02952,3,3
3,22,1780400852.187,1.276089,0.692209,0.843497,5.328,1.571,3.6485,0.1083,0.035086,4,3
3,23,1780400858.008,1.285797,0.849008,0.827365,5.82,1.9423,3.7592,0.1182,0.038186,2,3
