round,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_val_loss,workers_reporting,mean_phase_a_s,mean_phase_b_s,mean_phase_c_s
1,0.021065,0.022737,0.004505,0.052164,4.126951,5,1.2285,0.6322,0.0635
2,0.149187,0.215752,0.044403,0.53491,3.538039,5,1.1867,0.4836,0.0626
3,0.318883,0.264757,0.049111,0.632883,2.869122,5,1.2641,0.5335,0.0749
4,0.325455,0.261587,0.053182,0.659044,2.872077,5,1.375,0.5472,0.0738
5,0.442114,0.228799,0.064328,0.680787,2.450836,5,1.3828,0.5629,0.0952
6,0.37577,0.279982,0.064328,0.611278,2.596811,5,1.3878,0.6184,0.0895
7,0.57104,0.105742,0.382623,0.629648,1.983454,5,1.427,0.6564,0.0951
8,0.518984,0.251361,0.07623,0.665406,2.084814,5,1.4751,0.6313,0.0841
9,0.53749,0.260367,0.07623,0.688688,1.946476,5,1.4915,0.6105,0.0882
10,0.679944,0.03076,0.635317,0.711725,1.499027,5,1.4917,0.614,0.086
11,0.68494,0.052927,0.605683,0.731343,1.496408,5,1.4784,0.6194,0.0814
12,0.7114,0.028524,0.677689,0.742866,1.291935,5,1.4853,0.6059,0.0869
13,0.732428,0.032231,0.69757,0.767179,1.230655,5,1.4857,0.6088,0.0842
14,0.741419,0.032576,0.701319,0.774449,1.142776,5,1.4894,0.6262,0.0992
15,0.751899,0.030547,0.714974,0.784411,1.076759,5,1.5103,0.5848,0.0891
16,0.759307,0.03018,0.720195,0.794705,1.020292,5,1.5346,0.5808,0.0823
17,0.767019,0.030108,0.732378,0.802711,0.983326,5,1.5304,0.6024,0.0856
18,0.774663,0.026476,0.738604,0.803168,0.937844,5,1.4744,0.6491,0.0856
19,0.784995,0.022329,0.756543,0.809859,0.895185,5,1.451,0.6159,0.0822
20,0.788454,0.025152,0.759221,0.817579,0.877152,5,1.5041,0.59,0.0845
21,0.792339,0.024946,0.754267,0.818951,0.844018,5,1.5052,0.6011,0.0964
22,0.800128,0.026287,0.764174,0.829645,0.805887,5,1.4971,0.6172,0.0926
23,0.804216,0.025012,0.770801,0.833991,0.788558,5,1.497,0.626,0.0921
24,0.80655,0.025928,0.767722,0.835592,0.76402,5,1.473,0.6238,0.0943
25,0.810343,0.022925,0.778901,0.839195,0.749591,5,1.4764,0.6206,0.0933
26,0.814379,0.024103,0.782449,0.841711,0.72186,5,1.4789,0.6103,0.0954
27,0.815952,0.022159,0.78526,0.843484,0.717778,5,1.4703,0.6194,0.0881
28,0.818653,0.019271,0.791285,0.836907,0.693348,5,1.4785,0.6161,0.0909
29,0.821278,0.022605,0.791084,0.84743,0.683412,5,1.5033,0.5919,0.0941
30,0.822651,0.023944,0.792088,0.851432,0.670617,5,1.5178,0.6009,0.0931
31,0.823676,0.023249,0.795368,0.852347,0.658445,5,1.4734,0.6209,0.0909
32,0.830059,0.023032,0.799518,0.854235,0.64255,5,1.4821,0.5801,0.0873
33,0.832396,0.023265,0.801995,0.853834,0.628607,5,1.4989,0.5858,0.0871
