round,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_val_loss,workers_reporting,mean_global_test_accuracy,std_global_test_accuracy,mean_phase_a_s,mean_phase_b_s,mean_phase_c_s
1,0.042495,0.03214,0.006029,0.0667,4.130633,3,0.036364,0.018763,161.2987,9.9958,0.23
2,0.266681,0.370173,0.050871,0.694114,3.020864,3,0.135136,0.150671,125.5909,10.5057,0.2881
3,0.278902,0.350864,0.07503,0.684042,2.837727,3,0.237249,0.351788,126.1585,9.6212,0.1132
4,0.595853,0.299733,0.249752,0.769686,1.63347,3,0.433725,0.298696,124.514,10.0352,0.0818
5,0.55007,0.380897,0.111481,0.79786,1.732154,3,0.417631,0.359688,124.5688,9.951,0.0993
6,0.62278,0.296611,0.280536,0.805278,1.566696,3,0.533036,0.214132,123.6425,10.5982,0.1046
7,0.812295,0.023208,0.785557,0.827225,0.805671,3,0.633551,0.130363,122.5891,9.7815,0.0801
8,0.747577,0.092948,0.640383,0.805804,1.194951,3,0.674225,0.096807,126.5994,9.7328,0.0859
9,0.780679,0.019476,0.761701,0.800618,0.863491,3,0.687278,0.093676,125.4396,9.4776,0.2797
10,0.787764,0.046931,0.735242,0.825586,0.914004,3,0.696307,0.094409,125.6538,10.4764,0.2193
11,0.81677,0.014974,0.800624,0.8302,0.665283,3,0.748962,0.043884,135.1543,11.1864,0.1549
12,0.819448,0.039795,0.777989,0.857339,0.627292,3,0.74116,0.112148,129.499,9.8133,0.0923
13,0.836029,0.01492,0.81998,0.849478,0.667636,3,0.732815,0.096284,127.6568,10.6231,0.0932
14,0.828432,0.017021,0.812147,0.846105,0.723654,3,0.709643,0.087219,127.2274,9.4746,0.1939
15,0.819987,0.035877,0.77909,0.846158,0.852324,3,0.649727,0.082767,127.1413,9.0962,0.1444
16,0.829633,0.02295,0.804114,0.848582,0.603118,3,0.743463,0.094623,126.3539,9.5412,0.1517
17,0.820196,0.017566,0.801501,0.836357,0.85281,3,0.724665,0.101143,126.8199,8.9975,0.2368
18,0.821762,0.046221,0.769282,0.856418,0.769442,3,0.715875,0.086457,125.1441,9.5194,0.2819
19,0.810131,0.042274,0.770123,0.854355,0.680686,3,0.729925,0.099663,124.8659,9.4504,0.0955
