worker_id,round,timestamp,train_loss_avg,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,global_test_accuracy,global_test_macro_precision,global_test_macro_recall,global_test_macro_f1,round_duration_s,phase_a_s,phase_b_s,phase_c_s,grpc_mean_latency_s,neighbors_aggregated,peers_contacted
3,1,1783673432.843,1.543498,4.127439,0.005743,9.3e-05,0.016129,0.000184,0.002654,4.3e-05,0.016129,8.5e-05,261.745,156.5171,104.7077,0.5,0.071233,0,7
3,2,1783673649.144,1.323149,4.077813,0.076899,0.00124,0.016129,0.002303,0.034136,0.000551,0.016129,0.001065,216.3,115.6681,100.1254,0.4762,0.067965,2,7
3,3,1783673871.356,1.43162,3.968218,0.003989,6.4e-05,0.016129,0.000128,0.024794,0.0004,0.016129,0.00078,222.209,111.814,109.9708,0.4043,0.057699,6,7
3,4,1783674081.069,1.213545,3.088719,0.216975,0.360787,0.128146,0.137516,0.165862,0.487489,0.112496,0.126234,209.714,115.4893,93.7457,0.4586,0.065449,10,7
3,5,1783674286.082,1.165794,0.509583,0.886248,0.80656,0.70068,0.69864,0.763353,0.753121,0.649294,0.655671,205.012,112.3979,92.1913,0.4041,0.057672,6,7
3,6,1783674493.383,1.138715,0.37684,0.89917,0.804662,0.735025,0.744868,0.80355,0.765944,0.69898,0.705215,207.3,109.1009,97.807,0.3717,0.053042,6,7
3,7,1783674697.654,1.122476,0.389564,0.900128,0.80371,0.735277,0.736872,0.796461,0.766883,0.702656,0.70294,204.271,106.6694,97.1907,0.4107,0.058612,7,7
3,8,1783674905.964,1.108407,0.338278,0.906988,0.811184,0.757743,0.767093,0.797301,0.76423,0.717322,0.714376,208.31,108.3795,99.4103,0.5004,0.071415,7,7
3,9,1783675125.599,1.094696,1.394382,0.87508,0.754686,0.685187,0.665963,0.735426,0.717521,0.648259,0.632918,219.635,109.4242,109.7613,0.449,0.064083,7,7
3,10,1783675328.916,1.087879,0.322754,0.911136,0.814947,0.767593,0.773702,0.823908,0.779466,0.737151,0.735771,203.316,107.1753,95.7284,0.393,0.056079,8,7
3,11,1783675542.084,1.077189,0.318012,0.916082,0.820542,0.775355,0.786333,0.768825,0.746475,0.727265,0.699279,213.168,104.9209,107.824,0.4046,0.057737,6,7
3,12,1783675750.469,1.071701,0.317651,0.915124,0.82754,0.774123,0.78289,0.810601,0.76862,0.739496,0.728782,208.385,108.3267,99.6412,0.3965,0.056582,7,7
3,13,1783675963.765,1.068073,0.310154,0.915922,0.823763,0.7765,0.782887,0.803747,0.770684,0.741341,0.729869,213.296,108.5201,104.354,0.4017,0.057333,7,7
3,14,1783676173.776,1.056507,0.303141,0.918315,0.829376,0.781961,0.792735,0.778309,0.757087,0.735656,0.712173,210.01,108.1357,101.4611,0.3937,0.056183,8,7
3,15,1783676378.538,1.064303,0.323528,0.916879,0.82141,0.781894,0.787571,0.859442,0.817644,0.770582,0.773144,204.762,107.2425,97.1314,0.3877,0.05533,9,7
3,16,1783676592.383,1.054448,0.324623,0.919272,0.833534,0.785316,0.794123,0.810915,0.772149,0.756004,0.740105,213.844,106.2818,107.1571,0.4051,0.057818,7,7
3,17,1783676802.507,1.05027,0.990851,0.900128,0.808064,0.734197,0.731537,0.732349,0.73661,0.684911,0.654864,210.124,112.219,97.4685,0.4356,0.062175,7,7
3,18,1783677014.097,1.049449,0.305198,0.920708,0.832329,0.788808,0.797541,0.813199,0.772205,0.760407,0.740272,211.59,104.2693,106.9031,0.4167,0.059459,7,7
3,19,1783677221.636,1.041442,0.309132,0.921666,0.834771,0.793767,0.801283,0.808402,0.772349,0.75934,0.738489,207.539,107.252,99.9126,0.3744,0.053428,7,7
3,20,1783677433.295,1.041066,0.308743,0.923261,0.836826,0.794941,0.80284,0.805513,0.774175,0.761886,0.736858,211.658,104.7018,106.5691,0.387,0.055226,7,7
3,21,1783677633.16,1.040152,0.319918,0.921347,0.839592,0.788336,0.799385,0.802553,0.764953,0.758132,0.733765,199.865,105.7696,93.5274,0.5671,0.080959,7,7
3,22,1783677847.413,1.037824,0.321632,0.922144,0.837117,0.792209,0.800559,0.807853,0.769165,0.761728,0.73525,214.253,106.9305,106.9557,0.3667,0.051469,7,6
3,23,1783678056.94,1.031723,0.378593,0.920708,0.838977,0.787048,0.796199,0.803409,0.774989,0.753283,0.73455,209.527,110.0662,99.2419,0.2181,0.035394,6,3
