round,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_val_loss,workers_reporting,mean_phase_a_s,mean_phase_b_s,mean_phase_c_s
1,0.011109,0.008082,0.003414,0.020095,4.12802,5,1.4362,6.1498,0.0967
2,0.200348,0.371155,0.018013,0.863479,3.334444,5,1.7706,7.0317,0.0856
3,0.059045,0.058784,0.008056,0.156573,3.799305,5,1.8947,7.2665,0.0849
4,0.210898,0.286212,0.007363,0.701213,3.243487,5,1.8605,7.3095,0.0816
5,0.397322,0.379911,0.07623,0.851261,2.435125,5,1.8447,7.3449,0.0801
6,0.661883,0.299666,0.129418,0.851614,1.346677,5,1.8447,7.429,0.0814
7,0.800018,0.051957,0.737131,0.849403,1.278649,5,1.8566,7.4039,0.0793
8,0.83546,0.034464,0.779503,0.863213,0.79501,5,1.8867,7.4238,0.0804
9,0.854452,0.02155,0.825758,0.880883,0.598383,5,1.8994,7.4299,0.0827
10,0.857288,0.030858,0.809559,0.882827,0.632886,5,1.9138,7.4357,0.081
11,0.858935,0.023794,0.829774,0.882198,0.665311,5,1.931,7.4877,0.0817
12,0.867185,0.022195,0.841355,0.887561,0.46045,5,1.9094,7.4293,0.0833
13,0.867882,0.018697,0.846739,0.887002,0.554622,5,1.8994,7.3483,0.0773
14,0.867769,0.021275,0.845371,0.892325,0.47671,5,1.922,7.31,0.0807
15,0.863234,0.020884,0.84189,0.890419,0.616379,5,1.9023,7.2914,0.0822
16,0.869532,0.026262,0.832854,0.894751,0.511322,5,1.8837,7.3088,0.0806
17,0.870336,0.024806,0.842024,0.900381,0.639417,5,1.8565,7.3089,0.0817
18,0.869253,0.026876,0.83359,0.893521,0.516269,5,1.8512,7.3725,0.084
19,0.874885,0.023267,0.846241,0.900381,0.44006,5,1.8516,7.4893,0.0809
20,0.871789,0.020255,0.846174,0.890333,0.448364,5,1.8249,7.5221,0.0821
21,0.872484,0.022615,0.843028,0.899861,0.448167,5,1.829,7.4334,0.0783
22,0.873042,0.019839,0.847848,0.892892,0.554764,5,1.8421,7.3675,0.0836
23,0.87598,0.019613,0.854006,0.897869,0.492291,5,1.8579,7.3891,0.0831
24,0.876136,0.022351,0.850525,0.901854,0.464384,5,1.8623,7.3892,0.0844
25,0.87795,0.021184,0.851128,0.901334,0.4426,5,1.8608,7.3522,0.0845
26,0.878796,0.023808,0.848383,0.906532,0.430041,5,1.8592,7.3542,0.0829
27,0.875356,0.024783,0.848316,0.899775,0.481689,5,1.8633,7.3325,0.0813
28,0.875677,0.020213,0.848183,0.896323,0.477251,5,1.8611,7.3121,0.0793
29,0.877989,0.022578,0.852132,0.900295,0.44176,5,1.8843,7.3111,0.0783
30,0.865585,0.020869,0.845028,0.89638,0.572855,5,1.8891,7.3136,0.0833
31,0.878857,0.021123,0.854341,0.901507,0.423915,5,1.884,7.328,0.0788
32,0.877866,0.02379,0.847513,0.905146,0.427643,5,1.8734,7.3385,0.0815
33,0.880296,0.022662,0.853605,0.905405,0.418572,5,1.8669,7.3546,0.0833
34,0.875977,0.027913,0.834259,0.900988,0.47508,5,1.8544,7.0965,0.0803
35,0.886754,0.023455,0.853939,0.907658,0.399215,4,1.6651,6.9589,0.0814
36,0.883179,0.025144,0.848316,0.904712,0.417351,4,1.5649,6.5393,0.0776
37,0.884649,0.02173,0.854609,0.905492,0.405635,4,1.4194,5.9166,0.0774
38,0.882895,0.023567,0.851329,0.905405,0.413289,4,1.3666,5.682,0.0675
39,0.885448,0.023568,0.851998,0.906791,0.410934,4,1.2786,5.1525,0.0611
40,0.899996,0.011039,0.88914,0.911209,0.372337,3,0.9889,4.4415,0.0558
41,0.897763,0.014974,0.887175,0.908351,0.377982,2,0.9244,4.4781,0.0537
42,0.897425,0.017413,0.885112,0.909737,0.434494,2,0.9149,4.3564,0.0381
43,0.905319,0.0,0.905319,0.905319,0.344187,1,0.6565,4.4875,0.0607
44,0.907311,0.0,0.907311,0.907311,0.350838,1,0.6477,4.401,0.0587
45,0.883229,0.0,0.883229,0.883229,0.668442,1,0.75,3.5572,0.0302
46,0.904106,0.0,0.904106,0.904106,0.348626,1,0.4881,3.0092,0.0266
47,0.905925,0.0,0.905925,0.905925,0.342418,1,0.5004,3.0437,0.0279
48,0.902027,0.0,0.902027,0.902027,0.379527,1,0.4939,3.0021,0.0284
49,0.9022,0.0,0.9022,0.9022,0.375425,1,0.4963,2.8745,0.0025
